ID,LineID,face,dialog
0,0,Reisen0a,여기로부터 걸면、반격 될지도…
1,0,Reisen0a,총격당하면 공격해 돌려주지 않으면!
2,0,Reisen0a,나도、면월님의 애완동물인 것이니까!
3,0,Reisen0a,훈련 대로에 하면 좋은거야!
4,0,Reisen0a,어떻게든、좋은 곳 보이지 않으면!
5,0,Reisen1a,라고、돌격─!
5,1,Reisen1a,받았다!
6,0,Reisen1a,어택!
6,1,Reisen1a,받음!
7,0,Reisen1a,레、레이저 블레이드!
7,1,Reisen1a,맞아!
8,0,Reisen1a,돌아 들어가 해치운다!
8,1,Reisen1a,받음!
9,0,Reisen1a,공격해라―!
10,0,Reisen1a,빔이야!
11,0,Reisen0a,힘든 것 가요!
12,0,Reisen0a,이 병기라면!
13,0,Reisen1a,바람에 날아가랏!
14,0,Reisen1a,달의 최신 병기…! 이것으로!
15,0,Reisen1a,뉴트론 런처、스탠바이!
16,0,Reisen2a,、도와―!
17,0,Reisen2c,적이 안보인다―!
18,0,Reisen0a,아휴、내가 아니고 좋았다…
19,0,Reisen0a,전위에 잇고―!
20,0,Reisen0a,뒤로 원호라면、얼마든지!
21,0,Reisen0a,여기서 나오지 않으면 토끼가 쓸모없게 된다!
22,0,Reisen0a,아、위험하다!
23,0,Reisen0a,노력해 줘!
24,0,Reisen0a,이봐요、잘 다녀오세요!
25,0,Reisen0a,공격할 수 있는 공격해라―!
26,0,Reisen0a,이것도 일을 완수하기 (위해)때문에!
27,0,Reisen0a,뒤로 지원이라면、얼마든지!
28,0,Reisen0a,지원합니다!
29,0,Reisen0a,일제 공격을 하면 좋은거네!
30,0,Reisen0a,여기서 결정하면 칭찬해 받을 수 있어요!
31,0,Reisen0a,이것은、굉장한 찬스면…?
32,0,Reisen0b,、그런. 릴리…!
33,0,Reisen0a,릴리、내가 넘어뜨려 주어요!
34,0,Reisen0a,릴리、원호해요!
35,0,Reisen0b,릴리、기우뚱 지났어!
36,0,Reisen0b,릴리、한눈 팔기 하지 말아줘!
37,0,Reisen1a,릴리、엉뚱한 것은 끊어요!
38,0,Reisen1a,릴리、지원해요!
39,0,Reisen1a,릴리、조심해요!
40,0,Reisen1a,릴리、맞지 말아요!
41,0,Reisen1a,릴리、무리하지 말아요!
42,0,Reisen0c,함께 결정해 버립시다、릴리!
43,0,Reisen0a,릴리와래 진심으로 하면!
44,0,Reisen0a,릴리、이것은 찬스야!
45,0,Reisen2c,키、선배!
46,0,Reisen0a,선배에게 사격을 거듭합니다!
47,0,Reisen0a,선배、원호합니다!
48,0,Reisen0b,선배、어떻게 해 버린 것입니다?
49,0,Reisen0a,선배、분명하게 피해 주세요!
