ID,LineID,face,dialog
0,0,Remilia0a,보여 보세요、당신의 힘을
1,0,Remilia0a,내가 상대와는、운이 없었지요
2,0,Remilia0a,전장의 주역은 항상 나인 것이야!
3,0,Remilia0a,그런데、즐겁게 해 보세요!
4,0,Remilia0a,울어 도망치기 시작하지 않는 것뿐、\n 칭찬해 주어요
5,0,Remilia0a,상관하고 있는 시간은 없는거야!
6,0,Remilia0a,죽고 싶다는 것 같구나!
7,0,Remilia0a,너는 흡혈귀를 적으로 돌린거야
8,0,Remilia0a,도전해 오기 때문에、이렇게 되는거야
9,0,Remilia0a,사람 비틀러로 해 주어요!
10,0,Remilia0a,매우 약한 것 같은 상대네
11,0,Remilia0a,너 같은 것、나의 적이 아니다!
12,0,Remilia0a,운명은 정해졌군요!
13,0,Remilia0a,자、사람 날뛰고 해 주어요!
14,0,Remilia0a,시간을 들일 생각은 없다!
15,0,Remilia0a,곧바로 발로 차서 흩뜨려 버려요!
16,0,Remilia0a,기분이 바뀌었기 때문에、벌써 끝내요!
17,0,Remilia0a,밤의 왕의 힘、보여 줄까
18,0,Remilia0a,준비 운동이 되면 좋지만…
19,0,Remilia0a,여기로부터 대역전이라는 것이 왕도군요
20,0,Remilia0a,나의 진심을 보여 주어요
21,0,Remilia0a,흐름은 여기에 와 있는거야!
22,0,Remilia0a,이것으로 역전해 주기 때문에!
23,0,Remilia0a,슬슬 승부를 붙이지 않으면…
24,0,Remilia1a,거기야!
25,0,Remilia1a,가랏!
26,0,Remilia1a,나세요!
27,0,Remilia1a,시험이야!
28,0,Remilia1a,그것!
29,0,Remilia1a,찢어 준다!
30,0,Remilia1a,방해야!
31,0,Remilia1a,늦다!
32,0,Remilia1a,이!
33,0,Remilia1a,이제 도망갈 장소는 없는거야!
34,0,Remilia1a,이것 정도、참아 보이세요!
35,0,Remilia1a,홍색의 탄막、받아 보세요!
36,0,Remilia1a,보여 주어요、나의 탄막을!
37,0,Remilia1a,나의 싸우는 방법을 보여 준다!
37,1,Remilia1a,홍색의 마력을 응축해…
37,2,Remilia1a,모두를 관철하는 형태를 이룬다…
37,3,Remilia1a,뚫어라、궁닐!
38,0,Remilia1a,이 기술로 결정타로 해요!
38,1,Remilia1a,신음해라、선혈의 마력
38,2,Remilia1a,모두를 관철하는 마의 창…
38,3,Remilia1a,스피아·더·궁닐!
39,0,Remilia1a,이 일격으로 지옥에 떨어지세요!
39,1,Remilia1a,나의 마력을 모아…
39,2,Remilia1a,스피아·더·궁닐…
