ID,LineID,face,dialog
0,0,Remilia0a,그런데、관의 준비는 좋을까?
1,0,Remilia0a,격의 차이를 보여 준다!
2,0,Remilia1a,너의 운명은 보이고 있어!
3,0,Remilia0a,、앞으로 몇초나 개일까!
4,0,Remilia0a,나의 힘에 무서워하고 전율하세요!
5,0,Remilia0a,상스럽지만、\n 오르되브르에서는 만족할 수 없는거야
6,0,Remilia0a,각오는 되어 있겠지요?
7,0,Remilia0a,이것으로 역전해 주기 때문에!
8,0,Remilia0a,슬슬 승부를 붙이지 않으면…
9,0,Remilia1a,늦다!
10,0,Remilia1a,하하하! 붙어 올 수 있을까!
11,0,Remilia1a,무릎 꿇어랏!
12,0,Remilia1a,그것 그거어!
13,0,Remilia1a,갈가리 찢음으로 해 준다!
14,0,Remilia1a,후후、여기야!
15,0,Remilia1a,가세요、하인들!
16,0,Remilia1a,날아라、서번트!
17,0,Remilia1a,이것으로 어떨까!
18,0,Remilia0a,와라、붉은 마의 힘!
18,1,Remilia1a,스칼렛·슛!
19,0,Remilia0a,붉은 탄막으로 사라져 없어져라!
19,1,Remilia1a,슈특!
20,0,Remilia0a,나 스스로 두드려 떨어뜨려 준다!
20,1,Remilia1a,스칼렛·슛!
21,0,Remilia1a,마의 문장이야、어리석은 자들에게 천벌을 내려라!
22,0,Remilia1a,천벌…『스타·오브·다비데』
23,0,Remilia0a,지금、나는 태양을 극복한다!
23,1,Remilia1a,환상향이야 우리 안개에 유린되어라!
23,2,Remilia1a,그리고 붉고、어둡고、선명하게…
23,3,Remilia1a,물들어라!!
23,4,Remilia0a,-모든 것이 『다홍색』이 된다
24,0,Remilia0a,환상향은、이대로 안개에 덮여요
24,1,Remilia1a,져라、우리 마력의 결정들!
24,2,Remilia1a,미운 태양에 극、모두를 홍색의 어둠에…
24,3,Remilia1a,물들여라!!
24,4,Remilia0a,-모든 것이 『다홍색』이 된다
25,0,Remilia0a,이것으로 피날레야!
25,1,Remilia1a,열고、선혈의 마익[魔翼]!
25,2,Remilia1a,일륜을 억제해、붉고、어두운 밤의 세계에…
25,3,Remilia1a,권해라!!
25,4,Remilia0a,-모든 것이 『다홍색』이 된다
26,0,Remilia0a,지금만은 우쭐해지는 것을 허락해요
27,0,Remilia0a,시간 때우기에조차 안 된다
28,0,Remilia0a,잠시동안의 유리를 즐기세요
29,0,Remilia0a,나의 마력이 닿지 않습니다 라고!?
30,0,Remilia1a,수행원의 원수는 내가 취해요
31,0,Remilia0a,오─들、이제 일격!
