ID,LineID,face,dialog
0,0,Rumia0a,가끔 씩은 활약하지 않으면~
1,0,Rumia0a,빨리 해치워 버리자
2,0,Rumia0a,별로 원한은 없지만…
3,0,Rumia0a,이것으로 무승부야
4,0,Rumia0a,다음은 나의 차례구나―
5,0,Rumia0a,그대로 돌아갈 수 있다고 생각하지 말아줘
6,0,Rumia0a,지금、방심한 것이겠지?
7,0,Rumia0a,접근해 주어 고마워요
8,0,Rumia0a,놓치지 않기 때문에
9,0,Rumia0a,그러면、기분을 고쳐…
10,0,Rumia0a,얌전하게 당해요―
11,0,Rumia0a,운이 나빴지요─
12,0,Rumia0a,덮치고 있는 것은、여기야
13,0,Rumia0a,취해 먹어 주어요
14,0,Rumia0a,이제 보류 하지 않아도 괜찮은거네
15,0,Rumia0a,당신은 무슨 맛일까
16,0,Rumia0a,당신、이나 사리가 겉껍데기 있을 것이구나
17,0,Rumia0a,어쨌든 이기면 되네요~
18,0,Rumia0a,즐길 수 있다면、라고 좋아요~
19,0,Rumia0a,배 고프구나. \n 그렇다、공격하지 않으면…
20,0,Rumia0a,나는 빨리 쉬고 싶은거야
21,0,Rumia0a,여기서 해치우면、나의 승리!
22,0,Rumia2a,와、이렇게 되면 흥하든 망하든으로…
23,0,Rumia0a,도망치는 것이 좋을지도 모르지만…
24,0,Rumia0a,아직 끝이 아니기 때문에~
25,0,Rumia0a,맛있게 먹습니다
26,0,Rumia1a,거기다―
27,0,Rumia1a,돌격─
28,0,Rumia1a,에이
29,0,Rumia0a,보이고 있는거네요
29,1,Rumia1a,보이고 있는거네요… 그것!
30,0,Rumia0a,그러면 사양말고
30,1,Rumia1a,그러면 사양말고… 그─것!
31,0,Rumia0a,도망갈 장소는 없어
31,1,Rumia1a,도망갈 장소는 없어… 영차!
32,0,Rumia0a,지금 공격하면 맞을지도
32,1,Rumia1a,지금 공격하면 맞을지도… 에이!
33,0,Rumia0a,맛있게 먹습니다
34,0,Rumia1a,어둠중에서 공격하면…
35,0,Rumia0a,힘껏 부딪치면…
36,0,Rumia0a,역시 어둠안이 제일!
37,0,Rumia0a,퍼져라―!
37,1,Rumia0a,가까이 가라―
37,2,Rumia1a,가붓!
37,3,Rumia1a,생각했던 것보다 딱딱했다…
37,4,Rumia0a,잘 먹었습니다―
38,0,Rumia0a,좀더 좀더 어둠을 내면…
38,1,Rumia0a,이것이라면 발각되지 않고…
38,2,Rumia1a,가붓!
38,3,Rumia1a,생각했던 것보다 딱딱했다…
38,4,Rumia0a,잘 먹었습니다―
39,0,Rumia0a,어둠으로부터는 도망칠 수 없는거야
39,1,Rumia0a,아─…
39,2,Rumia1a,응!
39,3,Rumia0a,그저일까
39,4,Rumia0a,잘 먹었습니다―
40,0,Rumia0a,힘차게 가요―
40,1,Rumia0a,네─있고、받습니다
40,2,Rumia0a,잘 먹었습니다―
41,0,Rumia0a,안보여도 괜찮아!
41,1,Rumia0a,융단 공격─
41,2,Rumia0a,아―、지쳤다―
42,0,Rumia0a,저쪽 가、여기 온다―
42,1,Rumia0a,그─것、빙빙―!
42,2,Rumia0a,잘 먹었습니다―
43,0,Rumia0a,화려하게라도 움직일 수 있어요―
43,1,Rumia0a,어둠에 잊혀져 돌격─
43,2,Rumia0a,상당히 좋은 느낌이군요
44,0,Rumia0a,힘을 합해 보자
44,1,Rumia0a,뭐 해 노는 건가?
44,2,Cirno0a,어둠과、얼음과、벌레와、노래!
44,3,Wriggle0a,준비는 OK!
44,4,Mystia0a,여기도 룰루랄라!
44,5,Cirno1a,스펠 카드!
44,6,Wriggle1a,모두、잘 부탁드립니다!
44,7,Mystia1a,파이야!
44,8,Rumia0a,와─이
44,9,Cirno1a,얼음 파워야!
44,10,Wriggle1a,거기다!
44,11,Mystia1b,가라♪가라♪
44,12,Rumia0a,창고―
44,13,Rumia0a,좋은 느낌―
44,14,Wriggle0a,마무리가 큰 일이야!
44,15,Mystia0a,올라 왔어요―
44,16,Cirno0a,단번에 가요…!
44,17,Cirno1a,바카르텟트스페샤룩!
44,18,Rumia1a,스펠 카드!
44,19,Mystia1a,스펠 카드!
44,20,Wriggle1a,스펠 카드!
45,0,Rumia0a,모두、모여―
45,1,Rumia0a,시장─응
45,2,Cirno0a,-응!
45,3,Wriggle0a,산파─응!
45,4,Mystia0a,-응!
45,5,Cirno1a,쿼텟!
45,6,Wriggle1a,갈 수 있고 、충들!
45,7,Mystia1a,파이야!
45,8,Rumia0a,바닥 시세―
45,9,Cirno1a,냉동 빔!
45,10,Wriggle1a,놓치지 마!
45,11,Mystia1b,좀 더 해 버려―♪
45,12,Rumia0a,어두워져라―
45,13,Rumia0a,이제 해치울 수 있을 것 같다
45,14,Wriggle0a,그렇다면 승부다!
45,15,Mystia0a,좋은 느낌이예요―
45,16,Cirno0a,좋아、결정타야…!
45,17,Cirno1a,바카르텟트스페샤룩!
45,18,Rumia1a,쿼텟!
45,19,Mystia1a,쿼텟!
45,20,Wriggle1a,쿼텟!
46,0,Rumia0a,예의 녀석을 하는 거네
46,1,Rumia0a,준비는 되어지고 있어?
46,2,Cirno0a,물론!
46,3,Wriggle0a,언제라도 갈 수 있다!
46,4,Mystia0a,상태는 최상!
46,5,Cirno1a,스펠 카드!
46,6,Wriggle1a,모두、가!
46,7,Mystia1a,파이야!
46,8,Rumia0a,에이
46,9,Cirno1a,얼어 버려라!
46,10,Wriggle1a,지금이다!
46,11,Mystia1b,좀 더―♪좀 더―♪
46,12,Rumia0a,퍼져라―
46,13,Rumia0a,이제 결정타일까
46,14,Wriggle0a,찬스같아!
46,15,Mystia0a,그러면、해 버리자!
46,16,Cirno0a,마지막에 소중히 간직함이야…!
46,17,Cirno1a,그레이샤르바이오아탁크!
46,18,Rumia1a,스펠 카드!
46,19,Mystia1a,스펠 카드!
46,20,Wriggle1a,스펠 카드!
47,0,Rumia0a,모두、모여―
47,1,Rumia0a,치르노
47,2,Cirno0a,대짱!
47,3,Daiyosei0a,리굴짱!
47,4,Wriggle0a,미스티아!
47,5,Mystia0a,돌아와、루미아!
47,6,Cirno1a,우리들의 힘을、1개에!
47,7,Daiyosei1a,모두에게、힘을…!
47,8,Wriggle1a,오오오오오오옷!
47,9,Wriggle1a,부탁했어、모두!
47,10,Mystia1b,응원가는 맡겨~
47,11,Rumia0a,와─이
47,12,Cirno1a,얼어 버려라!
47,13,Wriggle1a,거기다!
47,14,Mystia1b,가라♪가라♪
47,15,Rumia0a,창고―
47,16,Cirno1a,다짐이야!
47,17,Daiyosei2a,나도!
47,18,Rumia0a,좋은 느낌―
47,19,Wriggle0a,마무리가 큰 일이야!
47,20,Mystia0a,올라 왔어요―
47,21,Daiyosei0a,모두와 함께라면!
47,22,Cirno0a,이것으로 결정해요…!
47,23,Cirno1a,파이나르바카르텟트스페샤룩!
47,24,Cirno1a,잇…
47,25,Rumia0a,잇… 케에!
47,26,Mystia0a,잇… 케에!
47,27,Wriggle1a,잇… 케에!
48,0,Rumia0a,모두、분명하게 있을까!
48,1,Rumia0a,치르노
48,2,Cirno0a,대짱!
48,3,Daiyosei0a,리굴짱!
48,4,Wriggle0a,미스티아!
48,5,Mystia0a,돌아와、루미아!
48,6,Cirno1a,우리들의 힘을、1개에!
48,7,Daiyosei1a,모두、힘내…!
48,8,Mystia1b,텐션 올라 왔어요!
48,9,Wriggle1a,모두、간다!
48,10,Mystia1b,이 기세를 노래로 해~
48,11,Rumia0a,그─것
48,12,Cirno1a,냉동 빔!
48,13,Wriggle1a,놓치지 마!
48,14,Mystia1b,좀 더♪좀 더―♪
48,15,Rumia0a,어두워져라―
48,16,Cirno1a,아직 갈 수 있다!
48,17,Daiyosei2a,나도 돕는닷!
48,18,Rumia0a,좋은 기분이 들었어요
48,19,Wriggle0a,이것으로 마무리구나!
48,20,Mystia0a,기분은 최고조!
48,21,Daiyosei0a,모두와 함께이니까!
48,22,Cirno0a,이것으로 결정타야…!
48,23,Cirno1a,그레이샤르바이오스페샤룩!
48,24,Cirno1a,잇…
48,25,Rumia0a,잇… 케에!
48,26,Mystia0a,잇… 케에!
48,27,Wriggle1a,잇… 케에!
49,0,Rumia0a,오늘의 밥은 무엇으로 할까나
50,0,Rumia0a,이래서야、아무것도 할 수 없구나
51,0,Rumia0a,저것、어디에 있는 거야?
52,0,Rumia0a,닿지 않는 것 같다고… 하면 어쩔 수 없어요
53,0,Rumia0a,그렇게 멀리 있는지
54,0,Rumia0a,당신의 몫도 받아요
55,0,Rumia0a,당해 버렸군요―
56,0,Rumia0a,먹고 잔재는 안 돼요?
57,0,Rumia0a,도우면 좋지요
58,0,Rumia0a,먹다 두고래도 상관없어요
59,0,Rumia0a,그것은 나의!
60,0,Rumia0a,조금은 위로해요―
61,0,Rumia0a,그대로는 맞아 버려?
62,0,Rumia0a,멍─하니 하고 있으면 위험하기 때문에
63,0,Rumia0a,도망치는 것이 좋은 것이 아니야?
64,0,Rumia0a,괜찮아? 배에서도 고파졌어?
65,0,Rumia0a,근처에 의하면、\n 그쪽도 어두워져 버리니까요―
66,0,Rumia0a,도망갈 장소를 막아요―
67,0,Rumia0a,거들기는 귀찮지만…
68,0,Rumia0a,둘이서 반으로 하자
69,0,Rumia0a,어둠에 숨고 싶었으면 말해
70,0,Rumia0a,요괴 사용이 난폭하기 때문에―
71,0,Rumia0a,좀 더 확실히 지시를 내려―
72,0,Rumia0a,좀 더 한가로이 싸우고 싶은 것이지만 말야─
73,0,Rumia0a,정확히 배가 고파져 왔어요
74,0,Rumia0a,뭔가 상태가 나왔어요―!
75,0,Rumia0a,두 명이라면 놓치지 않기 때문에
76,0,Rumia0a,대짱은 남의 일에 신경씀이니까
77,0,Rumia0a,대짱은 내리고 있으면 좋아요―
78,0,Rumia0a,대짱은 소식이니까
79,0,Rumia0a,언제나 감싸 받아 \n (뿐)만인걸─
80,0,Rumia0a,대짱、여기는 내가 보고 있어요
81,0,Rumia0a,대짱、괜찮아?
82,0,Rumia0a,대짱、반반 나누기로 하자
83,0,Rumia0a,대짱도 가끔 씩은 \n 싸우고 싶을 때가 있는 거네
84,0,Rumia0a,대짱、어떤 것이 좋아?
85,0,Rumia0a,대짱、도와요―
86,0,Rumia0a,대짱、너무 무리하지 말아요
87,0,Rumia0a,대짱、상태가 나왔군요
88,0,Rumia0a,대짱과 두 명이라면 놓치지 않아요
89,0,Rumia0a,대짱、정확히 배가 고파져 왔어요
90,0,Rumia0a,치르노도 참、너무 건강하기 때문에
91,0,Rumia0a,차가워진 음식은 \n 그렇게 좋아하지 않지만―
92,0,Rumia0a,답지 않게、추진력이 약했지요─
93,0,Rumia0a,그래서 최강인가―
94,0,Rumia0a,치르노는 대개 틈투성이군요
95,0,Rumia0a,치르노、한눈 팔기 너무 하는 것이 아니야?
96,0,Rumia0a,치르노도 참、성급한 것이니까
97,0,Rumia0a,차가운데 뿌려 붐비지 말아요
98,0,Rumia0a,치르노、그렇게 재촉하지 말아요
99,0,Rumia0a,치르노、반반 나누기로 하자
100,0,Rumia0a,치르노、도와 준다
