ID,LineID,face,dialog
0,0,Rumia0a,맛있게 먹습니다
1,0,Rumia1a,거기다―
2,0,Rumia1a,돌격─
3,0,Rumia1a,에이
4,0,Rumia0a,보이고 있는거네요
4,1,Rumia1a,보이고 있는거네요… 그것!
5,0,Rumia0a,그러면 사양말고
5,1,Rumia1a,그러면 사양말고… 그─것!
6,0,Rumia0a,도망갈 장소는 없어
6,1,Rumia1a,도망갈 장소는 없어… 영차!
7,0,Rumia0a,지금 공격하면 맞을지도
7,1,Rumia1a,지금 공격하면 맞을지도… 에이!
8,0,Rumia0a,맛있게 먹습니다
9,0,Rumia1a,어둠중에서 공격하면…
10,0,Rumia0a,힘껏 부딪치면…
11,0,Rumia0a,역시 어둠안이 제일!
12,0,Rumia0a,퍼져라―!
12,1,Rumia0a,가까이 가라―
12,2,Rumia1a,가붓!
12,3,Rumia1a,생각했던 것보다 딱딱했다…
12,4,Rumia0a,잘 먹었습니다―
13,0,Rumia0a,좀더 좀더 어둠을 내면…
13,1,Rumia0a,이것이라면 발각되지 않고…
13,2,Rumia1a,가붓!
13,3,Rumia1a,생각했던 것보다 딱딱했다…
13,4,Rumia0a,잘 먹었습니다―
14,0,Rumia0a,어둠으로부터는 도망칠 수 없는거야
14,1,Rumia0a,아─…
14,2,Rumia1a,응!
14,3,Rumia0a,그저일까
14,4,Rumia0a,잘 먹었습니다―
15,0,Rumia0a,오늘의 밥은 무엇으로 할까나
16,0,Rumia0a,이래서야、아무것도 할 수 없구나
17,0,Rumia0a,저것、어디에 있는 거야?
18,0,Rumia0a,닿지 않는 것 같다고… 하면 어쩔 수 없어요
19,0,Rumia0a,그렇게 멀리 있는지
20,0,Rumia0a,당신의 몫도 받아요
21,0,Rumia0a,당해 버렸군요―
22,0,Rumia0a,먹고 잔재는 안 돼요?
23,0,Rumia0a,도우면 좋지요
24,0,Rumia0a,먹다 두고래도 상관없어요
25,0,Rumia0a,그것은 나의!
26,0,Rumia0a,그대로는 맞아 버려?
27,0,Rumia0a,멍─하니 하고 있으면 위험하기 때문에
28,0,Rumia0a,도망치는 것이 좋은 것이 아니야?
29,0,Rumia0a,괜찮아? 배에서도 고파졌어?
30,0,Rumia0a,치르노도 참、너무 건강하기 때문에
31,0,Rumia0a,차가워진 음식은 \n 그렇게 좋아하지 않지만―
32,0,Rumia0a,답지 않게、추진력이 약했지요─
33,0,Rumia0a,그래서 최강인가―
34,0,Rumia0a,치르노는 대개 틈투성이군요
35,0,Rumia0a,치르노、한눈 팔기 너무 하는 것이 아니야?
36,0,Rumia0a,너무 치열하게 사는 것 예요
37,0,Rumia0a,어둠이라면 나도 자신있구나
38,0,Rumia0a,야맹증으로 하지 않아도 나의 힘이라면
39,0,Rumia0a,미스티아는 생각보다는틈투성이군요
40,0,Rumia0a,노래에 열중하고 있을까
41,0,Rumia0a,벌레의 생명은 짧은 것인지―
42,0,Rumia0a,어둠을 만들어 주어도 좋아요
43,0,Rumia0a,좀 더 저돌적이지 않으면~
44,0,Rumia0a,그런 것은、모기향의 먹이야
