ID,LineID,face,dialog
0,0,Sakuya0a,자、거기를 물러나 받아요
1,0,Sakuya0a,송사리를 넘어뜨려도 아무것도 안 되지만…
2,0,Sakuya0a,길을 개척해요
3,0,Sakuya0a,벌이 필요같구나
4,0,Sakuya0a,이것은 정당방위예요
5,0,Sakuya0a,나는 손대중은 하지 않아요
6,0,Sakuya0a,적을 줄이는 호기군요
7,0,Sakuya0a,긴장을 늦추는 것은 빨라요
8,0,Sakuya0a,분수를 모르는거네
9,0,Sakuya1a,조심성없는 공격을 하면、\n 이런 꼴을 당한다!
10,0,Sakuya0a,그 조심성없는 움직임으로、체크메이트야!
11,0,Sakuya0a,그럼、속공으로 넘어뜨리도록 해 받아요
12,0,Sakuya0a,1 호흡 있으면 충분하구나
13,0,Sakuya0a,나는 청소가 자신있는 것이야
14,0,Sakuya0a,자、기원은 끝났을까?
15,0,Sakuya0a,이봐요、미안해요 하세요
16,0,Sakuya0a,그럼、청소를 시작합시다
17,0,Sakuya0a,가능한 한 빠르게 넘어뜨리고 싶어요
18,0,Sakuya0a,나의 칼날로부터 \n 도망칠 수 있다고 생각하지 않는 것이군요
19,0,Sakuya0a,당기면 늙고、억죽어요
20,0,Sakuya1a,나를 맞추지 못한 것、\n 후회시켜 주어요!
21,0,Sakuya0a,이 때、이기면 좋기로 합시다
22,0,Sakuya0a,동물은 상처입음이 제일 무섭습니다
23,0,Sakuya1a,적어도 반론하고 나서!
24,0,Sakuya1a,단번에 잡는다!
25,0,Sakuya1a,건다!
26,0,Sakuya1a,그 틈、놓치지 않아요!
27,0,Sakuya0a,그럼 즉시
28,0,Sakuya1a,핫! 그것!
29,0,Sakuya0a,… 묻는다
30,0,Sakuya1a,등간격에…
31,0,Sakuya1a,제외하지 않아요!
32,0,Sakuya1a,이것이인가 원 다툴까!
33,0,Sakuya0a,도망치고 망설이세요
34,0,Sakuya0a,종도 장치도… 없습니다
35,0,Sakuya1a,나의 나이프로부터 도망칠 수 있다고 생각해?
36,0,Sakuya1a,목적으로부터는 피할 수 없다!
37,0,Sakuya0a,이 『세계』는 누구에게도 이해 할 수 없다
37,1,Sakuya1a,때야 멈추어랏!
37,2,Sakuya0a,… 이것이 나의 『세계』
37,3,Sakuya0a,그리고 때는 움직이기 시작한다―
38,0,Sakuya0a,이 『세계』는 누구에게도 이해 할 수 없다
38,1,Sakuya1a,닫아라 때의 우리!
38,2,Sakuya0a,… 이것이 나의 『세계』
38,3,Sakuya0a,때야、움직이기 시작해라―
39,0,Sakuya0a,이것으로 결정타로 할까요
39,1,Sakuya1a,막상、『나의 세계』에!
39,2,Sakuya0a,… 영차영차
39,3,Sakuya0a,、오름―
40,0,Sakuya0a,때는 항상 나의 아군인 것이야
40,1,Sakuya1a,… 보여 주어요!
40,2,Sakuya0a,… 는、그것은 무리였네요
40,3,Sakuya0a,그럼、재차… 보여 주어요!
41,0,Sakuya1a,바닥 시세!
42,0,Sakuya1a,보였닷!
43,0,Sakuya1a,마력을 담아…!
44,0,Sakuya1a,일격으로 잡는다!
45,0,Sakuya1a,나이프 다루기를 보여드려요
45,1,Sakuya1a,움직이는 틈은 주지 않는다!
45,2,Sakuya1a,결정타야!
46,0,Sakuya1a,외양 상관하고 있을 수 없어요
46,1,Sakuya1a,어쨌든 눌러 자른다!
46,2,Sakuya1a,결정타야!
47,0,Sakuya1a,튀기는 피까지는 가지 않지만…
47,1,Sakuya1a,잘게 자른다!
47,2,Sakuya1a,결정타야!
48,0,Sakuya1a,조금 지치는 기술이지만…
48,1,Sakuya1a,잘게 자른다!
48,2,Sakuya1a,결정타야!
49,0,Sakuya0a,시간 벌기는 자신있는 것이야
50,0,Sakuya0a,서로 그렇게 한정하는 시간을 낭비 하세요
51,0,Sakuya0a,시간은 항상 나의 아군이라고 말하는데…
52,0,Sakuya0a,과연 그 거리에 \n 나이프는 던질 수 없습니다
53,0,Sakuya0a,당황하지 않아도 괜찮아、\n 시간은 무한하게 있어요
54,0,Sakuya0a,이런 짖궂음도 해 오는 거네
55,0,Sakuya0a,원수는 토벌해요、편하게
56,0,Sakuya0a,… 이 기는 놓치지 않는다
57,0,Sakuya0a,찬스는 활용시켜 받아요
58,0,Sakuya0a,덕분에 상대의 버릇은 잡을 수 있었어요
59,0,Sakuya0a,여기서 잡아 버립시다
60,0,Sakuya0a,채우기를 잘못한 원이군요、계승해요
61,0,Sakuya0a,공격의 기회는 놓치지 않아요
62,0,Sakuya0a,적도 무저항은 아니라고 말하는 일이군요
63,0,Sakuya0a,노려지고 있어요、내려!
64,0,Sakuya0a,조금 돕는 편이 좋은 것 같구나
65,0,Sakuya0a,이것으로 빚 1개야
66,0,Sakuya0a,나이프로 못박읍시다
67,0,Sakuya0a,지원해요、능숙하게 하세요
68,0,Sakuya0a,시간 벌기는 숙달된 일이야
69,0,Sakuya0a,상대의 머리를 억제해요
70,0,Sakuya0a,둘이서 빨리 청소합시다
71,0,Sakuya0a,상대를 몰아넣어요、\n 능숙하게 해 줘
72,0,Sakuya0a,뒤에 앞두고 있는 것은、\n 메이드답지만、지루하구나
73,0,Sakuya0a,이것도 일이라면、\n 확실히 완수하게 해 받아요
74,0,Sakuya0a,집중 공격으로 단번에 잡읍시다
75,0,Sakuya0a,두 명이라면 정리도 빠르네요
76,0,Sakuya0a,이것은 누를 수 있는 모드군요
77,0,Sakuya0a,당신도 나의 세계를 느껴질까?
78,0,Sakuya0a,그 움직여、늦고조차 없어요
79,0,Sakuya0a,당신의 시간도、나의 것
80,0,Sakuya2a,미스즈! 당치 않음을 해…!
81,0,Sakuya0a,당신은 내려、\n 뒤는 내가 정리해요
82,0,Sakuya0a,미스즈、교대야
83,0,Sakuya0a,미스즈、잠에 취하지 않겠지요
