ID,LineID,face,dialog
0,0,Sakuya0b,질리지 않는 것 같네
1,0,Sakuya5b,눈앞의 쓰레기를 쓸어 내지 않으면
2,0,Sakuya0b,나의 공격、단념할 수 있을까?
3,0,Sakuya5b,그렇게 혼내주었으면 좋은거네
4,0,Sakuya0b,분수를 모르는거네
5,0,Sakuya1a,용서는 하지 않아요!
6,0,Sakuya0b,예상 이상이었지만、여기까지
7,0,Sakuya5b,힘의 차이를 보여 준다!
8,0,Sakuya0b,미스즈는 관에 도착했을까
9,0,Sakuya0b,쫓아 온 것을 후회 하세요
10,0,Sakuya0b,조금 상대를 해 줍시다
11,0,Sakuya0b,시간을 벌지 않으면…
12,0,Sakuya0b,시간을 벌지 않으면…
13,0,Sakuya5b,슬슬 기회일까요…
14,0,Sakuya5b,슬슬 기회일까요…
15,0,Sakuya1a,힘의 차이를 보여 준다!
16,0,Sakuya0b,질리지 않는 것 같네
17,0,Sakuya0b,눈앞의 쓰레기를 쓸어 내지 않으면
18,0,Sakuya1a,힘의 차이를 보여 준다!
19,0,Sakuya0b,질리지 않는 것 같네
20,0,Sakuya0b,눈앞의 쓰레기를 쓸어 내지 않으면
21,0,Sakuya5b,<EnRace>풍치가 건방져요
22,0,Sakuya0b,아가씨의 곳에는 가게 하지 않는다
23,0,Sakuya0b,당신의 다리는、내가 멈춘다
24,0,Sakuya0b,나에게는、물러나는 곳은 없다
25,0,Sakuya0b,결코 놓치지 않는다
26,0,Sakuya0b,… 여기서 숨통을 끊는다
27,0,Sakuya0b,아가씨의 곳에는 가게 하지 않는다
28,0,Sakuya0b,당신의 다리는、내가 멈춘다
29,0,Sakuya0a,나에게는、물러나는 곳은 없다
30,0,Sakuya1a,그 틈、놓치지 않아요
31,0,Sakuya1a,건다!
32,0,Sakuya5b,접근하면 이길 수 있다고 생각했어?
33,0,Sakuya0b,… 사라지세요
33,1,Sakuya5b,… 끝이야
34,0,Sakuya0b,… 결코 놓치지 않아요
34,1,Sakuya1a,… 끝이야
35,0,Sakuya2a,… 비록 사지가 잘게 뜯을 수 있어도
35,1,Sakuya2c,… 끝이야
36,0,Sakuya2c,… 아직、아직도!
