ID,LineID,face,dialog
0,0,Sanae1a,동풍골짜기 사나에、삽니다!
1,0,Sanae0a,하면 다시해진다 라는、\n 스와코님이 말씀하셨습니다
2,0,Sanae1a,답례입니다!
3,0,Sanae0a,조금 아픈 꼴을 당해 받습니다
4,0,Sanae0a,내가 상대 해 드립니다!
5,0,Sanae1a,먼저 공격한 것은 그쪽이니까요!
6,0,Sanae0a,여기서 신앙을 모으면、\n 스와코님도 기뻐해 주실 것
7,0,Sanae0d,당신에게 이기는 것 정도、\n 기적에서도 아무것도 아닙니다!
8,0,Sanae1a,당신을 넘어뜨리지 않으면 안 된다고…
9,0,Sanae0a,손대중은 하지 않아요!
10,0,Sanae6b,보고 있어 주세요、카나코님!
11,0,Sanae1a,난폭은 좋지 않습니다!
12,0,Sanae0a,여기서 물러가、\n 모리야 신사의 면목이…
13,0,Sanae1a,나는 아직도 꺾이지 않습니다!
14,0,Sanae0a,이길 수 없는 상대는 아닐 것입니다!
15,0,Sanae1a,진 채에서는 끝날 수 없습니다!
16,0,Sanae0a,아직 승부는 끝나 있지 않습니다!
17,0,Sanae0a,이 비술을 사용하면…
18,0,Sanae1a,이 방법으로、\n 당신을 퇴치하고 해 줍니다!
19,0,Sanae0a,약간이라면、\n 사용해도 괜찮네요
20,0,Sanae0a,신앙、챠지 완료!
21,0,Sanae0a,환상향에는、바다는 없습니다만…
22,0,Sanae0a,이 기적은、\n 꽤 볼품합니다
23,0,Sanae1a,이만큼의 신앙이 있으면、할 수 있습니다!
24,0,Sanae0a,카나코님、준비가 갖추어졌습니다!
25,0,Sanae1a,거기를 물러나 받습니다!
26,0,Sanae0a,충돌에 맞추어…!
27,0,Sanae1a,바람을 잘라…!
28,0,Sanae1a,파악했습니다!
29,0,Sanae1a,보이고 있습니다!
30,0,Sanae1a,거기입니다!
31,0,Sanae1a,비응、아뮬렛!
32,0,Sanae1a,맞아 주세요!
33,0,Sanae1a,슛─!
34,0,Sanae0a,신앙 레이저… 파이악!
35,0,Sanae0a,-와 밝게 가요!
36,0,Sanae1a,빛나고、새로운 별이야!
37,0,Sanae0a,대낮의 기적이야!
38,0,Sanae0a,힘이 높아지는 것을 느낍니다…
38,1,Sanae1a,비술·그레이소마타지!
38,2,Sanae1a,가 주세요!
39,0,Sanae0a,별을 그려、그 신력[神力]으로 장소를 맑게 한다…
39,1,Sanae0a,별을 그려、그 신력[神力]으로 장소를 맑게 한다…
39,2,Sanae1a,비술·그레이소마타지!
40,0,Sanae1a,이것이야말로、신이 건너는 가는 길!
40,1,Sanae1a,여세요!
40,2,Sanae1a,거기입니다!
41,0,Sanae1a,만물의 근원인 바다야、바람의 바탕으로!
41,1,Sanae1a,거기입니다!
41,2,Sanae1a,성패!
42,0,Sanae1a,바다를 나누는 모제의 기적이야!
42,1,Sanae1a,나눕니다!
42,2,Sanae1a,핫!
43,0,Sanae0a,카나코님、력을 빌려 주세요
43,1,Sanae1a,건미나카타、초래!
43,2,Sanae1a,바람이야…
43,3,Sanae1a,이끌어 주세요!
43,4,Sanae1a,하아아아…
43,5,Sanae1a,이것이、천황의 힘입니다!
44,0,Sanae0a,잘 부탁드립니다、카나코님
44,1,Sanae1a,와라、건신의 바람!
44,2,Sanae1a,이 바람을 타…
44,3,Sanae1a,뜁니닷!
44,4,Sanae1a,하아아아…
44,5,Sanae1a,조금은 반성해 주세요!
45,0,Sanae0a,바람의 힘을 이 몸에 걸치면…
45,1,Sanae1a,와 주세요、카나코님!
45,2,Sanae1a,가요…
45,3,Sanae1a,점프!
45,4,Sanae1a,아직도오…
45,5,Sanae0a,보고 있었습니까、레이무씨!
46,0,Sanae0a,신신 일체의 비술입니다
46,1,Sanae1a,구현해、하늘을 맡아 해 야사카의 신력[神力]!
46,2,Sanae1a,우리 몸에 머무는 바람이 되어…
46,3,Sanae1a,모리야에 적대하는 적을 토벌해라!
46,4,Sanae1a,하아아아…
46,5,Sanae1a,이거야 비오의[秘奧義]、사몬타케미나카타!
47,0,Sanae0a,야사카님、력을 빌려 주세요
