ID,LineID,face,dialog
0,0,Sanae0a,방해를 할 생각이라면、\n 어쩔 수 없습니다
1,0,Sanae0a,후후… 나와 싸울 생각입니까
2,0,Sanae0a,너무 빈둥거리고 있으면、\n 조금 전의 텐구의 사람이 화낼 것 같습니다
3,0,Sanae0a,쫓는 것은 멈추어 받을 수 있지 않습니까?
4,0,Sanae1a,그쪽으로부터 시작한 것이에요!
5,0,Sanae0a,몇번 해도 같다고 생각해요
6,0,Sanae6a,아직 합니까? 하쿠레이의 무녀
7,0,Sanae0a,마지막 선언을 할 생각까지는 \n 없습니다만…
8,0,Sanae0a,한 자식에게 비결 전수의 비술을 보여드립시다
9,0,Sanae1a,설득이 통하지 않아서는、\n 방법이 없습니다
10,0,Sanae0a,몇번 해도 같아요
11,0,Sanae1a,어느 쪽이 환상향의 무녀에 적당한가、\n 확실히 합시다
12,0,Sanae0a,전회의 결과를 잊은 것입니까?
13,0,Sanae0a,도전이라면、\n 언제라도 받아들여요
14,0,Sanae0a,경내에 요괴를 허락하는 것은、\n 결과적으로 제신에게로의 모독이 됩니다
15,0,Sanae0a,당신을 넘어뜨려、\n 하쿠레이 신사는 영업 정지입니다!
16,0,Sanae1a,당신과 같은 불량 무녀에、\n 내가 질 이유 없습니다!
17,0,Sanae0a,상태가 이상해…? \n 말해라、기분탓입니다!
18,0,Sanae0a,반드시、집중력이 부족합니다
19,0,Sanae2a,… 야사카님、설시님…
20,0,Sanae0a,야사카님…\n 한 번만 더、기적의 힘을 주세요
21,0,Sanae0a,모리야 신사의 신앙의 힘、\n 보여 드립시다
22,0,Sanae0a,이전과 같이는 가지 않아요!
23,0,Sanae0a,역시、텐구의 여러분은…
24,0,Sanae1a,이렇게 되는 일도、각오 위입니다!
25,0,Sanae1a,야사카님의 가호가 있으면、\n 나는 지지 않습니다!
26,0,Sanae1a,야사카님의 가호가 있으면、\n 나는 지지 않습니다!
27,0,Sanae0a,승부입니다、레이무씨!
28,0,Sanae0a,하쿠레이 신사는、\n 우리 모리야 신사가 받습니다!
29,0,Sanae1a,당신이 그런 일이니까、\n 신님은 신앙을 잃습니다!
30,0,Sanae1a,레이무씨에게는 모릅니다!
31,0,Sanae1a,거기를 물러나 받습니다!
32,0,Sanae0a,그다지 아프게 하지 않을 생각입니다
33,0,Sanae0a,나에게는 당해 내지 않아요!
34,0,Sanae1a,거기입니다!
35,0,Sanae1a,보이고 있습니다!
36,0,Sanae1a,슛─!
37,0,Sanae0a,대낮에 깜박거리는 별의 빛이야!
38,0,Sanae1a,비술·그레이소마타지!
39,0,Sanae0a,걸어 뿌리는 것도 외 나무―\n 스와의 호수에 신 머무는、\n 다케미나카타노 가미…
39,1,Sanae0a,여러가지의 재난죄예 어머나 응、\n 쫓을 수 있는 급 있고、맑은 급네와 흰색일을 \n 문 적시라고 공 보고 공도 흰색―
39,2,Sanae0a,여러가지의 재난죄예 어머나 응、\n 쫓을 수 있는 급 있고、맑은 급네와 흰색일을 \n 문 적시라고 공 보고 공도 흰색―
40,0,Sanae0a,걸어 뿌리는 것도 외 나무―\n 스와의 호수에 신 머무는、\n 다케미나카타노 가미…
40,1,Sanae0a,여러가지의 재난죄예 어머나 응、\n 쫓을 수 있는 급 있고、맑은 급네와 흰색일을 \n 문 적시라고
40,2,Sanae0a,여러가지의 재난죄예 어머나 응、\n 쫓을 수 있는 급 있고、맑은 급네와 흰색일을 \n 문 적시라고 공 보고 공도 흰색―
41,0,Sanae1a,바다를 나누는 모제의 기적이야!
41,1,Sanae1a,핫!
42,0,Sanae0a,… 야사카님、력을 빌려 주세요
42,1,Sanae1a,건미나카타、초래!
42,2,Sanae1a,바람이야…
42,3,Sanae1a,이끌어 주세요!
42,4,Sanae1a,하아아아아…!
42,5,Sanae1a,나는 지지 않습니다!
43,0,Sanae0a,… 야사카님、모두 갑니다
43,1,Sanae1a,건미나카타、초래!
43,2,Sanae1a,바람의 인도만 있으면…
43,3,Sanae1a,나는 지지 않습니다!
43,4,Sanae1a,하아아아아…!
43,5,Sanae1a,이것이、야사카님의 힘입니다!
44,0,Sanae1a,나에게는、\n 야사카님이 계십니다!
44,1,Sanae1a,와라、건신의 바람!
44,2,Sanae1a,비록 무엇이 있을지라도…
44,3,Sanae1a,이 바람과 함께 있습니다!
44,4,Sanae1a,바람이야!
44,5,Sanae1a,나는 결코 지지 않습니다!
45,0,Sanae1a,카미카제야、불어라!
46,0,Sanae1a,야사카의 바람이야…\n 인도와 신앙의 히와 를!
47,0,Sanae0a,지금은、싸우고 있을 때는 아닙니다
48,0,Sanae0a,닿지 않아서는、어쩔 수 없네요
49,0,Sanae0a,… 지금은、이것도 방법이 없습니다
50,0,Sanae0a,받고 있을 뿐으로는、\n 승리는 얻을 수 있지 않네요
51,0,Sanae0a,그렇게 여럿이서…
52,0,Sanae1a,그런 곳부터、비겁합니다!
53,0,Sanae0a,겁이 났습니까、레이무씨?
54,0,Sanae0a,닿지 않아서는、어쩔 수 없습니다
