ID,LineID,face,dialog
0,0,Murasa0a,성련선의 힘、보여 버리자!
1,0,Murasa0a,전투 개시야、기관전속!
2,0,Ichirin0a,진로상에 적이야!
3,0,Unzan0a,……!
3,1,Murasa0a,운잔、앞이 안보인다고!
4,0,Ichirin0a,근처에 피해가 없도록 해요?
4,1,Murasa0a,알고 있다고!
5,0,Murasa0a,고쳐 세우면、곧 반격 한다!
6,0,Murasa0a,당하면 다시하는、\n 선원의 철칙!
7,0,Ichirin0a,상대의 끝날무렵이 나쁜、할 수 있어요!
8,0,Unzan0a,……!
8,1,Ichirin0a,괘씸한 자는 놓친데…\n (와)과 운잔은 말하고 있어요
9,0,Ichirin0a,무라사、놓쳐서는 안 돼요!
9,1,Murasa0a,물론 그럴 생각!
10,0,Ichirin0a,이 이길 기회를 놓치지 않도록요!
11,0,Murasa2b,이 정도의 폭풍우、넘어 보인다!
12,0,Murasa0a,성련선이 움직이는 한、나는 싸운다!
13,0,Murasa2b,벌써 화냈다、어쨌든 해준다!
13,1,Ichirin0a,무라사、냉정하게 되어!
14,0,Murasa2b,이 성련선이 반격 할 수 없다니…
15,0,Murasa2b,저쪽이 성능이 위야…?
16,0,Ichirin0a,뒤는 성련선이 맡아요!
17,0,Murasa0a,물러나고 물러나! \n 빈둥거리고 있다고 맞아 버린다!
18,0,Unzan0a,……
18,1,Ichirin0a,운잔이 말하는 대로、\n 뒤로 내리고 있으면 좋아요
19,0,Ichirin0a,아군과 적의 사이에 비집고 들어가!
20,0,Murasa0a,성련선을 앞에 낸다!
21,0,Murasa0a,위험하다! \n 지금、치는 곳이었다
21,1,Ichirin0a,원호하러 온 것이지요、\n 조심하세요
22,0,Ichirin0a,손해는 없는가、일단 확인해 둬
23,0,Murasa0a,저것、지금 뭔가 맞았어?
23,1,Ichirin0a,자? \n 어느 쪽으로 하든 깨닫지 않는 정도야
24,0,Murasa0a,과연 성련선! 꿈쩍도 하지 않다
24,1,Ichirin0a,과신은 금물이야. 신중하게 해요
25,0,Murasa2b,재미없는 공격으로 \n 성련선에 상처를 입히다니…!
25,1,Ichirin0a,억제하고 억제해
26,0,Unzan0a,……!
26,1,Ichirin0a,위험할 때야말로、일치단결해라…\n (와)과 운잔은 말하고 있어요
27,0,Murasa2b,나는 성련선과 운명을 같이 해요…
27,1,Ichirin2a,재수없는 것 말하지 않는거야!
28,0,Ichirin2a,이대로는、아무리 성련선에서도…
29,0,Murasa2b,이래서야 히지리에게 대면 할 수 없다…
30,0,Ichirin2a,격벽 폐쇄! 본당을 지켜!
31,0,Murasa2b,역시、키의 효능이 달콤해!
31,1,Ichirin2a,변명 하지 않고 \n 다음에 대비해 줘
32,0,Ichirin2a,조금、\n 지금은 몇번도 받을 수 없어요!
32,1,Murasa2b,말해지지 않아도!
33,0,Unzan0a,……
33,1,Murasa2b,그런 눈으로 보지 않아도、\n 다음은 피해 주어요!
34,0,Murasa2b,총원내쇼크 자세!
34,1,Ichirin2a,벌써 내쇼크!
35,0,Ichirin2a,운잔、만일의 경우에는 \n 선체를 지지해 줘!
35,1,Unzan0a,……!
36,0,Murasa2b,성련선은 이 정도는 가라앉지 않는다!
37,0,Ichirin2a,맞는다면、\n 장갑의 두꺼운 곳으로 받아!
37,1,Murasa2b,이치린은 어려운 일 말하는구나
38,0,Murasa0a,나도 수행이 부족하다…
38,1,Ichirin0a,코우보우도 붓을 잘못한다
39,0,Murasa2b,이런 것、폭풍우의 바다에 비하면…!
40,0,Unzan0a,……
40,1,Ichirin0a,선장도 하면 할 수 있지 않을까…\n (와)과 운잔은 말하고 있어요
41,0,Ichirin0a,이런 큰 상대에게도 \n 맞힐 수 없다니
41,1,Murasa0a,조타수의 팔이 좋으니까
42,0,Murasa0a,탄막의 바다、극복해 보여요
43,0,Murasa0a,피한… 집、찌꺼기의!?
44,0,Murasa0a,억지로라도 뿌리친다!
45,0,Murasa0a,선회할게、잡혀!
46,0,Murasa0a,히지리의 법력이 지켜 주었다!
46,1,Ichirin0a,그런 일로 해 둡시다
47,0,Murasa0a,배로 베어버려!
47,1,Ichirin0a,새롭네요
48,0,Ichirin0a,어서오세요
48,1,Murasa0a,나무개─있고 마중이다!
49,0,Murasa0a,선수를 취한、이거야 명지휘봉!
49,1,Ichirin0a,우쭐해지지 않는거야
50,0,Murasa0a,무서운 상대도 힘이 부족해서 짐은 하지 않는다! \n … 그렇다고 해
51,0,Ichirin0a,이런 식으로 싸우는 것이、\n 지금의 법식인 거네!
52,0,Murasa2a,부상한 날에 떨어뜨려지다는、\n 농담이 아니다!
53,0,Ichirin2a,선체를 흔들다는、\n 과연 바보력이군요…!
54,0,Murasa0a,성련선의 힘、보여 버리자!
55,0,Murasa0a,전투 개시야、기관전속!
56,0,Ichirin0a,진로상에 적이야!
57,0,Akyu0a,이제 슬슬 회적[会敵] 합니다
57,1,Murasa0a,양해[了解]、공격을 시작하자
58,0,Unzan0a,……!
58,1,Murasa0a,운잔、앞이 안보인다고!
59,0,Ichirin0a,근처에 피해가 없도록 해요?
59,1,Murasa0a,알고 있다고!
60,0,Murasa0a,고쳐 세우면、곧 반격 한다!
61,0,Murasa0a,당하면 다시하는、\n 선원의 철칙!
62,0,Ichirin0a,상대의 끝날무렵이 나쁜、할 수 있어요!
63,0,Unzan0a,……!
63,1,Ichirin0a,괘씸한 자는 놓친데…\n (와)과 운잔은 말하고 있어요
64,0,Akyu1a,무라사씨、\n 주위에 사람의 그림자는 없습니다!
64,1,Murasa0a,그렇다면 반격、전함회두!
65,0,Ichirin0a,무라사、놓쳐서는 안 돼요!
65,1,Murasa0a,물론 그럴 생각!
66,0,Ichirin0a,이 이길 기회를 놓치지 않도록요!
67,0,Murasa2b,이 정도의 폭풍우、넘어 보인다!
68,0,Murasa0a,성련선이 움직이는 한、나는 싸운다!
69,0,Akyu2a,추력이 떨어지고 있습니다、\n 이대로는…!
69,1,Murasa0a,좋아、아직 싸울 수 있다!
70,0,Murasa2b,벌써 화냈다、어쨌든 해준다!
70,1,Ichirin0a,무라사、냉정하게 되어!
71,0,Murasa1a,흩뿌리면 얼마인가 맞을 것…!
72,0,Murasa1a,이것이라도 견제에는 충분하다!
73,0,Ichirin1a,각 포좌、헛됨탄 쏘지 마!
74,0,Ichirin1a,탄막을 쳐!
75,0,Murasa1a,경기 좋게、부탁해요!
76,0,Murasa1a,측부 영력포、공격해라아!
77,0,Murasa1a,영력포로 공격한다!
78,0,Murasa1a,측부 영력포、전포문 열어라!
79,0,Murasa1a,일제사다! 마음껏 부탁!
80,0,Murasa1a,어물어물 하고 있다고 맞아 버린다!
81,0,Murasa1a,예 있고、야!
82,0,Murasa1a,목표 『전방』! 공격해라아!
83,0,Ichirin1a,무라사、아군을 말려들게 하지 말아요!
84,0,Ichirin1a,주포、준비 되어 있어요!
85,0,Murasa1a,법력노、출력 전개!
85,1,Ichirin1a,할 수 있어요、무라사!
85,2,Murasa1a,가라앉아 버려라!
86,0,Murasa1a,주포、발사 준비!
86,1,Ichirin1a,사선、다녔어요!
86,2,Murasa1a,공격해라앗!
87,0,Ichirin1a,전함의 영력을 주포에 집중!
87,1,Murasa1a,조준 맞추어라… 좋아!
87,2,Murasa1a,맞아랏!
88,0,Murasa1a,방해 하는 배는、\n 모두 침몰배로 해 주어요!
88,1,Murasa1a,먹어랏!
88,2,Ichirin1a,계속해 집중포화!
89,0,Murasa1a,출력 상승、부상한다!
89,1,Murasa1a,격침 안칵!
89,2,Ichirin1a,지금이라면 맞는、전포문 열어라!
90,0,Ichirin1a,상공으로부터 공격합시다!
90,1,Murasa1a,엥커 사출!
90,2,Murasa1a,걸었다! 공격해라앗!
91,0,Ichirin1a,선체를 고정해 포격 해요
91,1,Murasa1a,닻은 제외하지 않아!
91,2,Murasa1a,가라앉히고옷!!
92,0,Murasa0a,몸의 자세를 고쳐 세운다!
93,0,Murasa0a,빨리 배의 방향을 바꾸지 않으면…
94,0,Murasa2b,이 성련선이 반격 할 수 없다니…
