ID,LineID,face,dialog
0,0,Murasa0a,성련선의 힘、보여 버리자!
1,0,Murasa0a,전투 개시야、기관전속!
1,1,Kosuzu0a,남편과、잡지 않았다고…
2,0,Ichirin0a,진로상에 적이야!
3,0,Unzan0a,……!
3,1,Murasa0a,운잔、앞이 안보인다고!
4,0,Kosuzu0a,혹시、싸웁니까!?
4,1,Murasa0a,당연하잖아!
5,0,Ichirin0a,근처에 피해가 없도록 해요?
5,1,Murasa0a,알고 있다고!
6,0,Kosuzu0a,아직 옆에 있는 것 같아요!
6,1,Ichirin0a,그렇다면、반격 할 수 밖에 없네요!
7,0,Murasa0a,고쳐 세우면、곧 반격 한다!
8,0,Murasa0a,당하면 다시하는、\n 선원의 철칙!
9,0,Ichirin0a,상대의 끝날무렵이 나쁜、할 수 있어요!
10,0,Unzan0a,……!
10,1,Ichirin0a,괘씸한 자는 놓친데…\n (와)과 운잔은 말하고 있어요
11,0,Ichirin0a,무라사、놓쳐서는 안 돼요!
11,1,Murasa0a,물론 그럴 생각!
12,0,Ichirin0a,이 이길 기회를 놓치지 않도록요!
13,0,Murasa2b,이 정도의 폭풍우、넘어 보인다!
14,0,Murasa0a,성련선이 움직이는 한、나는 싸운다!
15,0,Murasa2b,벌써 화냈다、어쨌든 해준다!
15,1,Ichirin0a,무라사、냉정하게 되어!
16,0,Murasa1a,흩뿌리면 얼마인가 맞을 것…!
17,0,Murasa1a,이것이라도 견제에는 충분하다!
18,0,Ichirin1a,각 포좌、헛됨탄 쏘지 마!
19,0,Ichirin1a,탄막을 쳐!
20,0,Murasa1a,경기 좋게、부탁해요!
21,0,Murasa1a,측부 영력포、공격해라아!
22,0,Murasa1a,영력포로 공격한다!
23,0,Murasa1a,측부 영력포、전포문 열어라!
24,0,Murasa1a,일제사다! 마음껏 부탁!
25,0,Murasa1a,어물어물 하고 있다고 맞아 버린다!
26,0,Murasa1a,예 있고、야!
27,0,Murasa1a,목표 『전방』! 공격해라아!
28,0,Ichirin1a,무라사、아군을 말려들게 하지 말아요!
29,0,Ichirin1a,주포、준비 되어 있어요!
30,0,Murasa1a,법력노、출력 전개!
30,1,Ichirin1a,할 수 있어요、무라사!
30,2,Murasa1a,가라앉아 버려라!
31,0,Murasa1a,주포、발사 준비!
31,1,Ichirin1a,사선、다녔어요!
31,2,Murasa1a,공격해라앗!
32,0,Ichirin1a,전함의 영력을 주포에 집중!
32,1,Murasa1a,조준 맞추어라… 좋아!
32,2,Murasa1a,맞아랏!
33,0,Murasa1a,방해 하는 배는、\n 모두 침몰배로 해 주어요!
33,1,Murasa1a,먹어랏!
33,2,Ichirin1a,계속해 집중포화!
34,0,Murasa1a,출력 상승、부상한다!
34,1,Murasa1a,격침 안칵!
34,2,Ichirin1a,지금이라면 맞는、전포문 열어라!
35,0,Ichirin1a,상공으로부터 공격합시다!
35,1,Murasa1a,엥커 사출!
35,2,Murasa1a,걸었다! 공격해라앗!
36,0,Ichirin1a,선체를 고정해 포격 해요
36,1,Murasa1a,닻은 제외하지 않아!
36,2,Murasa1a,가라앉히고옷!!
37,0,Murasa0a,몸의 자세를 고쳐 세운다!
38,0,Murasa0a,빨리 배의 방향을 바꾸지 않으면…
39,0,Murasa2b,이 성련선이 반격 할 수 없다니…
40,0,Murasa2b,코스즈! 적의 거리는!?
40,1,Kosuzu0a,… 먼 곳입니다!
41,0,Murasa0a,보복이라는 것은、유령의 특기야!
42,0,Kosuzu0a,멋졌던 것이에요!
43,0,Ichirin0a,뒤는 성련선이 맡아요!
44,0,Murasa0a,물러나고 물러나! \n 빈둥거리고 있다고 맞아 버린다!
45,0,Unzan0a,……
45,1,Ichirin0a,운잔이 말하는 대로、\n 뒤로 내리고 있으면 좋아요
46,0,Ichirin0a,아군과 적의 사이에 비집고 들어가!
47,0,Murasa0a,성련선을 앞에 낸다!
48,0,Murasa0a,위험하다! \n 지금、치는 곳이었다
48,1,Ichirin0a,원호하러 온 것이지요、\n 조심하세요
49,0,Murasa2b,… 그 기분、쓸데없게 하는 것일까!
50,0,Murasa0a,별、너 혼자서 \n 싸우고 있는 것이 아니야!
51,0,Ichirin0a,별、너무 의욕에 넘치지 말아줘
52,0,Ichirin0a,전에 지나쳐라、별!
53,0,Murasa0a,별、멍하니 하고 있는 것이지 않아!
54,0,Murasa2b,나즈린까지、\n 이 성련선을 위해서(때문에)…!
55,0,Ichirin0a,나즈린、\n 자주(잘) 길을 만들어 주었군요
56,0,Murasa0a,나즈린、후는 맡겨!
57,0,Ichirin0a,나즈린、그다지 무리를 하지 말아줘!
58,0,Murasa0a,남편、나즈린은 \n 작기 때문에 치는 곳이었다
59,0,Ichirin0a,누에、무리는 하지 않도록요!
60,0,Murasa0a,누에、고마워요!
61,0,Murasa0a,누에까지 손상시키게 하지 않는다!
62,0,Ichirin0a,누에、위험하다!
63,0,Ichirin0a,케이네씨가 만들어 준 호기예요!
64,0,Ichirin1a,어떤 공격에도 기가 죽음은 하지 않는다!
64,1,Murasa1a,응、깨닫게 하자!
65,0,Murasa1a,어떤 거센 파도라도 받아 들여 보인다!
65,1,Kosuzu0a,그래요、해 버려 주세요!
66,0,Murasa1a,뜻은 결코 심 보고 야자 없다!
66,1,Ichirin0a,예、이것은 히지리를 위한 배야!
67,0,Kosuzu0a,무라사씨、상입니다!
67,1,Murasa0a,네네、맡겨 둬!
68,0,Kosuzu0a,무라사씨、오른쪽으로부터 옵니다!
68,1,Ichirin0a,코스즈、살아나요
69,0,Kosuzu0a,무라사씨、왼쪽으로 피해!
69,1,Murasa0a,양해[了解]!
70,0,Ichirin0a,손해는 없는가、일단 확인해 둬
71,0,Murasa0a,저것、지금 뭔가 맞았어?
71,1,Ichirin0a,자? \n 어느 쪽으로 하든 깨닫지 않는 정도야
72,0,Murasa0a,과연 성련선! 꿈쩍도 하지 않다
72,1,Ichirin0a,과신은 금물이야. 신중하게 해요
73,0,Murasa2b,재미없는 공격으로 \n 성련선에 상처를 입히다니…!
73,1,Ichirin0a,억제하고 억제해
74,0,Unzan0a,……!
74,1,Ichirin0a,위험할 때야말로、일치단결해라…\n (와)과 운잔은 말하고 있어요
75,0,Murasa2b,나는 성련선과 운명을 같이 해요…
75,1,Ichirin2a,재수없는 것 말하지 않는거야!
76,0,Ichirin2a,이대로는、아무리 성련선에서도…
77,0,Murasa2b,이래서야 히지리에게 대면 할 수 없다…
78,0,Ichirin2a,격벽 폐쇄! 본당을 지켜!
79,0,Murasa2b,역시、키의 효능이 달콤해!
79,1,Ichirin2a,변명 하지 않고 \n 다음에 대비해 줘
80,0,Ichirin2a,조금、\n 지금은 몇번도 받을 수 없어요!
80,1,Murasa2b,말해지지 않아도!
81,0,Unzan0a,……
81,1,Murasa2b,그런 눈으로 보지 않아도、\n 다음은 피해 주어요!
82,0,Murasa2b,총원내쇼크 자세!
82,1,Ichirin2a,벌써 내쇼크!
83,0,Ichirin2a,운잔、만일의 경우에는 \n 선체를 지지해 줘!
83,1,Unzan0a,……!
84,0,Murasa2b,성련선은 이 정도는 가라앉지 않는다!
85,0,Ichirin2a,맞는다면、\n 장갑의 두꺼운 곳으로 받아!
85,1,Murasa2b,이치린은 어려운 일 말하는구나
86,0,Murasa0a,나도 수행이 부족하다…
86,1,Ichirin0a,코우보우도 붓을 잘못한다
87,0,Kosuzu0a,와、이것은 괜찮아!?
88,0,Murasa2b,이런 것、폭풍우의 바다에 비하면…!
89,0,Unzan0a,……
89,1,Ichirin0a,선장도 하면 할 수 있지 않을까…\n (와)과 운잔은 말하고 있어요
90,0,Ichirin0a,이런 큰 상대에게도 \n 맞힐 수 없다니
90,1,Murasa0a,조타수의 팔이 좋으니까
91,0,Murasa0a,탄막의 바다、극복해 보여요
92,0,Murasa0a,피한… 집、찌꺼기의!?
93,0,Kosuzu0a,、위!
94,0,Murasa0a,억지로라도 뿌리친다!
95,0,Murasa0a,선회할게、잡혀!
96,0,Kosuzu0a,와아─! \n 이것이 배리어라는 녀석이야!
