ID,LineID,face,dialog
0,0,Murasa0a,성련선의 힘、보여 버리자!
1,0,Murasa0a,전투 개시야、기관전속!
1,1,Kosuzu0a,남편과、잡지 않았다고…
2,0,Ichirin0a,진로상에 적이야!
3,0,Akyu0a,이제 슬슬 회적[会敵] 합니다
3,1,Murasa0a,양해[了解]、공격을 시작하자
4,0,Unzan0a,……!
4,1,Murasa0a,운잔、앞이 안보인다고!
5,0,Kosuzu0a,혹시、싸웁니까!?
5,1,Murasa0a,당연하잖아!
6,0,Ichirin0a,근처에 피해가 없도록 해요?
6,1,Murasa0a,알고 있다고!
7,0,Kosuzu0a,아직 옆에 있는 것 같아요!
7,1,Ichirin0a,그렇다면、반격 할 수 밖에 없네요!
8,0,Murasa0a,고쳐 세우면、곧 반격 한다!
9,0,Murasa0a,당하면 다시하는、\n 선원의 철칙!
10,0,Ichirin0a,상대의 끝날무렵이 나쁜、할 수 있어요!
11,0,Unzan0a,……!
11,1,Ichirin0a,괘씸한 자는 놓친데…\n (와)과 운잔은 말하고 있어요
12,0,Akyu1a,무라사씨、\n 주위에 사람의 그림자는 없습니다!
12,1,Murasa0a,그렇다면 반격、전함회두!
13,0,Ichirin0a,무라사、놓쳐서는 안 돼요!
13,1,Murasa0a,물론 그럴 생각!
14,0,Ichirin0a,이 이길 기회를 놓치지 않도록요!
15,0,Murasa2b,이 정도의 폭풍우、넘어 보인다!
16,0,Murasa0a,성련선이 움직이는 한、나는 싸운다!
17,0,Akyu2a,추력이 떨어지고 있습니다、\n 이대로는…!
17,1,Murasa0a,좋아、아직 싸울 수 있다!
18,0,Murasa2b,벌써 화냈다、어쨌든 해준다!
18,1,Ichirin0a,무라사、냉정하게 되어!
19,0,Murasa1a,흩뿌리면 얼마인가 맞을 것…!
20,0,Murasa1a,이것이라도 견제에는 충분하다!
21,0,Ichirin1a,각 포좌、헛됨탄 쏘지 마!
22,0,Ichirin1a,탄막을 쳐!
23,0,Murasa1a,경기 좋게、부탁해요!
24,0,Murasa1a,측부 영력포、공격해라아!
25,0,Murasa1a,영력포로 공격한다!
26,0,Murasa1a,측부 영력포、전포문 열어라!
27,0,Murasa1a,일제사다! 마음껏 부탁!
28,0,Murasa1a,어물어물 하고 있다고 맞아 버린다!
29,0,Murasa1a,예 있고、야!
30,0,Murasa1a,목표 『전방』! 공격해라아!
31,0,Ichirin1a,무라사、아군을 말려들게 하지 말아요!
32,0,Ichirin1a,주포、준비 되어 있어요!
33,0,Murasa1a,법력노、출력 전개!
33,1,Ichirin1a,할 수 있어요、무라사!
33,2,Murasa1a,가라앉아 버려라!
34,0,Murasa1a,주포、발사 준비!
34,1,Ichirin1a,사선、다녔어요!
34,2,Murasa1a,공격해라앗!
35,0,Ichirin1a,전함의 영력을 주포에 집중!
35,1,Murasa1a,조준 맞추어라… 좋아!
35,2,Murasa1a,맞아랏!
36,0,Murasa1a,방해 하는 배는、\n 모두 침몰배로 해 주어요!
36,1,Murasa1a,먹어랏!
36,2,Ichirin1a,계속해 집중포화!
37,0,Murasa1a,출력 상승、부상한다!
37,1,Murasa1a,격침 안칵!
37,2,Ichirin1a,지금이라면 맞는、전포문 열어라!
38,0,Ichirin1a,상공으로부터 공격합시다!
38,1,Murasa1a,엥커 사출!
38,2,Murasa1a,걸었다! 공격해라앗!
39,0,Ichirin1a,선체를 고정해 포격 해요
39,1,Murasa1a,닻은 제외하지 않아!
39,2,Murasa1a,가라앉히고옷!!
40,0,Murasa0a,몸의 자세를 고쳐 세운다!
41,0,Murasa0a,빨리 배의 방향을 바꾸지 않으면…
42,0,Murasa2b,이 성련선이 반격 할 수 없다니…
43,0,Murasa2b,코스즈! 적의 거리는!?
43,1,Kosuzu0a,… 먼 곳입니다!
44,0,Murasa2b,저쪽이 성능이 위야…?
44,1,Akyu2a,색적에 반응 없음…\n 감쪽같이 속았습니다
45,0,Murasa0a,보복이라는 것은、유령의 특기야!
46,0,Kosuzu0a,멋졌던 것이에요!
47,0,Ichirin0a,뒤는 성련선이 맡아요!
48,0,Akyu0a,거들기에 왔던、\n 내려 주세요
49,0,Murasa0a,물러나고 물러나! \n 빈둥거리고 있다고 맞아 버린다!
50,0,Unzan0a,……
50,1,Ichirin0a,운잔이 말하는 대로、\n 뒤로 내리고 있으면 좋아요
51,0,Ichirin0a,아군과 적의 사이에 비집고 들어가!
52,0,Murasa0a,성련선을 앞에 낸다!
53,0,Murasa0a,위험하다! \n 지금、치는 곳이었다
53,1,Ichirin0a,원호하러 온 것이지요、\n 조심하세요
54,0,Murasa2b,… 그 기분、쓸데없게 하는 것일까!
55,0,Murasa0a,별、너 혼자서 \n 싸우고 있는 것이 아니야!
56,0,Ichirin0a,별、너무 의욕에 넘치지 말아줘
57,0,Ichirin0a,전에 지나쳐라、별!
58,0,Murasa0a,별、멍하니 하고 있는 것이지 않아!
59,0,Murasa2b,나즈린까지、\n 이 성련선을 위해서(때문에)…!
60,0,Ichirin0a,나즈린、\n 자주(잘) 길을 만들어 주었군요
61,0,Murasa0a,나즈린、후는 맡겨!
62,0,Ichirin0a,나즈린、그다지 무리를 하지 말아줘!
63,0,Murasa0a,남편、나즈린은 \n 작기 때문에 치는 곳이었다
64,0,Ichirin0a,누에、무리는 하지 않도록요!
65,0,Murasa0a,누에、고마워요!
66,0,Murasa0a,누에까지 손상시키게 하지 않는다!
67,0,Ichirin0a,누에、위험하다!
68,0,Akyu1a,케이네씨의 몫도 싸웁시다!
69,0,Ichirin0a,케이네씨가 만들어 준 호기예요!
70,0,Akyu0a,케이네씨가 틈을 만들어 주었어요!
71,0,Akyu0a,케이네씨를 지킬 수 있다는、\n 조금 신선하네요
72,0,Akyu1a,케이네씨의 원호에 들어갑시다!
72,1,Murasa0a,알고 있는、알고 있다. \n 분명하게 시간에 맞았어!
73,0,Ichirin1a,어떤 공격에도 기가 죽음은 하지 않는다!
73,1,Murasa1a,응、깨닫게 하자!
74,0,Murasa1a,어떤 거센 파도라도 받아 들여 보인다!
74,1,Akyu1a,아、남아 난폭한 조종은…!
75,0,Murasa1a,어떤 거센 파도라도 받아 들여 보인다!
75,1,Kosuzu0a,그래요、해 버려 주세요!
76,0,Murasa1a,뜻은 결코 심 보고 야자 없다!
76,1,Ichirin0a,예、이것은 히지리를 위한 배야!
77,0,Akyu0a,아휴、\n 나의 지식에 있던 대로의 공격이군요
77,1,Murasa0a,고마워요、박식 아큐
78,0,Akyu1a,무라사씨、상에 피해 주세요!
78,1,Ichirin0a,아큐는 정말、묘하게 날카롭네요
79,0,Akyu1a,무라사씨、오른쪽으로부터 옵니다!
79,1,Murasa0a,양해[了解]!
80,0,Akyu1a,무라사씨、왼쪽입니다!
80,1,Murasa0a,올 방향을 알면!
81,0,Kosuzu0a,무라사씨、상입니다!
81,1,Murasa0a,네네、맡겨 둬!
82,0,Kosuzu0a,무라사씨、오른쪽으로부터 옵니다!
82,1,Ichirin0a,코스즈、살아나요
83,0,Kosuzu0a,무라사씨、왼쪽으로 피해!
83,1,Murasa0a,양해[了解]!
84,0,Ichirin0a,손해는 없는가、일단 확인해 둬
85,0,Murasa0a,저것、지금 뭔가 맞았어?
85,1,Ichirin0a,자? \n 어느 쪽으로 하든 깨닫지 않는 정도야
86,0,Akyu0a,쾌적한 뱃여행이에요、선장
86,1,Murasa0a,그것은 좋았던、경치도 즐겨요
87,0,Murasa0a,과연 성련선! 꿈쩍도 하지 않다
87,1,Ichirin0a,과신은 금물이야. 신중하게 해요
88,0,Murasa2b,재미없는 공격으로 \n 성련선에 상처를 입히다니…!
88,1,Ichirin0a,억제하고 억제해
89,0,Unzan0a,……!
89,1,Ichirin0a,위험할 때야말로、일치단결해라…\n (와)과 운잔은 말하고 있어요
90,0,Akyu2a,선체 유지에 지장… 운잔씨!
90,1,Unzan0a,……!
91,0,Murasa2b,나는 성련선과 운명을 같이 해요…
91,1,Ichirin2a,재수없는 것 말하지 않는거야!
92,0,Ichirin2a,이대로는、아무리 성련선에서도…
