ID,LineID,face,dialog
0,0,Murasa0a,성련선의 힘을 보이자!
1,0,Murasa0a,전투 개시야、기관전속!
1,1,Kosuzu0a,남편과、잡지 않았다고…
2,0,Kosuzu0a,혹시、싸웁니까!?
2,1,Murasa0a,당연하잖아!
3,0,Korin0a,여기로부터 걸어 볼까
4,0,Korin0a,본직의 지휘를 견본으로 하고 싶다
4,1,Murasa0a,좋아、기대하고 있어!
5,0,Kosuzu0a,아직 옆에 있는 것 같아요!
5,1,Korin0a,그러면 반격이라고 갈까!
6,0,Murasa0a,고쳐 세우면、곧 반격 한다!
7,0,Murasa0a,당하면 다시하는、\n 선원의 철칙!
8,0,Korin0a,여기서 놓치면 맛이 없어!
8,1,Murasa0a,예、알고 있다!
9,0,Kosuzu0a,무라사씨、적이 도망칠 것 같습니다!
9,1,Murasa0a,그렇게는 시키지 않아!
10,0,Korin0a,선장、사정내인 것 같구나!
10,1,Murasa0a,그렇다면 추격이다!
11,0,Murasa2b,이 정도의 폭풍우、넘어 보인다!
12,0,Murasa0a,성련선이 움직이는 한、나는 싸운다!
13,0,Murasa1a,흩뿌리면 얼마인가 맞을 것…!
14,0,Murasa1a,이것이라도 견제에는 충분하다!
15,0,Korin1a,기관총、풀 오토!
16,0,Korin1a,견제 정도는 할 수 있을 것이다!
17,0,Korin1a,측부 영력포、발사다!
18,0,Korin1a,영력포、일제사격!
19,0,Murasa1a,경기 좋게、부탁해요!
20,0,Murasa1a,측부 영력포、공격해라아!
21,0,Murasa1a,영력포로 공격한다!
22,0,Murasa1a,측부 영력포、전포문 열어라!
23,0,Murasa1a,일제사다! 마음껏 부탁!
24,0,Korin1a,측부 영력포、전포문 열어라!
25,0,Murasa1a,예 있고、야!
26,0,Murasa1a,목표 『전방』! 공격해라아!
27,0,Korin1a,주포를 공격하겠어、떨어져 줘!
28,0,Korin1a,주포 발사다、떨어져 줘!
29,0,Korin1a,지금이다! 마음껏 부탁한다!
30,0,Murasa1a,주포、발사 준비!
30,1,Korin1a,조준도 맞은、갈 수 있다!
30,2,Murasa1a,공격해라앗!
31,0,Murasa1a,주포、발사 준비!
31,1,Kosuzu0a,무라사씨、할 수 있을 것 같습니다!
31,2,Murasa1a,공격해라앗!
32,0,Korin1a,전함의 영력을 주포에 집중!
32,1,Murasa1a,조준 맞추어라… 좋아!
32,2,Murasa1a,맞아랏!
33,0,Murasa1a,방해 하는 배는、\n 모두 침몰배로 해 주어요!
33,1,Murasa1a,먹어랏!
33,2,Korin1a,집중포화다!
34,0,Murasa1a,출력 상승、부상한다!
34,1,Murasa1a,격침 안칵!
34,2,Korin1a,지금이다、전포문 열어라!
35,0,Korin1a,상공으로부터의 공격이구나!
35,1,Kosuzu0a,음、이렇게 하면…!
35,2,Murasa1a,걸었다! 공격해라앗!
36,0,Korin1a,선체를 고정해 포격 한다!
36,1,Murasa1a,닻은 제외하지 않아!
36,2,Murasa1a,가라앉히고옷!!
37,0,Murasa0a,성련선으로 부딪친다!
37,1,Murasa0a,우현 가득!
37,2,Kosuzu2a,적、정면으로 있습니다!
37,3,Korin0a,함내의 동력을 컷. \n 긴급 버니어 기동!
37,4,Murasa1a,한계 돌파、가라아!
37,5,Korin0a,구、여기까지의 가속이란…!
37,6,Kosuzu1a,、흔들린닷!
37,7,Murasa1a,기계는 의지하지 않는、눈짐작으로 맞힌다!
37,8,Murasa1a,실드、최대 전개!
37,9,Murasa1a,지금、전포문 열어라!
37,10,Kosuzu4b,위―、기분 나빠져 버렸다…
38,0,Murasa0a,비장의 카드를 사용해요!
38,1,Murasa0a,적을 본함의 정면으로!
38,2,Kosuzu2a,적、창으로부터 보이고 있습니다!
38,3,Korin0a,함내의 전동력을 버니어에!
38,4,Murasa1a,성련선、돌격!
38,5,Korin0a,이 속도、길게 가지지 않아…!
38,6,Kosuzu1a,해、혀를 씹을 것 같다…!
38,7,Murasa1a,이 정도의 거센 파도、넘어 보인다!
38,8,Murasa1a,가라앗!
38,9,Kosuzu2a,뒤는 이 버튼으로…!
38,10,Murasa0a,동력 회복、서둘러!
39,0,Murasa0a,최후의 수단으로 결말을 짓는다!
39,1,Murasa0a,좌현에 긴급회두!
39,2,Kosuzu2a,적、창으로부터 보이고 있습니다!
39,3,Korin0a,버니어 기동、후는 맡기겠어!
39,4,Murasa1a,본함은 돌격을 건다!
39,5,Korin0a,이 가속、전함의 그것이 아니다…!
39,6,Kosuzu1a,、어디엔가 잡지 않았다고…!
39,7,Murasa1a,전기능 오프、내가 키를 취한다!
39,8,Murasa1a,대쇼크 체제! 최종 가속!
39,9,Korin1a,영력포、라고!
39,10,Murasa0a,함내 상황의 체크를 부탁!
40,0,Murasa0a,몸의 자세를 고쳐 세운다!
41,0,Murasa0a,빨리 배의 방향을 바꾸지 않으면…
42,0,Murasa2b,이 성련선이 반격 할 수 없다니…
43,0,Murasa2b,저쪽이 성능이 위야…?
44,0,Murasa2b,코스즈! 적의 거리는!?
44,1,Kosuzu0a,… 먼 곳입니다!
45,0,Korin0a,거리를 너무 취하는 것도 생각할 일이다…
46,0,Murasa0a,보복은、유령의 특기야!
47,0,Murasa0a,물러나고 물러나! \n 빈둥거리고 있다고 맞아 버린다!
48,0,Korin0a,뒤는 우리들에게 맡겨 줘
