ID,LineID,face,dialog
0,0,Murasa0a,성련선의 힘을 보이자!
1,0,Murasa0a,전투 개시야、기관전속!
1,1,Kosuzu0a,남편과、잡지 않았다고…
2,0,Akyu0a,이제 슬슬 회적[会敵] 합니다
2,1,Murasa0a,양해[了解]、공격 개시!
3,0,Kosuzu0a,혹시、싸웁니까!?
3,1,Murasa0a,당연하잖아!
4,0,Akyu0a,진로상에 적입니다!
5,0,Korin0a,여기로부터 걸어 볼까
6,0,Korin0a,본직의 지휘를 견본으로 하고 싶다
6,1,Murasa0a,좋아、기대하고 있어!
7,0,Kosuzu0a,아직 옆에 있는 것 같아요!
7,1,Korin0a,그러면 반격이라고 갈까!
8,0,Murasa0a,고쳐 세우면、곧 반격 한다!
9,0,Murasa0a,당하면 다시하는、\n 선원의 철칙!
10,0,Akyu1a,주위에 사람의 그림자는 없습니다!
10,1,Murasa0a,반격을 하자、전함회두!
11,0,Akyu0a,이 거리라면 따라잡을 수 있습니다!
12,0,Akyu0a,이쪽의 사정 범위인 같습니다!
13,0,Korin0a,여기서 놓치면 맛이 없어!
13,1,Murasa0a,예、알고 있다!
14,0,Korin0a,선장、사정내인 것 같구나!
14,1,Murasa0a,그렇다면 추격이다!
15,0,Murasa2b,이 정도의 폭풍우、넘어 보인다!
16,0,Murasa0a,성련선이 움직이는 한、나는 싸운다!
17,0,Akyu2a,추력이 떨어지고 있습니다、\n 이대로는…!
17,1,Murasa0a,좋아、아직 싸울 수 있다!
18,0,Murasa1a,흩뿌리면 얼마인가 맞을 것…!
19,0,Murasa1a,이것이라도 견제에는 충분하다!
20,0,Korin1a,기관총、풀 오토!
21,0,Korin1a,견제 정도는 할 수 있을 것이다!
22,0,Akyu1a,탄막을 칩니다!
23,0,Korin1a,측부 영력포、발사다!
24,0,Korin1a,영력포、일제사격!
25,0,Murasa1a,경기 좋게、부탁해요!
26,0,Murasa1a,측부 영력포、공격해라아!
27,0,Murasa1a,영력포로 공격한다!
28,0,Murasa1a,측부 영력포、전포문 열어라!
29,0,Murasa1a,일제사다! 마음껏 부탁!
30,0,Korin1a,측부 영력포、전포문 열어라!
31,0,Murasa1a,예 있고、야!
32,0,Murasa1a,목표 『전방』! 공격해라아!
33,0,Korin1a,주포를 공격하겠어、떨어져 줘!
34,0,Korin1a,주포 발사다、떨어져 줘!
35,0,Korin1a,지금이다! 마음껏 부탁한다!
36,0,Akyu1a,주포의 준비는 되어 있습니다!
37,0,Korin1a,법력노、출력 전개!
37,1,Akyu1a,향림당씨、할 수 있습니다!
37,2,Korin1a,공격해라아!
38,0,Akyu1a,주포의 준비군요!
38,1,Korin1a,조준도 맞은、갈 수 있다!
38,2,Korin1a,공격해라앗!
39,0,Korin1a,영력포를 발사하자!
39,1,Akyu1a,준비、할 수 있었어요!
39,2,Korin1a,가라앗!
40,0,Murasa1a,법력노、출력 전개!
40,1,Akyu1a,무라사씨、할 수 있습니다!
40,2,Murasa1a,가라앉아 버려라!
41,0,Murasa1a,주포、발사 준비!
41,1,Korin1a,조준도 맞은、갈 수 있다!
41,2,Murasa1a,공격해라앗!
42,0,Korin1a,전함의 영력을 주포에 집중!
42,1,Murasa1a,조준 맞추어라… 좋아!
42,2,Murasa1a,맞아랏!
43,0,Korin1a,무라사 선장으로부터의 보관품이다…
43,1,Akyu1a,엥커 사출합니다!
43,2,Korin1a,지금이다、전포문 열어라!
44,0,Akyu1a,출력 상승、부상합니다!
44,1,Korin1a,엥커 떨어뜨려랏!
44,2,Korin1a,일제사、공격해라앗!
45,0,Korin1a,선체를 고정해 포격 한다!
45,1,Akyu1a,투묘 합니다!
45,2,Korin1a,집중포화다!
46,0,Murasa1a,방해 하는 배는、\n 모두 침몰배로 해 주어요!
46,1,Murasa1a,먹어랏!
46,2,Korin1a,집중포화다!
47,0,Murasa1a,출력 상승、부상한다!
47,1,Murasa1a,격침 안칵!
47,2,Korin1a,지금이다、전포문 열어라!
48,0,Korin1a,상공으로부터의 공격이구나!
48,1,Murasa1a,엥커 사출!
48,2,Murasa1a,걸었다! 공격해라앗!
49,0,Korin1a,선체를 고정해 포격 한다!
49,1,Murasa1a,닻은 제외하지 않아!
49,2,Murasa1a,가라앉히고옷!!
50,0,Murasa0a,성련선으로 부딪친다!
50,1,Murasa0a,우현 가득!
50,2,Akyu1a,적영、정면으로 포착!
50,3,Korin0a,함내의 동력을 컷. \n 긴급 버니어 기동!
50,4,Murasa1a,한계 돌파、가라아!
50,5,Korin0a,구、여기까지의 가속이란…!
50,6,Akyu1a,조준、정해지지 않습니다!
50,7,Murasa1a,기계는 의지하지 않는、눈짐작으로 맞힌다!
50,8,Murasa1a,실드、최대 전개!
50,9,Murasa1a,지금、전포문 열어라!
50,10,Akyu1a,이 우츠호역을 이탈합니다!
51,0,Murasa0a,비장의 카드를 사용해요!
51,1,Murasa0a,적을 본함의 정면으로!
51,2,Akyu1a,타겟、확인했습니다!
51,3,Korin0a,함내의 전동력을 버니어에!
51,4,Murasa1a,성련선、돌격!
51,5,Korin0a,이 속도、길게 가지지 않아…!
51,6,Akyu2a,타겟、포착 불가입니다!
51,7,Murasa1a,이 정도의 거센 파도、넘어 보인다!
51,8,Murasa1a,가라앗!
51,9,Akyu1a,측부 영력포、일제사격!
