ID,LineID,face,dialog
0,0,Korin0a,성련선의 힘을 보인다!
1,0,Korin0a,여기로부터 걸어 볼까
2,0,Korin0a,전투다、준비는 좋은가!
2,1,Kosuzu0a,남편과、잡지 않았다고…
3,0,Kosuzu0a,이제 싸웁니까!?
3,1,Korin0a,아、착수하게 해 받는다!
4,0,Korin0a,곧바로 몸의 자세를 고쳐 세운다!
5,0,Korin0a,나쁘지만、당하고 있을 뿐이지 않아!
6,0,Korin0a,이대로 입다물고 있을 수 있을까!
7,0,Kosuzu0a,아직 옆에 있는 것 같아요!
7,1,Korin0a,그러면 반격이라고 갈까!
8,0,Kosuzu0a,향림당씨、적이 도망칠 것 같습니다!
8,1,Korin0a,그렇게는 시킬까!
9,0,Korin1a,기관총、풀 오토!
10,0,Korin1a,견제 정도는 할 수 있을 것이다!
11,0,Korin1a,측부 영력포、발사다!
12,0,Korin1a,영력포、일제사격!
13,0,Korin1a,측부 영력포、전포문 열어라!
14,0,Korin1a,주포 발사다、떨어져 줘!
15,0,Korin1a,지금이다! 마음껏 부탁한다!
16,0,Korin1a,법력노、출력 전개!
16,1,Kosuzu0a,향림당씨、할 수 있을 것 같습니다!
16,2,Korin1a,공격해라아!
17,0,Kosuzu0a,큰 녀석의 준비、되어 있습니다!
17,1,Korin1a,조준도 맞은、갈 수 있다!
17,2,Korin1a,공격해라앗!
18,0,Korin1a,영력포를 발사하자!
18,1,Kosuzu0a,준비 되어 있습니다!
18,2,Korin1a,가라앗!
19,0,Korin1a,무라사 선장으로부터의 보관품이다…
19,1,Kosuzu0a,음、이렇게 하면…!
19,2,Korin1a,지금이다、전포문 열어라!
20,0,Kosuzu0a,위、한층 더 떠 있다…!
20,1,Korin1a,엥커 떨어뜨려랏!
20,2,Korin1a,일제사、공격해라앗!
21,0,Korin1a,선체를 고정해 포격 한다!
21,1,Kosuzu0a,닻이 떨어집니다!
21,2,Korin1a,집중포화다!
22,0,Korin1a,저것을 사용할 수 밖에 없는 것 같다
22,1,Kosuzu2a,겹법력 미사일을 발사합니다. \n 주위의 여러분은 퇴피해 주세요!
22,2,Korin0a,장전 완료、발사각 조정…!
22,3,Kosuzu2a,조준은 이쪽에서 보정합니다. \n 향림당씨는 트리거를!
22,4,Korin1a,미사일、수평 발사다!
22,5,Kosuzu0a,목표、완전하게 침묵했습니다
22,6,Korin0a,뭐라고 하는 위력이다…
23,0,Korin1a,겹법력 미사일을 사용한다. \n 주위에 주의를 호소해 줘
23,1,Kosuzu0a,위험한 것을 공격해요―\n 모두 도망쳐 주세요!
23,2,Korin0a,탄도의 자동 계산은 할 수 있었지만…
