ID,LineID,face,dialog
0,0,Korin0a,성련선의 힘을 보인다!
1,0,Korin0a,여기로부터 걸어 볼까
2,0,Korin0a,전투다、준비는 좋은가!
2,1,Kosuzu0a,남편과、잡지 않았다고…
3,0,Akyu0a,진로상에 적입니다!
4,0,Akyu0a,이제 슬슬 회적[会敵] 합니다
5,0,Kosuzu0a,혹시、이제 싸워!?
5,1,Akyu0a,당연하겠지!
6,0,Akyu0a,자동 조종은 문제 없고 \n 동작하고 있습니다!
7,0,Korin0a,곧바로 몸의 자세를 고쳐 세운다!
8,0,Korin0a,나쁘지만、당하고 있을 뿐이지 않아!
9,0,Korin0a,이대로 입다물고 있을 수 있을까!
10,0,Akyu0a,이쪽의 사정 범위인 같습니다!
11,0,Kosuzu0a,아직 옆에 있는 것 같아요!
11,1,Korin0a,그러면 반격이라고 갈까!
12,0,Akyu0a,이 거리라면 따라잡을 수 있습니다!
13,0,Akyu1a,향림당씨、적이 도망칩니다!
13,1,Korin0a,그렇게는 시킬까!
14,0,Korin1a,기관총、풀 오토!
15,0,Korin1a,견제 정도는 할 수 있을 것이다!
16,0,Akyu1a,탄막을 칩니다!
17,0,Akyu1a,기관총을 쏘아 주세요!
18,0,Korin1a,측부 영력포、발사다!
19,0,Korin1a,영력포、일제사격!
20,0,Korin1a,측부 영력포、전포문 열어라!
21,0,Korin1a,주포 발사다、떨어져 줘!
22,0,Korin1a,지금이다! 마음껏 부탁한다!
23,0,Akyu1a,주포의 준비는 되어 있습니다!
24,0,Korin1a,법력노、출력 전개!
24,1,Akyu1a,향림당씨、할 수 있습니다!
24,2,Korin1a,공격해라아!
25,0,Akyu1a,주포의 준비군요!
25,1,Korin1a,조준도 맞은、갈 수 있다!
25,2,Korin1a,공격해라앗!
26,0,Korin1a,영력포를 발사하자!
26,1,Akyu1a,준비、할 수 있었어요!
26,2,Korin1a,가라앗!
27,0,Korin1a,무라사 선장으로부터의 보관품이다…
27,1,Akyu1a,엥커 사출합니다!
27,2,Korin1a,지금이다、전포문 열어라!
28,0,Akyu1a,출력 상승、부상합니다!
28,1,Korin1a,엥커 떨어뜨려랏!
28,2,Korin1a,일제사、공격해라앗!
29,0,Korin1a,선체를 고정해 포격 한다!
29,1,Akyu1a,투묘 합니다!
29,2,Korin1a,집중포화다!
30,0,Korin1a,저것을 사용할 수 밖에 없는 것 같다
30,1,Kosuzu2a,겹법력 미사일을 발사합니다. \n 주위의 여러분은 퇴피해 주세요!
30,2,Korin0a,장전 완료、발사각 조정…!
30,3,Akyu0a,조준은 이쪽에서 보정합니다. \n 향림당씨는 트리거를!
30,4,Korin1a,미사일、수평 발사다!
