ID,LineID,face,dialog
0,0,Shinki0a,당한 것 뿐으로는 끝나지 않아요
1,0,Shinki0a,싸우는 것에서 밖에 얻을 수 없는 것도 있어요
2,0,Shinki0a,내릴 수는 없는 것
3,0,Shinki0a,싸운다면 적어도 아파 않고…
4,0,Shinki0a,공격을 시켜 받아요
5,0,Shinki0a,그 쪽으로 각오가 있다고 한다면
6,0,Shinki0a,환상향에 사는 모두를 위해서(때문에)…
7,0,Shinki2a,노력하지 않으면 안 되네요…
8,0,Shinki2a,아직 지지 않기 때문에…
9,0,Shinki1a,빛이야
10,0,Shinki1a,움직이지 마
11,0,Shinki1a,이것으로 물러가!
12,0,Shinki1a,에이!
13,0,Shinki1a,신님의 힘을 보여 버려요
14,0,Shinki1a,더 이상、좋을대로는 하지 않다
15,0,Shinki1a,어떻게든 하지 않으면…
16,0,Shinki1a,살아있는 온갖 사람에게…
16,1,Shinki1a,마계신의 축복을
16,2,Shinki1a,자、모두…
17,0,Shinki1a,모든 헤맬 수 있는 영혼에…
17,1,Shinki1a,평온함과 인도를
17,2,Shinki1a,부탁、모두
18,0,Shinki1a,자、당신들…
18,1,Shinki1a,눈을 떠
18,2,Shinki1a,그리고、도와줘
19,0,Shinki1a,나의 마법의 힘으로…
19,1,Shinki1a,맥들과 뽑아지는 생명의 쇠사슬…
19,2,Shinki1b,아인·소후·오울
19,3,Shinki1b,그것은 섭리로 해 강함…
19,4,Shinki1b,또 모두는 태어나요
20,0,Shinki1a,모두는、태어날만 하니까
20,1,Shinki1a,… 생명은 끝나지 않게 연결되어져 간다
20,2,Shinki1b,무로부터、무한으로…
20,3,Shinki1b,당신까지 보내요
20,4,Shinki1b,걱정하는 일은 없어요
21,0,Shinki1a,내가 주창합시다
21,1,Shinki1a,… 나는 마계의 창조신
21,2,Shinki1b,파괴와 재생이 창조라고 말한다면…
21,3,Shinki1b,파괴조차 마음이 편하게…
21,4,Shinki1b,또 모두는 태어나요
22,0,Shinki0e,기원이 닿는다면…
22,1,Shinki0e,이 세계에 사는 모든 사람에게…
22,2,Shinki1a,한 때의 평온함을…
22,3,Shinki0b,아픔도、괴로움도…
22,4,Shinki0b,나에게 맡겨
22,5,Shinki0c,지금은、쉬어
23,0,Shinki0e,나의 신체의 모두를이라고…
23,1,Shinki0e,오늘을 사는 당신을 위해서(때문에)…
23,2,Shinki1a,나에게 할 수 있는 것을…
23,3,Shinki0b,당신은、한사람이 아니니까…
23,4,Shinki0b,지금은、나에게 맡겨…
23,5,Shinki0c,… 천천히 쉬면 좋아요
