ID,LineID,face,dialog
0,0,Shizuha0a,이길 수 없는 상대가 아닐 것!
1,0,Shizuha0a,원망하지 말고、이것도 싸움인 것이야
2,0,Shizuha0a,이것도 탄막전이라면!
3,0,Shizuha0a,후퇴할 때에는 틈이 생긴다…
4,0,Shizuha0a,당하면 다시하는…\n 조금 야만스러울까요
5,0,Shizuha0a,호기는 놓칠 수 없어요!
6,0,Shizuha3a,단풍에 넋을 잃고 보면 다쳐요!
7,0,Shizuha0a,낙엽에서도 봐、마음을 가라앉히세요
8,0,Shizuha3a,당신들에게는、\n 가을의 정적이 필요한 것 같구나!
9,0,Shizuha0a,쇠퇴는 모든 물건에 방문하는 숙명…
10,0,Shizuha3a,춤추어 지는 낙엽이、나의 탄막이야!
11,0,Shizuha0a,단풍과 함께 지세요…
12,0,Shizuha0a,가끔 씩은 활약하지 않으면!
13,0,Shizuha0a,가을의 빛을 보여 주어요!
14,0,Shizuha0a,여기서 결정해 둘까요
15,0,Shizuha0a,자、저것을 할까!
16,0,Shizuha1a,기세 좋게…
17,0,Shizuha3a,흐트러지고 나세요!
18,0,Shizuha3a,인가 원 다툴 리가 없어요!
19,0,Shizuha0a,바람으로 흩날리세요…
20,0,Shizuha1d,가요…
20,1,Shizuha3a,포린브라스트!
21,0,Shizuha0a,이 거리라면 닿을 것…
21,1,Shizuha1a,그것!
22,0,Shizuha1d,포린브라스트…
22,1,Shizuha3a,맞아!
23,0,Shizuha1d,추풍이야…
23,1,Shizuha3a,바람에 날아가게 했다!
24,0,Shizuha3a,미노리코、평소의 녀석을 합시다!
24,1,Minoriko0a,알았어요、누나!
24,2,Shizuha0a,그것!
24,3,Minoriko1a,스팍!
24,4,Shizuha1a,가을 자매!
24,5,Minoriko1a,킥!!
24,6,Shizuha2a,… 안 되는、너무 힘이 들어갔다…!?
24,7,Minoriko0a,누나…? \n 손을 떼어 놓아서는 안돼、누나!
24,8,Minoriko1a,누나!!
24,9,Shizuha1a,이것으로…
24,10,Minoriko1a,결정타야!
24,11,Shizuha1a,정해졌군요!
25,0,Shizuha0a,미노리코와 두 명이라면…!
25,1,Minoriko7a,누나、저것을 해요
25,2,Shizuha6a,예、자주(잘)은요
25,3,Minoriko1a,스팍!
25,4,Shizuha1a,가을 자매!
25,5,Minoriko1a,킥!!
25,6,Shizuha5b,…、는 우츠호기분 저항이야…!?
25,7,Minoriko1b,누나…? \n 손을 떼어 놓아서는 안돼、누나!
25,8,Minoriko1a,누나!!
25,9,Shizuha1a,이것이라면…
25,10,Minoriko1a,어떨까!
25,11,Shizuha1a,정해졌군요!
26,0,Shizuha0a,미노리코、힘을 합합시다!
26,1,Minoriko0a,응、누나!
26,2,Shizuha3a,이것이 자매의 필살기…
26,3,Minoriko1a,스팍!
26,4,Shizuha1a,가을 자매!
26,5,Minoriko1a,킥!!
26,6,Shizuha2a,이것은…\n 연습 때보다 부하가 커…?!
26,7,Minoriko0a,그렇지 않아요! \n 연습 대로조차 하면…
26,8,Minoriko1a,는、누나!!
26,9,Shizuha1a,이것이 가을의…
26,10,Minoriko0a,힘이야!
26,11,Shizuha1d,그리고 정적이 방문한다…
27,0,Shizuha0a,가을의 매력은 덧없는 단풍!
27,1,Minoriko0a,가을의 매력은 풍부한 임!
27,2,Shizuha0a,2개의 가을을 거듭하면…!
27,3,Minoriko1a,스팍!
27,4,Shizuha1a,가을 자매!
27,5,Minoriko1a,킥!!
27,6,Shizuha2a,이것은…\n 연습 때보다 부하가 커…?!
27,7,Minoriko0a,그렇지 않아요! \n 연습 대로조차 하면…
27,8,Minoriko1a,는、누나!!
27,9,Shizuha1a,키네…
27,10,Minoriko0a,놋!
27,11,Shizuha0a,피니쉬야!
28,0,Minoriko0a,가을의 힘으로 다 눌러요!
28,1,Shizuha1a,이 아름다운 단풍으로!
28,2,Minoriko0a,고구마 군단、돌격!
28,3,Shizuha1a,가을、작렬!
29,0,Minoriko0a,가을의 힘으로 다 눌러요!
29,1,Shizuha1a,이 아름다운 단풍으로!
29,2,Minoriko0a,고구마 군단、돌격!
29,3,Minoriko1a,대·수·확·제!
30,0,Minoriko0a,가을의 매력을 전해요!
30,1,Shizuha1a,쇠약과…
30,2,Minoriko0a,소득의 힘!
30,3,Shizuha1a,피버!
