ID,LineID,face,dialog
0,0,Shizuha0a,섣부르게 산에 가까워지면 \n 대단한 꼴을 당해요
1,0,Shizuha0a,일단、\n 친절해 경고하고 있는 것이지만…
2,0,Shizuha0a,당신들에게는、\n 가을의 정적이 필요한 것 같구나!
3,0,Shizuha0a,춤추어 지는 낙엽이、나의 탄막이야
4,0,Shizuha0a,낙엽에서도 봐、마음을 가라앉히세요
5,0,Shizuha0a,가끔 씩은 활약하지 않으면
6,0,Shizuha0a,여기서 결정해 둘까요
7,0,Shizuha0a,자、저것을 할까!
8,0,Shizuha1a,이것은 미노리코의 몫!
9,0,Shizuha1a,흐트러지고 나세요!
10,0,Shizuha0a,바람으로 흩날리세요…
11,0,Shizuha0a,가요…
11,1,Shizuha1a,포린브라스트!
12,0,Shizuha0a,이 거리라면 닿을 것…
12,1,Shizuha1a,그것!
13,0,Shizuha1d,추풍이야…
13,1,Shizuha3a,바람에 날아가게 했다!
14,0,Shizuha0a,미노리코와 두 명이라면…!
14,1,Minoriko7a,누나、저것을 해요
14,2,Shizuha6a,예、자주(잘)은요
14,3,Minoriko1a,스팍!
14,4,Shizuha1a,가을 자매!
14,5,Minoriko1a,킥!!
14,6,Shizuha5b,…、는 우츠호기분 저항이야…!?
14,7,Minoriko0a,누나…? \n 손을 떼어 놓아서는 안돼、누나!
14,8,Minoriko1a,누나!!
14,9,Shizuha1a,이것이라면…
14,10,Minoriko1a,어떨까!
14,11,Shizuha1a,정해졌군요!
15,0,Shizuha0a,가을의 매력은 덧없는 단풍!
15,1,Minoriko0a,가을의 매력은 풍부한 임!
15,2,Shizuha0a,2개의 가을을 거듭하면…!
15,3,Minoriko1a,스팍!
15,4,Shizuha1a,가을 자매!
15,5,Minoriko1a,킥!!
15,6,Shizuha5b,이것은…\n 연습 때보다 부하가 커…?!
15,7,Minoriko0a,그렇지 않아요! \n 연습 대로조차 하면…
15,8,Minoriko1a,는、누나!!
15,9,Shizuha1a,키네…
15,10,Minoriko0a,놋!
15,11,Shizuha0a,피니쉬야!
16,0,Shizuha0a,지나친 추적은 하지 않기로 합시다
17,0,Shizuha0a,주고 받은 것이고、뭐 좋은가
18,0,Shizuha0a,저것은 공격 할 수 없어요…
19,0,Shizuha0a,설마、손을 댈 수 없다니
20,0,Shizuha0a,이 은혜에는 반드시 보답해요
21,0,Shizuha0a,심부름은 자신있는 것이야
22,0,Shizuha0a,다짐… 이라는 곳일까
23,0,Shizuha0a,위험하다!
24,0,Shizuha0a,내가 있었기 때문에 좋았지만…
25,0,Shizuha0a,미노리코의 적수―!
26,0,Shizuha0a,계속되어요、미노리코!
27,0,Shizuha2a,꺄、아프다!
28,0,Shizuha2a,맞아 버렸어요―
29,0,Shizuha2a,이제、여기는 신님인 것이야!
30,0,Shizuha2a,무슨 난폭한 녀석들!
31,0,Shizuha2a,조금은 유지하지 않으면…
32,0,Shizuha2a,에、도망칠 수 없다!
33,0,Shizuha2a,어쨌든 유지하지 않으면…!
34,0,Shizuha0a,위험하네요
35,0,Shizuha0a,그런 공격、맞지 않는다!
36,0,Shizuha0a,조금은 몸의 가벼움에 \n 자신이 있는거야
37,0,Shizuha0a,어머나、위험하네요
38,0,Shizuha0a,좋아、능숙하게 말했군요
39,0,Shizuha0a,그런 공격、추풍이 바람에 날아가게 해요
40,0,Shizuha0a,단풍 배리어─!
41,0,Shizuha0a,지금이 찬스같구나
42,0,Shizuha0a,총격당하기 전에 공격하지 않으면!
43,0,Shizuha2a,、미안해요… 미노리코…
44,0,Shizuha2a,None
45,0,Shizuha0a,원망하지 말고、이것도 싸움인 것이야
46,0,Shizuha0a,이것도 탄막전이라면!
47,0,Shizuha0a,후퇴할 때에는 틈이 생긴다…
48,0,Shizuha0a,단풍에 넋을 잃고 보면 다쳐요!
49,0,Shizuha0a,낙엽에서도 봐、마음을 가라앉히세요
50,0,Shizuha0a,당신들에게는、\n 가을의 정적이 필요한 것 같구나!
51,0,Shizuha0a,쇠퇴는 모든 물건에 방문하는 숙명…
52,0,Shizuha0a,춤추어 지는 낙엽이、나의 탄막이야!
