ID,LineID,face,dialog
0,0,Sho0a,원、나 혼자로 싸웁니까?
1,0,Sho0a,적어도 방해가 되게 안 되게…
2,0,Sho0a,어떻게든、서로 이야기할 수 있지 않습니까
3,0,Sho0a,나라도 싸울 수 있을 것입니다!
4,0,Sho0a,솜씨가 무디어지지 않았다고 좋습니다만…
5,0,Sho0a,발이 묶임은 할 수 있을 것…
6,0,Sho0a,나쁘게는 생각하지 말아 주세요
7,0,Sho0a,여기서 물러나면 화가 나 버립니다
8,0,Sho0a,도망쳐서는 안됩니다、도망쳐서는 안됩니다…
9,0,Sho2a,、다 피할 수 없습니까…
10,0,Sho2a,방심이 있던 것입니까…
11,0,Sho2a,있고、아픕니다…
12,0,Sho2a,에、도망칠 수 없다!?
13,0,Sho2a,역시 향하지 않아요
14,0,Sho2a,막을 뿐(만큼)이라면…!
15,0,Sho2a,와、이것도 틈을 엿보기 (위해)때문에이랍니다
16,0,Sho2a,이렇게 하고 시간을 벌면…
17,0,Sho2a,에、도망칠 수 없으면!
18,0,Sho0a,손대중 해 주고 있어?
19,0,Sho0a,왠지、능숙하게 갔습니다!
20,0,Sho0a,그렇게 올지도라고 생각하고 있었습니다
21,0,Sho0a,원、나라고!
22,0,Sho0a,이대로 잘 도망쳐 보입니다
23,0,Sho0a,내가 돌파구를 엽니다!
24,0,Sho0a,싸우는 이상에는 전력을 다합니다!
25,0,Sho0a,닥치는 불똥은 지불합니다!
26,0,Sho0a,공격해 온 것은 당신이군요
27,0,Sho0a,싸우지 않으면 안 된다고!
28,0,Sho0a,나는、내가 믿는 것을 위해서(때문에) 싸웁니다!
29,0,Sho0a,이제 헤매어는 있을 수 없다…!
30,0,Sho0a,방해가 되게는 되지 않습니다!
31,0,Sho0a,나라도 싸울 수 있습니다!
32,0,Sho0a,어떻게든 서로 이야기할 수 있지 않습니까
33,0,Sho0a,이 싸움에、\n 당신은 무엇을 요구합니까?
34,0,Sho0a,내가 믿는 것을 위해서(때문에)!
35,0,Sho0a,거기를 물러나 받습니다!
36,0,Sho0a,나쁘게는 생각하지 말아 주세요
37,0,Sho0a,할 수 있으면 믿지 않는 것에는…!
38,0,Sho0a,여기서 이길 수 있으면、승리입니다!
39,0,Sho0a,지금、여기서 결착을 붙입시다!
40,0,Sho0a,서로 찔러 죽을 각오로 합니다!
41,0,Sho0a,이런 때야말로、신경을 예리하게 할 수 있어…
42,0,Sho0a,승부를 버릴 수는 없습니다!
43,0,Sho1a,가、가―!
44,0,Sho1a,거기입니다!
45,0,Sho1a,마음껏 두드리면!
46,0,Sho1a,에에이!
47,0,Sho1a,법력을 담은 독고저로!
48,0,Sho1a,이 법구는 없애지 않아요!
49,0,Sho1a,독고저、가 주세요!
50,0,Sho1a,공격측에게 헤매면… 이것입니다!
51,0,Sho1a,송곳니는 아직 잃지 않을 것…!
51,1,Sho1a,거기닷!
51,2,Sho1a,거기닷! 이대로 씹어 자른다!
52,0,Sho1a,보였습니다!
52,1,Sho1a,거기닷!
52,2,Sho1a,거기닷! 용좌 유성 찔러 있고!!
53,0,Sho1a,힘맡김에…!
