ID,LineID,face,dialog
0,0,Suika0a,그러면、가볍다 운동에서도
1,0,Suika0a,정정당당 승부와 갈까!
2,0,Suika0a,이 정도로 놀라져서는 곤란하지만
3,0,Suika0a,어떤 것인가 보여 받아 버리자
4,0,Suika0a,놓칠 수는 없다!
5,0,Suika0a,그것、이번은 여기가 귀신이다
6,0,Suika0a,좋은 운동이 될 것 같다
7,0,Suika0a,위세만 화도인가、시험해 준다
8,0,Suika0a,강자는 항상 싫증하고 있다
9,0,Suika0a,약한 사람 이지메일까、\n 라든지 생각해 버리거나 해
10,0,Suika0a,그런데、놀아 줄까
11,0,Suika0a,누가 술주정꾼도?
12,0,Suika0a,상대를 해 줄까―
13,0,Suika0a,없어진 귀신의 힘、\n 신중히 보는 것이군!
14,0,Suika0a,가장 우려할 수 있었던 요괴의 힘、\n 자주(잘) 맛보면 좋다!
15,0,Suika0a,귀신의 힘을 볼 수 있다、\n 영광에 생각인
16,0,Suika0a,거기、멍하니 하고 있으면 …
16,1,Suika1a,이렇게 된다!
17,0,Suika0a,이 표주박은 특별제로 말야…
17,1,Suika1a,이런 일도 할 수 있다!
18,0,Suika0a,소중히 간직함의 술이야…
18,1,Suika1a,수취인!
19,0,Suika0a,숨겨 쓸데없음
19,1,Suika1a,거기다!
20,0,Suika1a,나의 술이…
20,1,Suika1a,마실 수 없다고 말하는지
21,0,Suika1a,쳐들어…
21,1,Suika1a,이러하다!
22,0,Suika1a,―、적이 두 명으로 보인다…
22,1,Suika1a,여기일까!?
23,0,Suika1a,귀신은 외로우면 죽어 버리는 것―
23,1,Suika1a,는、와그라노!
24,0,Suika0a,잔재주 쓸데없는…
24,1,Suika0a,힘이다!
25,0,Suika0a,힘껏 가 볼까!
25,1,Suika0a,그것!
26,0,Suika0a,있고 키─의!
26,1,Suika0a,분명하게 맞았는지?
27,0,Suika0a,간다
27,1,Suika0a,네 와!
28,0,Suika0a,연회도 사나워지고 줄이라는 것이다!
28,1,Suika1a,귀신의 힘、아츠무력…
28,2,Suika1a,마음껏 맛보면 좋아요!
29,0,Suika0a,마음껏 아츠무!
29,1,Suika1a,백만의 귀신의 행차다!
29,2,Suika1a,만족할 때까지 끝나지 않아!
30,0,Suika0a,이제 와서 위축되어도 늦다!
30,1,Suika1a,백만의 귀신의 행차다!
30,2,Suika1a,화려하게 가지 않겠는가!
31,0,Suika0a,마음껏 해 버릴까!
31,1,Suika1a,전대미문의 술래잡기다!
31,2,Suika1a,잘 도망쳐 보여!
32,0,Suika0a,너무 궤도에 오르지 말아요
33,0,Suika0a,지금은 너그럽게 봐줄까
34,0,Suika0a,귀신의 술은 삼킬 수 없다고 말하는지?
35,0,Suika0a,방식이 더럽네요
36,0,Suika0a,귀찮은 것이 아츠무 기다려 왔군요
37,0,Suika0a,귀신은 의리가 있다、\n 이 일격으로 은혜를 돌려준다!
38,0,Suika0a,조력이라는 것은、\n 별로 비겁하지 않으니까
39,0,Suika0a,정정당당이라는 일이라면、\n 손을 빌려 주어도 좋아
40,0,Suika1a,척척、계속된다~
41,0,Suika1a,100만 나무、등있고~!
42,0,Suika0a,그렇게는 도매상이 도매하지 않아
43,0,Suika0a,나라면、누가 와 지지 않아!
44,0,Suika0a,이봐요 이봐요、적으로 되어 버리고 있다!
45,0,Suika0a,연회라면 나를 잊지 않으면 좋다!
46,0,Suika0a,입다물고 있을 수 없다
47,0,Suika0a,맛이 없어지면、대신해 준다
48,0,Suika0a,이봐요、내가 뒤따르고 있을테니까
49,0,Suika0a,노리는 상대는、대개로 좋은 거야
50,0,Suika0a,협력 같은 무늬도 아니지만 말야
51,0,Suika0a,경계심이 엷어지고 있는 녀석은… 그쪽이다!
52,0,Suika0a,이봐요、너도 마시는 것인!
53,0,Suika0a,나도 싸우는 거야? \n 한가하기 때문에 마셔 있었다지만…
54,0,Suika0a,그리고、누구를 두드렸으면 좋다는?
55,0,Suika1a,경기 좋게 팍과 가지 않겠는가!
56,0,Suika1a,여기가 연회의 제일 좋은 곳이다!
57,0,Suika0a,내가 뒤따르고 있으면、백만귀력이겠지?
58,0,Suika0a,이 녀석、절대 허락하지 않아!
59,0,Suika0a,레이무、\n 나머지를 여기에 강압하지 말아요
60,0,Suika0a,레이무、여기는 맡겨 두어요
61,0,Suika0a,틈을 보이다는、레이무답지 않잖아
62,0,Suika0a,레이무、이런 때에까지 \n 멍하니 하지 말아요
63,0,Suika0a,레이무、저쪽의 녀석은 주의가 얇은 것 같다
64,0,Suika0a,그러면、레이무에게 맡겨 가득…\n 네? 역시 안 되는가?
65,0,Suika0a,너의 움직임은 귀신에서도 \n 맞추기 어렵다
66,0,Suika0a,레이무、대략적으로 앞으로 나아가자
67,0,Suika0a,레이무、\n 거는 상대는 너가 결정하는거야
68,0,Suika0a,레이무、너의 움직임에 맞춘다!
69,0,Suika0a,레이무、팍과 가자!
70,0,Suika0a,레이무、여기가 연회의 제일 좋은 곳이야!
71,0,Suika0a,레이무、함께 마지막 선언을 해 주자!
72,0,Suika0a,이건、누군가씨를 화나게 해 버리네요
73,0,Suika0a,유들자도 대략적이기 때문에
74,0,Suika0a,유들자、여기는 맡겨 둬!
75,0,Suika0a,유들자、눈에 띄어 버리고 있다
76,0,Suika0a,유들자、움직임이 위태로운데
77,0,Suika0a,유들자의 움직임은 귀신에서도 맞추기 어렵다
78,0,Suika0a,유들자、진행될 방향을 결정하고 있을까?
79,0,Suika0a,유들자、어느 옆을 노리고 있지?
80,0,Suika0a,유들자、등은 맡겼어
81,0,Suika0a,유들자、발로 차서 흩뜨려 진행되자
82,0,Suika0a,유들자에게 맡겨 가득…\n 네? 역시 안 되는가?
83,0,Suika0a,유들자、서로 대략적으로 가자!
84,0,Suika0a,유들자、여기가 연회의 제일 좋은 곳이야!
85,0,Suika0a,유들자、함께 마지막 선언을 해 주자!
86,0,Suika0a,호인에게 기입한다고는 허락할 수 없다!
87,0,Suika0a,보라색이 맞추지 못하다니
88,0,Suika0a,보라색、여기는 맡겨 두어요!
89,0,Suika0a,보라색의 전에 내가 상대를 한다!
90,0,Suika0a,보라색、적으로 되려고 하지 말아요!
91,0,Suika0a,보라색을 두드리고 싶은 것은 저 녀석이겠지!
92,0,Suika0a,보라색、저쪽의 녀석은 주의가 얇은 것 같다
93,0,Suika0a,보라색、등은 맡겼어
94,0,Suika0a,보라색에 맡겨 가득…\n 네? 역시 안돼?
95,0,Suika0a,나는 보라색의 지시에 따른다
96,0,Suika0a,보라색、어느 놈을 노릴까!
97,0,Suika0a,보라색、마음대로 해도 좋으니까!
98,0,Suika0a,보라색、우리로 마지막 선언을 해 주자!
