ID,LineID,face,dialog
0,0,Suwako0a,야 야、\n 이런 곳에서 뭐 하고 있는 거야?
1,0,Suwako0a,나에게 노려졌던 것이 재난이었네
2,0,Suwako0a,자신의 달콤함을 후회해요!
3,0,Suwako0a,빨리 도망치지 않기 때문에、\n 이런 꼴을 당한다!
4,0,Suwako0a,자신으로부터 재난을 부르다는、\n 어리석네요
5,0,Suwako0a,자、여기의 차례구나!
6,0,Suwako0a,진짜의 신님의 힘、보여 준다
7,0,Suwako0a,가감(상태) 같은거 터무니 없다!
8,0,Suwako0a,뿌옇게 하고 있으면、\n 재난이라는 것은 발이 빨라
9,0,Suwako0a,이 정도 견뎌 보여요
10,0,Suwako0a,나의 탄막 축제、즐겨 가요!
11,0,Suwako0a,몰리고 있다고? \n 설마 설마…
12,0,Suwako0a,재미있어져 왔지 않은 거야!
13,0,Suwako0a,유한은 빈틈없이 끊지 않기 때문에、\n 이런 일이 되는거네요
14,0,Suwako0a,더 이상、우쭐해지게 하지 않아!
15,0,Suwako1a,그것!
16,0,Suwako1a,이것이 미시카르링이다!
17,0,Suwako1a,영차와!
18,0,Suwako1a,받아 봐!
19,0,Suwako1a,능숙한 일이나 원 다툴까나!
20,0,Suwako1a,이것이 진정한 시작이야
21,0,Suwako1a,자、신놀이를 시작하자!
22,0,Suwako1a,처음은 인사로부터다!
23,0,Suwako0a,후후후、\n 오랜만에 날뛰어도 좋아
23,1,Suwako1a,짓밟아라!
23,2,Suwako1a,때려 잡아라!
24,0,Suwako1a,손장족장이야、유나!
24,1,Suwako0a,좋아、사랑스러운 아이구나
24,2,Suwako1a,좀 더 해 버려라!
25,0,Suwako1a,이제 와서 도망치려 하더라도 늦어!
25,1,Suwako1a,잡아…
25,2,Suwako1a,사람 비틂이다!
26,0,Suwako1a,이것이 토착신의 힘이다!
26,1,Suwako1a,보여 주어!
26,2,Suwako1a,아직도!
27,0,Kanako0a,특별히 도와 주자
27,1,Suwako0a,하아? 부탁하지 않아
27,2,Kanako0a,담쟁이덩굴로 발이 묶임[足止め]이다
27,3,Suwako0a,그러니까、멈추어란 말야!
27,4,Suwako0a,카나코는 사람의 이야기를 너무 듣지 않고!
28,0,Kanako0a,설마、그 무렵의 일을 \n 잊지 않겠지요
28,1,Suwako0a,잊을 이유가 없지요
28,2,Kanako0a,내가 등만을 길러…
28,3,Suwako0a,나의 삼발이가 그것을 베어 냈다!
28,4,Suwako0a,즉 나의 승리!
29,0,Kanako0a,이봐、그 녀석은 나의 상대다
29,1,Suwako0a,뭐 말하고 있는 거야!
29,2,Kanako0a,너는 내려라라고 말한 것이다!
29,3,Suwako0a,무엇을―!
30,0,Suwako0a,태고부터 우려할 수 있었던 신들의 모습…
30,1,Suwako1a,보여 준다!
31,0,Suwako0a,오랜만에 날뛸 수 있어 기쁘다는?
31,1,Suwako1a,아니、동감이구나!
32,0,Suwako1a,자 、눈을 떠라! 뒤탈의 시간이야
32,1,Suwako1a,담당자인!
33,0,Suwako0a,아무것도 서두르는 일은 없지요
34,0,Suwako0a,지금은 봐에 사무칠까
35,0,Suwako0a,하는 것 같지만、\n 즐겁다고는 말할 수 없다
36,0,Suwako0a,、사실이야?
37,0,Suwako0a,녀석에게는 무서운 뒤탈이 기다리고 있다
38,0,Suwako0a,하는 김에 뒤탈도 받아 가!
39,0,Suwako0a,좋은 곳 받아 버리자
40,0,Suwako0a,그런 수법은、답답해!
41,0,Suwako0a,저 녀석을 떨어뜨리면 되는거네!
42,0,Suwako0a,맡았다!
43,0,Suwako0a,우는 얼굴에 벌… 다시 말해 개구리
44,0,Suwako0a,무엇을 답례해 받을까、\n 생각해 둔다
45,0,Suwako0a,버릴 수는 없는 거네
46,0,Suwako0a,이제、어쩔 수 없다
47,0,Suwako1a,신님의 싸우는 방법、보여 버리자!
48,0,Suwako1a,내가 먼저 가니까요!
49,0,Suwako1a,목적은 1개구나!
50,0,Suwako1a,좋아、해 버려요!
51,0,Suwako1a,나에게도 놀려요!
52,0,Suwako1a,좋은 곳 받아 버리자!
53,0,Suwako1a,이것도 신님의 도움!
54,0,Suwako1a,마음껏 놀고 싶구나!
55,0,Suwako1a,자 、신놀이의 진면목!
56,0,Suwako1a,신님을 두고 가서는 안돼!
57,0,Suwako0a,화를 한 녀석에게는 \n 빈틈없이 뒤탈이 기다리고 있다
58,0,Suwako0a,화、즐거운 곳을 받아 버린다!
59,0,Suwako0a,화、뒤는 맡겨졌다!
60,0,Suwako0a,산의 요괴를 버릴 수는 없다!
61,0,Suwako0a,이제、화도 참 어쩔 수 없구나
62,0,Suwako0a,이것도 산의 요괴에의 가호라는 것
63,0,Suwako0a,화、확실히 해!
64,0,Suwako0a,화、해 버려!
65,0,Suwako0a,화、나에게도 놀려요!
66,0,Suwako0a,화、나의 목적에 맞추어!
67,0,Suwako0a,화、일등 좋은 상대를 찾아내요!
68,0,Suwako0a,화와 나의 탄막 축제다!
69,0,Suwako0a,화、마음껏 놀자!
70,0,Suwako0a,문장을 한 녀석에게는 \n 빈틈없이 뒤탈이 기다리고 있다
71,0,Suwako0a,문장、즐거운 곳을 받아 버린다!
72,0,Suwako0a,문장、뒤는 맡겨졌다!
