ID,LineID,face,dialog
0,0,Tenshi0a,나 스스로、상대를 해 주어요!
1,0,Tenshi0a,어떤 때라도、즐긴 사람이 승리야!
2,0,Tenshi0a,자、얼마나 가질까
3,0,Tenshi0a,곧바로 항복하거나 하지 말아요
4,0,Tenshi0a,나에게 이길 수 있을 이유 없지요
5,0,Tenshi0a,교제하는 것도 질려 왔어요
6,0,Tenshi0a,나보다 높은 곳을 날지 마
7,0,Tenshi0a,나에게 거슬리면 어떻게 될까、\n 깨닫는 것이 좋아요!
8,0,Tenshi0a,무례한 놈에게는 뜸을 떠요!
9,0,Tenshi0a,분명히 말해、방해인 것이야!
10,0,Tenshi0a,짐승을 쫓는 사람은 눈에 태산을 보지 않고는
11,0,Tenshi0a,약한 사람 이지메는 취미가 아니지만
12,0,Tenshi0a,나의 기분 전환에 교제해 받아요
13,0,Tenshi0a,개수일촉[鎧袖一觸]으로 해 주어요
14,0,Tenshi0a,내가 때려 눕혀 주어요!
15,0,Tenshi0a,이런 곳에서 질 수 없다!
16,0,Tenshi0a,성실하게 상대를 해 주지 않으면!
17,0,Tenshi0a,최고조에 달한 싸움、재미있지 않아!
18,0,Tenshi0a,나를 진심으로 몰리는 상대같구나!
19,0,Tenshi0a,이 오락을、좀 더 즐겁게 해!
20,0,Tenshi1a,움직일 것도 없네요
21,0,Tenshi1a,피해 보이세요
22,0,Tenshi1a,이것으로 어떨까
23,0,Tenshi1a,훗훗후…
24,0,Tenshi1a,비상의 검으로 승부야!
24,1,Tenshi1a,그리고 있고!
25,0,Tenshi1a,자、기질을 지켜봐 준다…!
25,1,Tenshi1a,바닥 시세!
26,0,Tenshi1a,비상의 검으로…!
26,1,Tenshi1a,!
27,0,Tenshi1a,여기로부터 걸어요…!
27,1,Tenshi1a,거만함!
28,0,Tenshi1a,저 녀석의 기질을 느끼면…!
28,1,Tenshi1a,가라、판네룩!
29,0,Tenshi1a,나의 힘、보여 주어요!
29,1,Tenshi1a,도망칠 수 없어요!
30,0,Tenshi1a,이 나의 요석 다루기…
30,1,Tenshi1a,피할 수 있는 것입니까!
31,0,Tenshi1a,단순한 요석이 아니야!
