ID,LineID,face,dialog
0,0,Tensoku0a,……
1,0,Tensoku0a,……!
2,0,Reimu0a,이봐요、싸우세요!
2,1,Reimu0a,네─와、로봇트판치!
3,0,Reimu1a,이것으로 결정한다…!
3,1,Reimu1a,거기!
4,0,Marisa1a,이것이라도 먹어라!
4,1,Marisa1a,로켓·너클!
5,0,Marisa1a,이 녀석으로 결정타다!
5,1,Marisa1a,로켓·너클!
6,0,Rumia0a,한다―
6,1,Rumia0a,로켓·파… 가 아니었다
7,0,Rumia0a,가라―、비상천칙
7,1,Rumia0a,로켓·파…
8,0,Daiyosei0a,비상천칙짱、부탁!
8,1,Daiyosei1a,에이!
9,0,Daiyosei0a,함께 외치네요…!
9,1,Daiyosei2a,로켓、너클!
10,0,Cirno0a,해요、히 그래라고 켤레!
10,1,Cirno1a,값·판치!
11,0,Cirno0a,우리들이라면 가능한다!
11,1,Cirno1a,로켓·-!
12,0,Meiling0a,자、비상천칙!
12,1,Meiling1a,로켓·너클!
13,0,Meiling0a,중국 4천년의 역사입니다!
13,1,Meiling1a,비룡하늘 철권!
14,0,Koakuma0a,해 주세요、비상천칙!
14,1,Koakuma1a,-!
15,0,Koakuma0a,있고 상대는、이것으로!
15,1,Koakuma1a,비상천칙판치!
16,0,Patchouli0a,자、팔을 날리는거야
16,1,Patchouli0a,하세요、비상천칙
17,0,Patchouli0a,음、팔을 날리는 방법은…
17,1,Patchouli0a,함께 외치는… 은、늦었지요
18,0,Patchouli0a,마리사같이 해 본다…
18,1,Patchouli0a,로켓·낙크루!
19,0,Sakuya0a,제외해서는 안 돼요
19,1,Sakuya0a,공격하세요!
20,0,Sakuya0a,새로운 종 없음 마술…
20,1,Sakuya0a,우츠호 나는 팔이야
21,0,Remilia1a,마의 주먹을 맛보면 좋아요!
21,1,Remilia1a,스칼렛·데빌 너클!
22,0,Remilia1a,자、춤추세요!
22,1,Remilia1a,데몬 로드·피스트!
23,0,Flan0a,가요、비상천칙
23,1,Flan0a,부수어 버려라!
24,0,Flan0b,여기는 누님같이…
24,1,Flan0a,우후후、철완 데빌주먹!
25,0,Letty0a,기합소리를 걸면 좋은거네
25,1,Letty0a,… 로켓·너클
26,0,Letty0a,재워 줍시다
26,1,Letty0a,지금、비상천칙
27,0,Chen0a,란님、보고 있어 주세요!
27,1,Chen1a,펀치 로켓!
28,0,Chen0a,네─와、기술의 이름은 무엇이던가…
28,1,Chen1a,너클 로켓!
29,0,Alice0a,부탁、비상천칙!
29,1,Alice1a,거기야!
30,0,Alice1a,춤춥시다、비상천칙!
30,1,Alice1a,스텝!
31,0,LilyW0a,해 버려 주세요!
31,1,LilyW0a,봄·판치!
32,0,LilyW0a,이것으로 봄을 보냅니다!
32,1,LilyW1a,써프라이즈봄판치!
33,0,LilyB0a,… 해 버려 주세요
33,1,LilyB0a,봄·판치…
34,0,LilyB0a,… 봄을 보냅니다…
34,1,LilyB0a,… 머리가 멍─하니 합니다…
35,0,Lunasa0a,기사회생의…
35,1,Lunasa0a,일발 역전 너클이야
36,0,Lunasa0a,기압을 올려…
36,1,Lunasa0a,fortissimo로 연주한다
37,0,Merlin0a,소리를 실어요、비상천칙!
37,1,Merlin1a,메르란·해피 너클~!
38,0,Merlin0a,비상천칙도 텐션 올려!
38,1,Merlin0a,해피·판치!
39,0,Lyrica0a,좋은 소리를 내요!
39,1,Lyrica1a,로켓 발사!
40,0,Lyrica0a,여기는 평소의 요령으로…
40,1,Lyrica1a,비상천칙、해 끝인!
41,0,Youmu0a,이 일념을 주먹에 담는다…!
41,1,Youmu1a,로켓·낙크루!
42,0,Youmu0a,마음껏 때려 주세요!
42,1,Youmu1a,판치!
43,0,Yuyuko0a,너무 시끄러우면 싫구나
43,1,Yuyuko0a,그것、발사~
44,0,Yuyuko0a,소중히 간직함을 보여 준다
44,1,Yuyuko0a,수려 인법、비권의 방법~
45,0,Ran0a,목적은 붙었다…
45,1,Ran1a,놓친데、비상천칙!
46,0,Yukari0a,목적은 그것으로 좋아요
46,1,Yukari0a,공격하세요、비상천칙
47,0,Suika0a,화려하게 가지 않겠는가!
47,1,Suika0a,그것、해 버려라!
48,0,Wriggle0a,가라、비상천칙!
48,1,Wriggle0a,로켓·낙크루!
49,0,Mystia0a,인가 날려라~、라고 검♪
