ID,LineID,face,dialog
0,0,Toyohime0b,오물은 소독… 이라고 해 버려
1,0,Toyohime0a,지루함은 시키지 않으면 좋은 거네
2,0,Toyohime0a,반보성의 원리는 알고 있어?
3,0,Toyohime0a,받은 것은、돌려주지 않으면
4,0,Toyohime0a,그러면、답례해요
5,0,Toyohime0a,공짜로는 끝내지 않아요
6,0,Toyohime0a,나라도 탄막은 할 수 있는거야
7,0,Toyohime0a,달의 사자의 리더로서 부끄러워하지 않게…
8,0,Toyohime0a,아고코로님에게 좋은 곳을 보이지 않으면
9,0,Toyohime0a,받으세요
10,0,Toyohime0a,보이고 있어요
11,0,Toyohime0a,그러면…
12,0,Toyohime0a,피해서는 안 돼요
13,0,Toyohime0a,이것은 비장의 꼰 끈의 1개…
13,1,Toyohime0a,결코 끊어지지 않는 인연인 것이야
13,2,Toyohime0a,그렇게、영원히 말야
14,0,Toyohime0a,펨트파이바를 사용해요
14,1,Toyohime0a,받으세요
14,2,Toyohime0b,이봐요、튼튼하겠지요?
15,0,Toyohime0a,확실히、이 근처에…
15,1,Toyohime0a,그것!
15,2,Toyohime0a,이것이 펨트스케이르야
16,0,Toyohime0a,펨트라고는 알기 쉽게 말하면 잠시 동안…
16,1,Toyohime0b,… 생략!
16,2,Toyohime0a,즉、이런 일이군요
17,0,Toyohime0a,이 땅에서 사용하고 싶지는 않지만…
17,1,Toyohime0a,이 땅에서 사용하고 싶지는 않지만…
17,2,Toyohime0a,조심해 받으세요
17,3,Toyohime2b,곧바로 그전대로로 해 두지 않으면…
18,0,Toyohime0a,이것도 숙명이다면…
18,1,Toyohime0a,이것도 숙명이다면…
18,2,Toyohime0a,최대한、아름답고…
18,3,Toyohime0a,정화의 경치는 어울리지 않네요
19,0,Toyohime0a,무기와는 이렇게 사용하는거야
20,0,Toyohime0a,이것이 달의 병기의 힘이야
21,0,Toyohime0b,정말로 사용해도 좋은거네?
22,0,Toyohime0b,우쭐거려 있으세요
23,0,Toyohime1a,건방지구나
24,0,Toyohime0a,복수 하는 의리는 있어
25,0,Toyohime0a,불려 왔어요
26,0,Toyohime0a,예쁘게 하는 것은 맡겨 둬
27,0,Toyohime0a,우의하、이것을 받읍시다
28,0,Toyohime0a,한눈 팔기는 금물이야
29,0,Toyohime0a,그 장소、바뀝시다
30,0,Toyohime1a,둘이서 힘을 합합시다
31,0,Toyohime1a,능숙하게 해 주세요
32,0,Toyohime1a,심부름을 하면 좋은거네
33,0,Toyohime1a,여기로부터라도 닿아요
34,0,Toyohime1a,솜씨를 배견 해요
35,0,Toyohime0a,뒤에 남아 있으면 좋지만
36,0,Toyohime0a,이것이 지상의 법식의 진수인 거네
37,0,Toyohime0a,잘못해도 말려 들어가지 않도록요
38,0,Toyohime0a,여기에、산과 바다가 사귀고 있어요
39,0,Toyohime0a,레이센、훌륭한 기능이군요
40,0,Toyohime0b,레이센、나머지를 예쁘게 해 버려요
41,0,Toyohime0b,레이센、뒤는 맡겨 둬
42,0,Toyohime0a,위축 하지 않아도 상관없어요
43,0,Toyohime0a,애완동물을 지키는 것도 소양이군요
44,0,Toyohime1a,확실히 하세요、레이센
45,0,Toyohime1a,레이센、도와 주어요
46,0,Toyohime1a,전위 맡겼어요、레이센
47,0,Toyohime1a,당신이라면 능숙하게 하겠지요
48,0,Toyohime1a,레이센、능숙하게 해 줘
49,0,Toyohime0a,레이센、지상의 법식을 가까이서 보고 싶어요
50,0,Toyohime0a,레이센、월의 위광을 나타내는거야
51,0,Toyohime2a,카구야님에게 이러한 일을…!
