ID,LineID,face,dialog
0,0,Udonge1b,멈추지 않으면、공격해요!
1,0,Udonge0a,인게이지! 이것보다 전투에 들어가요!
2,0,Udonge1a,저 녀석이라면、이길 수 있을 것 같구나
3,0,Udonge0a,여기서 잡아 보여요!
4,0,Udonge0a,다음의 상대가 오기 전으로 잡는다…!
5,0,Udonge0a,상대의 공격 후는 호기도、\n 가르쳐진가…
6,0,Udonge0a,곧바로 공격하면…
7,0,Udonge1b,화가 났다! 반격 해요!
8,0,Udonge0a,여기로부터 먼저는 통하지 않는다!
9,0,Udonge1a,그 움직여、보이고 있는거야!
10,0,Udonge0a,훈련대로 하면 된다…
11,0,Udonge0a,조금 정도 멀어도…
12,0,Udonge1b,서로 찔러 죽을 각오는…\n 있을 이유 없잖아!
13,0,Udonge2b,조금! \n 빨리 원호해 줘!
14,0,Udonge2b,어떻게 해서든지、쏘아 떨어뜨리지 않으면…!
15,0,Udonge1a,목적은 제외하지 않는다…!
16,0,Udonge1a,분명하게 노려…
17,0,Udonge1a,관통해 주어요!
18,0,Udonge1a,보이고 있어요!
19,0,Udonge1a,그 움직여、받음이예요!
20,0,Udonge1a,나의 눈이라면 보인다…
21,0,Udonge1a,제외하는 (분)편이 어려워요!
22,0,Udonge1a,피모철갑탄을 준비!
23,0,Udonge1a,목표를 노려 공격한다!
24,0,Udonge0a,적안최면으로 해 본다!
24,1,Udonge1a,거기야!
25,0,Udonge1a,감도의 좋은 점이 생명 위기야!
25,1,Udonge1a,파악했다!
26,0,Udonge1a,이것이 광기의 파동이야!
26,1,Udonge1a,뒤를 취했다!
27,0,Udonge1a,마인드 셰이커를 사용한다!
27,1,Udonge1a,먹으세요!
28,0,Udonge0a,이 거리로부터라면…
28,1,Udonge1a,받았다!
29,0,Udonge1b,광기의 눈동자、풀 드라이브!
29,1,Udonge0a,이대로 단번에…!
29,2,Udonge1a,잡는다!
29,3,Udonge1a,이것이 나의 힘이야!
30,0,Udonge0a,당신의 파장은 나의 마음 가는 대로…
30,1,Udonge1a,자、환상에 미치세요!
30,2,Udonge1a,다짐!
30,3,Udonge1a,당연한 결과예요!
31,0,Udonge1b,가요、환롱월예!
31,1,Udonge1a,광기의 탄막을 받으세요!
31,2,Udonge1a,무늬우츠호 와라!
31,3,Udonge0a,별일 아닌 상대네
32,0,Udonge1a,루나틱… 렛드아이즈!
32,1,Udonge1a,이놈도 저놈도!
32,2,Udonge1a,결정한다!
32,3,Udonge1a,이것이… 광기와 탄막의 융합이야!
33,0,Udonge1a,트랜스、환롱월예!
33,1,Udonge1a,나의 환각으로부터는 도망칠 수 없다!
