ID,LineID,face,dialog
0,0,Udonge0a,멈추지 않으면、공격해요!
1,0,Udonge0a,여기서 잡아 보여요!
2,0,Udonge0a,상대의 공격 후는 호기도、\n 가르쳐진가…
3,0,Udonge0a,절대로 질 수 없는거야!
4,0,Udonge0a,스승님의 작전을 위해서(때문에)…!
5,0,Udonge0a,여기로부터 먼저는 통하지 않는다!
6,0,Udonge0a,잡힐 수는 없으니까…!
7,0,Udonge0a,훈련대로 하면 된다…
8,0,Udonge0a,조금 정도 멀어도…
9,0,Udonge0a,서로 찔러 죽을 각오는…\n 있을 이유 없잖아!
10,0,Udonge0a,어떻게 해서든지、쏘아 떨어뜨리지 않으면…!
11,0,Udonge1a,목적은 제외하지 않는다…!
12,0,Udonge1a,분명하게 노려…
13,0,Udonge1a,관통해 주어요!
14,0,Udonge1a,보이고 있어요!
15,0,Udonge1a,그 움직여、받음이예요!
16,0,Udonge1a,나의 눈이라면 보인다…
17,0,Udonge1a,피모철갑탄을 준비!
18,0,Udonge1a,목표를 노려 공격한다!
19,0,Udonge1a,적안최면으로 해 본다!
19,1,Udonge1a,거기야!
20,0,Udonge1a,이것이 광기의 파동이야!
20,1,Udonge1a,뒤를 취했다!
21,0,Udonge1a,마인드 셰이커를 사용한다!
21,1,Udonge1a,먹으세요!
22,0,Udonge0a,이 거리로부터라면…
22,1,Udonge1a,받았다!
23,0,Udonge1a,광기의 눈동자、풀 드라이브!
23,1,Udonge1a,이대로 단번에…!
23,2,Udonge1a,잡는다!
23,3,Udonge1a,이것이 나의 힘이야!
24,0,Udonge0a,당신의 파장은 나의 마음 가는 대로…
24,1,Udonge1a,자、환상에 미치세요!
24,2,Udonge1a,다짐!
24,3,Udonge1a,당연한 결과예요!
25,0,Udonge1a,가요、환롱월예!
25,1,Udonge1a,광기의 탄막을 받으세요!
25,2,Udonge1a,무늬우츠호 와라!
25,3,Udonge0a,별일 아닌 상대네
26,0,Udonge1a,트랜스、환롱월예!
26,1,Udonge1a,나의 환각으로부터는 도망칠 수 없다!
26,2,Udonge1a,이것으로!
26,3,Udonge1a,한눈 팔기를 하기 때문!
27,0,Udonge0a,싸움을 오래 끌게 하면…
28,0,Udonge0a,내가 공격 할 수 없다니…
29,0,Udonge0a,구、더러운 방식이예요…
30,0,Udonge0a,나의 공격이 닿지 않는다니…
31,0,Udonge0a,복수시켜 받아요!
32,0,Udonge0a,단번에 목표를 두드린다!
33,0,Udonge0a,우군의 원호를 해요!
34,0,Udonge0a,이것으로 결정타야!
35,0,Udonge0a,뭐 하고 있어、빨리 내려!
36,0,Udonge2a,테위、어떤 깐데 있고 일 하고 있는거야…
37,0,Udonge1a,테위、나도 목표를 두드려요!
38,0,Udonge1a,테위、원호를 시작해요!
39,0,Udonge1a,테위、지켜 주어요!
40,0,Udonge1a,테위、좀 더 산뜻하게!
41,0,Udonge0a,、스승님. 나를 위해서(때문에)…!?
42,0,Udonge0a,스승님、나에게 맡겨 주세요
43,0,Udonge0a,스승님의 지시에 따르면、문제는 없다
44,0,Udonge0a,스승님、조심해 주세요!
45,0,Udonge0a,스승님에게 상처를 시켜서는!
46,0,Udonge0a,후후응、너무 약해요!
47,0,Udonge0a,괜찮아、대단한 것도 아니에요!
48,0,Udonge0a,그 정도는 효과가 없어요
49,0,Udonge0a,그래서 나를 넘어뜨리자라니
50,0,Udonge2a,당해 버린다! 어떻게든 하지 않으면…!
51,0,Udonge2a,구、더 이상 갈곳이 없어요…!
52,0,Udonge2a,어떻게 하면 좋은가 생각하지 않으면…!
53,0,Udonge2a,이대로는、\n 만회를 할 수 없는 것에…!
54,0,Udonge2a,이렇게 강하다니…!
