ID,LineID,face,dialog
0,0,Utsuho0a,나를 무시해서는 안돼!
1,0,Utsuho0a,얕잡아 보면、심하기 때문에!
2,0,Utsuho0a,놓치지 않기 때문에!
3,0,Utsuho0a,당하면、입다물지 않기 때문에!
4,0,Utsuho0a,모두의 도움이 되기 위해서(때문에)、싸운다!
5,0,Utsuho0a,나에게라면 가능할 것!
6,0,Utsuho0a,나라도 싸울 수 있다!
7,0,Utsuho0a,여기라도、화가 난 것이니까!
8,0,Utsuho0a,졌을 때의 일 같은거 생각하지 않는다!
9,0,Utsuho0a,밀린 채로가 아닌、되물리친다!
10,0,Utsuho1a,그─것!
11,0,Utsuho0a,크게 쳐들어~…
11,1,Utsuho1a,던진다!
12,0,Utsuho0a,그렇게…
12,1,Utsuho1a,그─… 것!
13,0,Utsuho0a,이것이 나의…
13,1,Utsuho1a,이것이 나의… 탄막이다!
14,0,Utsuho0a,가겠어~…
14,1,Utsuho0a,에잇!
14,2,Utsuho0a,에잇! … 어?
15,0,Utsuho0a,필살~…!
15,1,Utsuho0a,우랴앗!
15,2,Utsuho0a,우랴앗! … 저것 저것?
16,0,Utsuho0a,스페셜~…
16,1,Utsuho0a,펀치!
16,2,Utsuho0a,펀치! … 저것 저것?
17,0,Utsuho0a,이것은 아파…
17,1,Utsuho0a,묻는다!
17,2,Utsuho0a,묻는다! … 저것 저것?
18,0,Utsuho0a,이것으로 어때!
18,1,Utsuho0a,울트라 스페셜…
18,2,Utsuho0a,울트라 스페셜…\n 고르덴데리샤스…
18,3,Utsuho0a,울트라 스페셜…\n 고르덴데리샤스…\n 자이언트 매그넘…!
18,4,Utsuho0a,판치!
18,5,Utsuho0a,… 네─와、-와…
19,0,Utsuho0a,이것으로 어때!
19,1,Utsuho0a,하이퍼 골드…
19,2,Utsuho0a,하이퍼 골드…\n 라그쥬아리후르오트마틱크…
19,3,Utsuho0a,하이퍼 골드…\n 라그쥬아리후르오트마틱크…\n 진파이나르바체르로만싱…
19,4,Utsuho0a,두근거려 판치!
19,5,Utsuho0a,… 네─와、-와…
20,0,Utsuho0a,이래서야、반격 할 수 없어
21,0,Utsuho0a,어? 무엇을 하고 있던 것이던가?
22,0,Utsuho2a,보고、잃어 버렸다…
23,0,Utsuho2a,아、어? 도대체 어디에서…
24,0,Utsuho2a,와、이런 건은 없어!
25,0,Utsuho0a,힘껏 노력한다!
26,0,Utsuho0a,원、나라고!
27,0,Utsuho0a,좋아하게 시키는 것일까!
28,0,Utsuho0a,위험하다!
29,0,Utsuho1a,응、저쪽으로부터 적이 오고 있다!
30,0,Utsuho1a,그렇게 정해지면、빨리 가자!
31,0,Utsuho1a,남편과、여기에서 앞으로 나와서는 안돼?
32,0,Utsuho1a,사、하를 하면 좋아?
33,0,Utsuho1a,자、의욕에 넘쳐 가자!
34,0,Utsuho0a,지금이 찬스인 거네요!
35,0,Utsuho0a,내가 가 해치운다!
36,0,Utsuho0a,힘껏 노력해!
37,0,Utsuho2a,잘도 카나코님을!
38,0,Utsuho0a,카나코님、내리고 있어 주세요!
39,0,Utsuho0a,카나코님、내가 지킵니다!
40,0,Utsuho0a,카나코님、위험하다!
41,0,Utsuho1a,카나코님이 지시하는 대로!
42,0,Utsuho1a,카나코님、저쪽에 적이 있어요!
43,0,Utsuho1a,어떻게 하면 좋습니까、카나코님!
44,0,Utsuho1a,카나코님、내가 깜짝 시키네요!
45,0,Utsuho0a,카나코님、둘이서 노력합시다!
46,0,Utsuho2a,잘도 스와코님을!
47,0,Utsuho0a,스와코님、내리고 있어 주세요!
48,0,Utsuho0a,스와코님、내가 지킵니다!
49,0,Utsuho0a,스와코님、위험하다!
50,0,Utsuho1a,스와코님이 지시하는 대로!
51,0,Utsuho1a,스와코님、저쪽에 적이 있어요!
52,0,Utsuho1a,어떻게 하면 좋습니까、스와코님!
53,0,Utsuho1a,스와코님、내가 깜짝 시키네요!
54,0,Utsuho0a,스와코님、둘이서 노력합시다!
55,0,Utsuho2a,잘도 오린을! 허락하지 않기 때문에!
56,0,Utsuho0a,오린、물러나고 물러나―!
57,0,Utsuho0a,오린、우리로 해치우자!
58,0,Utsuho0a,오린、위험하다!
59,0,Utsuho0a,오린、내가 지켜 준다!
60,0,Utsuho1a,오린、저쪽으로부터 적이 오고 있다!
61,0,Utsuho1a,오린、나는 무엇을 하면 좋아?
62,0,Utsuho1a,오린、의욕에 넘쳐 가자!
63,0,Utsuho1a,오린、내가 깜짝 시키네요!
64,0,Utsuho1a,오린、우리로 해치우자!
