ID,LineID,face,dialog
0,0,Wriggle0a,조금 조금 조금、\n 나를 무시한다고는 좋은 담력이예요
1,0,Wriggle0a,그 움직여、권하고 있을까나?
2,0,Wriggle0a,벌레의 움직임에 대해 올 수 있을까나!
3,0,Wriggle0a,여기에 주의를 향하게 한다!
4,0,Wriggle0a,오지 않는다면、나부터 간다!
5,0,Wriggle0a,상대의 움직임에 눈이 익숙해져 왔다…!
6,0,Wriggle0a,당한 벌레들의 원한은 \n 풀지 않으면!
7,0,Wriggle0a,벌레라도 도망칠 뿐(만큼)이 아니다!
8,0,Wriggle0a,공격은 끝났어? \n 라면、여기의 차례구나!
9,0,Wriggle0a,잘 도망치자는、너무 뻔뻔해요
10,0,Wriggle0a,각오는 되어 있는거죠!
11,0,Wriggle0a,한 치의 벌레에도、5 분의영혼이다!
12,0,Wriggle0a,해치워 보인다!
13,0,Wriggle1a,이런 곳에서 모두 불타고도 참을까!
14,0,Wriggle0a,여기가 승부무렵이야!
15,0,Wriggle0a,넘어뜨릴 수 있을 때에、넘어뜨리지 않으면!
16,0,Wriggle0a,한 치의 벌레에도、5 분의영혼이다!
17,0,Wriggle1a,아、틈 찾아냈다!
17,1,Wriggle1a,묻는다!
18,0,Wriggle1a,이것으로 단번에…
18,1,Wriggle1a,그것!
19,0,Wriggle1a,받아!
19,1,Wriggle1a,나의 날개로!
20,0,Wriggle1a,돌진한다!
20,1,Wriggle1a,에잇!
21,0,Wriggle1a,맞아!
22,0,Wriggle1a,밤을 비추는 불빛으로!
23,0,Wriggle1a,개똥벌레의 빛으로!
24,0,Wriggle1a,거기다!
25,0,Wriggle1a,쓰여되고、벌레의 큰 떼!
25,1,Wriggle1a,놓치는 것일까!
26,0,Wriggle1a,불길한 예감[蟲の知らせ] 서비스를、\n 체험시켜 준다!
26,1,Wriggle1a,난폭하게 간다!
27,0,Wriggle1a,다음의 시대는 우리의 것이다!
27,1,Wriggle1a,해치워라!
28,0,Wriggle1a,자 모두、간다!
28,1,Wriggle1a,아직도!
29,0,Wriggle1a,모두、부탁!
29,1,Wriggle1a,좀더 좀더!
30,0,Wriggle1a,스피드를 실으면!
30,1,Wriggle1a,궁극!
30,2,Wriggle1a,리굴·킥!!
31,0,Wriggle1a,방심을 하고 있다면!
31,1,Wriggle1a,필살!
31,2,Wriggle1a,리굴·킥!!
32,0,Wriggle1a,이것으로 다운이다!
32,1,Wriggle1a,필살!
32,2,Wriggle1a,리굴·킥!!
33,0,Wriggle1a,충의 요괴、궁극 오의…!
33,1,Wriggle1a,궁극!
33,2,Wriggle1a,리굴·킥!!
34,0,Wriggle0a,모두가 힘을 합하자!
34,1,Rumia0a,뭐 해 노는 건가?
34,2,Cirno0a,어둠과、얼음과、벌레와、노래!
34,3,Wriggle0a,준비는 OK!
34,4,Mystia0a,여기도 룰루랄라!
34,5,Cirno1a,스펠 카드!
34,6,Wriggle1a,모두、잘 부탁드립니다!
34,7,Mystia1a,파이야!
34,8,Rumia0a,와─이
34,9,Cirno1a,얼음 파워야!
34,10,Wriggle1a,거기다!
34,11,Mystia1b,가라♪가라♪
34,12,Rumia0a,창고―
34,13,Rumia0a,좋은 느낌―
34,14,Wriggle0a,마무리가 큰 일이야!
34,15,Mystia0a,올라 왔어요―
34,16,Cirno0a,단번에 가요…!
34,17,Cirno1a,바카르텟트스페샤룩!
34,18,Rumia1a,스펠 카드!
34,19,Mystia1a,스펠 카드!
34,20,Wriggle1a,스펠 카드!
35,0,Wriggle0a,모두、모여 있다!?
35,1,Rumia0a,시장─응
35,2,Cirno0a,-응!
35,3,Wriggle0a,산파─응!
35,4,Mystia0a,-응!
35,5,Cirno1a,쿼텟!
35,6,Wriggle1a,갈 수 있고 、충들!
35,7,Mystia1a,파이야!
35,8,Rumia0a,바닥 시세―
35,9,Cirno1a,냉동 빔!
35,10,Wriggle1a,놓치지 마!
35,11,Mystia1b,좀 더 해 버려―♪
35,12,Rumia0a,어두워져라―
35,13,Rumia0a,이제 해치울 수 있을 것 같다
35,14,Wriggle0a,그렇다면 승부다!
35,15,Mystia0a,좋은 느낌이예요―
35,16,Cirno0a,좋아、결정타야…!
35,17,Cirno1a,바카르텟트스페샤룩!
35,18,Rumia1a,쿼텟!
35,19,Mystia1a,쿼텟!
35,20,Wriggle1a,쿼텟!
36,0,Wriggle0a,우리들이라면 할 수 있다!
36,1,Rumia0a,준비는 되어지고 있어?
36,2,Cirno0a,물론!
36,3,Wriggle0a,언제라도 갈 수 있다!
36,4,Mystia0a,상태는 최상!
36,5,Cirno1a,스펠 카드!
36,6,Wriggle1a,모두、가!
36,7,Mystia1a,파이야!
36,8,Rumia0a,에이
