ID,LineID,face,dialog
0,0,Wriggle0a,조금 조금 조금、\n 나를 무시한다고는 좋은 담력이예요
1,0,Wriggle0a,벌레라도 도망칠 뿐(만큼)이 아니다!
2,0,Wriggle0a,한 치의 벌레에도、5 분의영혼이다!
3,0,Wriggle0a,벌레의 움직임에 대해 올 수 있을까나!
4,0,Wriggle0a,상대의 움직임에 눈이 익숙해져 왔다…!
5,0,Wriggle0a,당한 벌레들의 원한은 풀지 않으면!
6,0,Wriggle1a,아、틈 찾아냈다!
6,1,Wriggle1a,묻는다!
7,0,Wriggle1a,이것으로 단번에…
7,1,Wriggle1a,그것!
8,0,Wriggle1a,받아!
8,1,Wriggle1a,나의 날개로!
9,0,Wriggle1a,돌진한다!
9,1,Wriggle1a,에잇!
10,0,Wriggle1a,맞아!
11,0,Wriggle1a,밤을 비추는 불빛으로!
12,0,Wriggle1a,개똥벌레의 빛으로!
13,0,Wriggle1a,거기다!
14,0,Wriggle1a,쓰여되고、벌레의 큰 떼!
14,1,Wriggle1a,놓치는 것일까!
15,0,Wriggle1a,자 모두、간다!
15,1,Wriggle1a,아직도!
16,0,Wriggle1a,모두、부탁!
16,1,Wriggle1a,좀더 좀더!
17,0,Wriggle0a,지금은 떨어져 상태를 본다
18,0,Wriggle0a,도망 다니면、괜찮다
19,0,Wriggle2a,와、이대로는 일방적이다…
20,0,Wriggle2a,、어디에서 공격해 왔어?
21,0,Wriggle2a,절대 허락하지 않기 때문에!
22,0,Wriggle0a,방치할 수는 없다!
23,0,Wriggle0a,나의 스피드로、이제 일격이다!
24,0,Wriggle0a,나로 받아들여질까나
25,0,Wriggle0a,지금중에 몸의 자세를 정돈해!
26,0,Wriggle2a,어딘가 도망칠 수 있는 곳은…!
27,0,Wriggle2a,그런、도망갈 장소가 없다니…
28,0,Wriggle2a,구、무섭고 따위 없다!
29,0,Wriggle2a,、충들만이라도 놓치지 않으면…
30,0,Wriggle2a,싫은 곳을 찔러 오는구나…
31,0,Wriggle2a,좀 더 움직이지 않으면 안돼!?
32,0,Wriggle2a,히에…
33,0,Wriggle2a,、꽤 하는구나!
34,0,Wriggle2a,구、나라고…!
35,0,Wriggle2a,지는 것일까!
36,0,Wriggle2a,、파악되어져 버리고 있어?!
