ID,LineID,face,dialog
0,0,Yorihime0a,일념을 보여 보세요
1,0,Yorihime0a,물러나면、아픔이 최소한으로 끝나요
2,0,Yorihime0a,도망칠 수 있다고 생각하고 있었을까
3,0,Yorihime0a,도가 하지는 하지 않아요
4,0,Yorihime0a,나 스스로 박수로 합니다!
5,0,Yorihime0a,싸우는 것을 주저함은 하지 않아요
6,0,Yorihime0b,달의 수호자의 힘을 보입시다
7,0,Yorihime0a,환상향의 법식에 준거합시다
8,0,Yorihime0a,힘을 시험합시다
9,0,Yorihime0a,거리를 채워…
9,1,Yorihime0a,하앗!
10,0,Yorihime0a,이 틈…
10,1,Yorihime0a,받았닷!
11,0,Yorihime0a,도가 하지는 하지 않아요!
11,1,Yorihime0a,거기야!
12,0,Yorihime0b,목…
12,1,Yorihime0a,목… 줘!
13,0,Yorihime0a,이 정도의 거리라면…
13,1,Yorihime0a,이 정도의 거리라면… 탓!
14,0,Yorihime0c,거리를 취한 생각이라면…
14,1,Yorihime0b,거리를 취한 생각이라면… 달콤하다!
15,0,Yorihime0a,그 번뇌마다…
15,1,Yorihime0a,그 번뇌마다… 끊는닷!
16,0,Yorihime0a,거기도 나의 틈이야!
16,1,Yorihime0a,거기도 나의 틈이야!
17,0,Yorihime0a,신의 염에 구워지고 하세요
17,1,Yorihime0b,종의 신도…
17,2,Yorihime0a,히노카그트치!
17,3,Yorihime0a,구워 쫓아랏!
17,4,Yorihime0a,이것은 무엇보다도 뜨거운 불길!
17,5,Yorihime0a,받으세요!
17,6,Yorihime0a,되는 대로란…!
18,0,Yorihime0a,신의 힘을 깨달으세요!
18,1,Yorihime0b,화지가구토신이야…
18,2,Yorihime0a,화지가구토신이야… 이 칼에!
18,3,Yorihime0a,구워 쫓아랏!
18,4,Yorihime1b,아직 끝나지 않습니다!
18,5,Yorihime1b,오오오오오오옷!
18,6,Yorihime0b,너무 약하다!
19,0,Yorihime0a,받아 보는 것이 좋아요!
19,1,Yorihime0a,와라、염의 신…
19,2,Yorihime0a,화지가구토신!
19,3,Yorihime0a,구워 쫓아랏!
19,4,Yorihime0a,도가 하지는 하지 않아요!
19,5,Yorihime0a,일곡!
19,6,Yorihime0b,조금은 뼈가 있던듯 하네!
20,0,Yorihime0a,깜박여 하는 동안도 주지는 않는다…
20,1,Yorihime0a,다케미카즈라노 가미야、힘을!
20,2,Yorihime0a,질풍… 심한 뇌전!
20,3,Yorihime1b,하앗!
20,4,Yorihime1b,이미 나의 틈이야!
20,5,Yorihime1b,하아아아아아앗!
20,6,Yorihime1a,이것이 신의 번개야
21,0,Yorihime0a,따라 올 수 있을 리가 없어요
21,1,Yorihime0a,다케미카즈라노 가미… 초래
21,2,Yorihime0a,한숨에… 잡는닷!
21,3,Yorihime1b,파악했닷!
21,4,Yorihime1b,하、는! 하아…!
21,5,Yorihime1b,일곡!
21,6,Yorihime0b,시시한 것을 베었어요
22,0,Yorihime0a,하늘의 힘으로 억제합시다
22,1,Yorihime0a,다케미카즈라노 가미야、이 칼에!
22,2,Yorihime0a,필살、필중!
22,3,Yorihime1b,너무 늦닷!
22,4,Yorihime1b,일순간으로 결정한닷!
22,5,Yorihime1b,하아아아아아앗!
22,6,Yorihime0b,신의 칼날、깨달았을까
23,0,Yorihime0b,모든 어둠을 지워 없앱시다
23,1,Yorihime0b,아마노이와토[天の岩戶]야…
23,2,Yorihime0a,아마노이와토[天の岩戶]야… 열고―
24,0,Yorihime0b,자、엎드리는 것이 좋아요
24,1,Yorihime0b,커다란 자모의 광명이야…
24,2,Yorihime0a,커다란 자모의 광명이야… 비추어라―
25,0,Yorihime0a,와라、천조오미카
25,1,Yorihime0b,빛이야、어둠을 쫓아라―
25,2,Yorihime0b,빛이야、어둠을 쫓아라―
26,0,Yorihime0b,와라、천조오미카─
27,0,Yorihime0a,아마노이와토[天の岩戶]야、열고―
28,0,Yorihime0a,상대의 움직임을 읽어 봅시다
29,0,Yorihime0a,좀 더 힘을 지켜볼까요
30,0,Yorihime0c,그대로 이길 수 없어요
31,0,Yorihime0c,겁먹은듯 하네
32,0,Yorihime0b,은혜에는 반드시 보답합니다
33,0,Yorihime0a,이 싸움、내가 맡습니다
34,0,Yorihime0a,뒤는 내가 맡읍시다
35,0,Yorihime0a,이것도 의무의 하나입니다
36,0,Yorihime0c,잘 모르구나、물러나세요
37,0,Yorihime0a,언제라도 의지하면 좋아요
38,0,Yorihime0a,나에게 계속되세요!
39,0,Yorihime0a,내가 붙어 있어요
40,0,Yorihime0a,틈을 만듭시다
41,0,Yorihime0a,이슬을 지불합시다
42,0,Yorihime0a,그대로 진행되세요
43,0,Yorihime0a,탄막을 맞춘다고 하는 일이군요!
44,0,Yorihime0a,신의 힘과 나의 검、당신과 함께 있어요
45,0,Yorihime0a,이 전국을 우리들이 바꾸어요!
46,0,Yorihime2a,지상의 무녀에 도와진다고는…!
47,0,Yorihime0a,마무리가 어설펐어요、지상의 무녀
