ID,LineID,face,dialog
0,0,Youmu1a,당신은 베어져 여기서 끝!
1,0,Youmu1a,가감(상태) 같은거 효과가 없어요!
2,0,Youmu1a,막상! 심상하게 승부!
3,0,Youmu1a,방해 한다면 벱니다!
4,0,Youmu1a,베고 나서 생각한다!
5,0,Youmu1a,일격으로 잡아 보인다!
6,0,Youmu1a,결코 놓치지 않아요!
7,0,Youmu1a,이번은 이쪽의 차례군요!
8,0,Youmu1a,돌려준다!
9,0,Youmu1a,향해 온다면、용서하지 않습니다!
10,0,Youmu1a,이 앵관검의 녹이 되고 싶으면…!
11,0,Youmu1a,그쪽이 그 기분이라면、여기래!
12,0,Youmu0a,틈을 신중하게 측정해…
13,0,Youmu1a,거기를 물러나세요!
14,0,Youmu1a,혼백의 기술에 사각은 없습니다!
15,0,Youmu1a,거기는 나의 틈입니다!
16,0,Youmu0a,이 기술로 승부입니다!
17,0,Youmu0a,검이、흰색앵검이 진실을 가르쳐 준다!
18,0,Youmu0a,나에게 미혹은 없습니다!
19,0,Youmu0a,진실은 베어 아는 것…\n 그렇네요、스승님
20,0,Youmu1a,보였다!
21,0,Youmu1a,빈틈 있음!
22,0,Youmu1a,하아아!
23,0,Youmu1a,테에이!!
24,0,Youmu1a,각오 해라!
25,0,Youmu1a,가세요!
26,0,Youmu1a,거기입니다!
27,0,Youmu1a,반령에는、\n 이런 사용법도 있습니다
28,0,Youmu0a,이 기술로 결착을 붙인다…
28,1,Youmu1a,단명검 『명상참』!
28,2,Youmu1a,!
28,3,Youmu1a,요괴가 단련한、이 앵관검에…
28,4,Youmu1a,끊을 수 없는 것 등、거의 없닷!!
29,0,Youmu0a,이것이라면 어떻습니까!
29,1,Youmu0a,당신의 생명을 끊는 검…
29,2,Youmu1a,단명검 『명상참』!
29,3,Youmu1a,요괴가 단련한、이 앵관검에…
29,4,Youmu1a,끊을 수 없는 것 등、그다지 없닷!!
30,0,Youmu0a,마음에서、악한 생명을 끊는다…
30,1,Youmu0a,명명해、단·명·검!
30,2,Youmu1a,해 보겠습니닷!
30,3,Youmu1a,요괴가 단련한、이 앵관검에…
30,4,Youmu1a,끊을 수 없는 것 등、조금 밖에 없닷!!
31,0,Youmu0a,겁니다…
31,1,Youmu1a,섬!
32,0,Youmu0a,이 틈이라면…
32,1,Youmu1a,산!
33,0,Youmu0a,단번에 거리를 채워…
33,1,Youmu1a,섬!
34,0,Youmu0a,이 일순간이 승부입니다
34,1,Youmu1a,참!
35,0,Youmu0a,비장의 기술、천상검!
35,1,Youmu1a,하아아아아!
36,0,Youmu0a,이것이 윤회의 숙업…
36,1,Youmu1a,하아아아아!
37,0,Youmu0a,이런 기술도 할 수 있습니다
37,1,Youmu1a,하아아아아!
38,0,Youmu0a,혼백류검술 오의…
38,1,Youmu1a,육도검 『일념 무량긴 시간』!!
38,2,Youmu1a,하아아아앗!
38,3,Youmu1a,나는 모든 것을…
38,4,Youmu1a,나는 모든 것을… 베어 안다!
39,0,Youmu0a,이 일념에 모든 것을 건다…
39,1,Youmu1a,헤아려 온닷!
39,2,Youmu1a,하아아아앗!
39,3,Youmu1a,자、다음은 누구입니까!?
39,4,Youmu1a,자、다음은 누구입니까!?
40,0,Youmu0a,이 호기、놓칠까 보냐!
40,1,Youmu1a,일념의 사이에 달려나간다…!
40,2,Youmu1a,하아아아앗!
