ID,LineID,face,dialog
0,0,Yugi0a,너의 상대는、이 나다!
1,0,Yugi0a,나의 기다려지게 교제해 받는다!
2,0,Yugi0a,조금은 즐길 수 있는 상대일 것이다!
3,0,Yugi0a,자、시작하지 않겠는가!
4,0,Yugi0a,그 싸움、샀다!
5,0,Yugi0a,도망 숨김 하고 있으면、\n 이런 꼴을 당하지 않았는데
6,0,Yugi0a,나에게 도전해 온다면…!
7,0,Yugi0a,공격이라는 것은、이렇게 한다!
8,0,Yugi0a,전방을 막는다 라고 말한다면…
9,0,Yugi0a,내가 솜씨를 봐주자
10,0,Yugi0a,귀신의 싸우는 모습、잘 봐서 말이야!
11,0,Yugi0a,권 1개로 승부다!
12,0,Yugi0a,자、즐겁게 해 주어라!
13,0,Yugi0a,상대에게 취해 불만은 없는、\n 오랜만에 두근두근 해 왔어
14,0,Yugi0a,즐거운 것은 여기로부터다!
15,0,Yugi0a,지상까지 나온 보람이 있다는 것이다
16,0,Yugi0a,지금은 싸우는、그것만이야!
17,0,Yugi0a,얼쩡얼쩡 해…
17,1,Yugi1a,사라지는거야!
18,0,Yugi0a,그렇게…
18,1,Yugi1a,그렇게…!
19,0,Yugi0a,이거 참…
19,1,Yugi1a,이거 참… 키와!
20,0,Yugi0a,거기는 나의 주먹이 닿는 거리다!
20,1,Yugi0a,거기는 나의 주먹이 닿는 거리다!
21,0,Yugi1a,나의 힘으로 부서져 끝인!
22,0,Yugi1a,나의 힘을 보여 준다!
23,0,Yugi1a,얼쩡얼쩡 한다면…!
24,0,Yugi1a,주눅이 들고 있다면、그쪽의 패배야
25,0,Yugi1a,귀신의 패기、받아 보는거야!
26,0,Yugi0a,사람 날뛰고 해 줄까!
26,1,Yugi0a,준비…
26,2,Yugi0a,준비… 돈!
26,3,Yugi0a,한
26,4,Yugi0a,에의…
26,5,Yugi0a,씨!
27,0,Yugi0a,달까지 때려 날려 준다!
27,1,Yugi0a,준비…
27,2,Yugi0a,준비… 돈!
27,3,Yugi0a,한
27,4,Yugi0a,에의…
27,5,Yugi0a,씨!
28,0,Yugi0a,마음껏、후려쳐 주자!
28,1,Yugi0a,이빨을…
28,2,Yugi0a,이빨을… 이를 악물어!
28,3,Yugi0a,한
28,4,Yugi0a,에의…
28,5,Yugi0a,씨!
29,0,Yugi0a,사천왕의 센 힘을 보여 준다!
29,1,Yugi0a,준비…
29,2,Yugi0a,준비… 돈!
29,3,Yugi0a,한…
29,4,Yugi0a,에의…
29,5,Yugi0a,씨!
30,0,Yugi0a,틈을 재어 해쳤는지
31,0,Yugi0a,여기는 관망이라고 가자
32,0,Yugi0a,닿지 않으면、접근해 준다!
33,0,Yugi0a,그렇게 내가 무서운 것인지?
34,0,Yugi0a,시시한 싸움을 하는 녀석이다
35,0,Yugi0a,울리지 않은가
36,0,Yugi0a,애먹이고 있는 것 같지 않은가
37,0,Yugi0a,나에게 맡겨 주어도 좋아!
38,0,Yugi0a,너의 상대는 나야!
39,0,Yugi0a,여기는 나에게 맡기는거야!
40,0,Yugi0a,조금 내려도 좋은!
41,0,Yugi1a,나도 혼합해 주어라!
42,0,Yugi1a,먼저 일발해 주신다!
43,0,Yugi1a,나에게 맡겨 주어도 좋아!
44,0,Yugi1a,모처럼의 싸움이야、즐기자
45,0,Yugi1a,나 혼자라도 충분하지만…
46,0,Yugi1a,전진 있을 뿐、일 것이다?
47,0,Yugi1a,벽을 무너뜨리는 역은 맡겨졌다!
48,0,Yugi1a,마음껏 발을 디딘다!
49,0,Yugi1a,최고로 분위기를 살려 왔군요!
50,0,Yugi1a,자、즐기지 않겠는가!
51,0,Yugi0a,췌향、이것은 대여로 해 둔다!
52,0,Yugi0a,귀신의 다음에는 또 귀신이… 는
53,0,Yugi0a,췌향、여기는 맡겨 두어라!
54,0,Yugi0a,췌향、여유인 것은 좋지만 말야
55,0,Yugi0a,췌향、조금 내려서 말이야!
56,0,Yugi1a,방법은 녹 붙어 있지 않겠지!
57,0,Yugi1a,췌향、바보짓을 하는 것이 아니야!
58,0,Yugi1a,가겠어、췌향!
59,0,Yugi1a,이겨 건배와 가고 싶다
60,0,Yugi1a,췌향、완은 떨어지지 않다?
61,0,Yugi1a,우리의 힘을 깨달아라!
62,0,Yugi0a,사천왕 두 명、상대로 할 수 있다고 생각하지 마!
63,0,Yugi0a,췌향、최고로 끓어올라 왔군요!
64,0,Yugi0a,키스메、저 녀석들에게는 깨닫게 해 주니까요
65,0,Yugi0a,키스메、나에게 맡겨 두는거야!
66,0,Yugi0a,키스메、조금 내려서 말이야!
67,0,Yugi0a,키스메、너는 내려서 말이야!
68,0,Yugi0a,키스메、내가 지켜 준다!
69,0,Yugi0a,할게、키스메!
70,0,Yugi0a,키스메、내가 방비를 무너뜨려 준다!
71,0,Yugi0a,키스메、를 좋아하게 싸움을 해 보는거야!
72,0,Yugi0a,키스메、먼저 일발해 주신다!
73,0,Yugi0a,지저의 요괴의 힘을 깨달아라!
74,0,Yugi0a,키스메、마음껏 한다!
75,0,Yugi0a,키스메、즐기지 않겠는가!
