ID,LineID,face,dialog
0,0,Yuka0a,자、힘을 보여 보세요
1,0,Yuka0a,쓸데없는 저항은 대환영이야
2,0,Yuka0a,약한 것 비난은 좋아해요
3,0,Yuka0a,자신이 했던 것이 어떻게 말하는 일이나、\n 가르쳐 주어요
4,0,Yuka0a,죽음을 두려워하지 않음에는、이러해요
5,0,Yuka0a,상응하는 답례는 시켜 받아요
6,0,Yuka0a,어떻게 되어도 몰라요
7,0,Yuka0a,그러면、답례야
8,0,Yuka0a,어중간한 일을 하기 때문에、\n 이런 꼴을 당하는거야
9,0,Yuka0a,도전해 온다면、응해 주어요
10,0,Yuka0a,차분히 정리해 갑시다
11,0,Yuka0a,얼마나 견딜 수 있을까
12,0,Yuka0a,나의 앞에 있었던 것이 운이 다하고
13,0,Yuka0a,다음의 표적은 당신으로 결정했어요
14,0,Yuka0a,새빨간 꽃을 피워 주어요
15,0,Yuka0a,마음의 준비는 좋을까?
16,0,Yuka0a,후후후… 놀아 준다
17,0,Yuka0a,얌전하게、꽃의 양식이 되세요
18,0,Yuka0a,흙의 맛을 가르쳐 주어요
19,0,Yuka0a,이것이 나의 일과인 것이야
20,0,Yuka0a,자、해바라기로 해 준다
21,0,Yuka0a,흥미가 없어졌어요、빨리 사라져 줘
22,0,Yuka0a,나를 진심에 시킨 것、후회 하세요
23,0,Yuka0a,아직 지기에는 빠르네요
24,0,Yuka0a,진정한 공포는 여기로부터
25,0,Yuka0a,자、개화때야
25,1,Yuka0a,나에게 잘 보여 줘
26,0,Yuka0a,피어 보여 줘
26,1,Yuka0a,예쁜 꽃이군요
27,0,Yuka0a,여러 가지 색의 꽃들…
27,1,Yuka0a,꺾는 것은 아까워요
28,0,Yuka1a,피세요、나의 화들
29,0,Yuka1a,아름답게、피어 보세요!
30,0,Yuka1a,피와 같이 붉은 해바라기의 꽃…\n 아시는 바일까?
31,0,Yuka1a,바람구멍을 열어 주어요
32,0,Yuka1a,이 정도로 시들어서는 싫어요
33,0,Yuka1a,후려쳐 넘겨요…
34,0,Yuka1a,그러면、사양말고…
35,0,Yuka1a,한 벌다에서도 괴롭히는 보람이 있을 듯 하구나
36,0,Yuka1a,… 듀얼 스파크
37,0,Yuka1a,… 지워 줄까
38,0,Yuka0a,이런 일도 할 수 있는거야?
38,1,Yuka0a,자、보여 줍시다
38,2,Yuka1a,… 듀얼 스파크
39,0,Yuka0a,둘이서 공격하면 2배… 간단한 계산이군요
39,1,Yuka0a,둘이서 공격하면 2배… 간단한 계산이군요
39,2,Yuka1a,… 듀얼 스파크
40,0,Yuka0a,대륜[大輪]이 꽃을 피웁시다
40,1,Yuka0a,나의 전력…
40,2,Yuka1a,나의 전력… 가세요!
40,3,Yuka0a,이런 곳일까
41,0,Yuka0a,전력을 내면 어떻게 될까…
41,1,Yuka0a,흥미가 있는 것이 아닐까?
41,2,Yuka1a,특별히… 보여 준다!
41,3,Yuka0a,이런 곳일까
42,0,Yuka0a,그렇게 치열하게 산다면…
