ID,LineID,face,dialog
0,0,Yukari0a,그런데、탄막 짓거리를 시작합시다
1,0,Yukari0a,시간을 들일 생각은 없어요
2,0,Yukari0a,노리기 쉬운 위치에 있는 걸요
3,0,Yukari0a,한사람씩 확실히 넘어뜨려 갑시다
4,0,Yukari0a,물론、가감(상태)는 하지 않기 때문에
5,0,Yukari0a,싸움을 끝내기 (위해)때문에、진력합시다
6,0,Yukari0a,걸어 온 것은 그 쪽이니까요
7,0,Yukari0a,、슬슬 놀이는 마지막이야
8,0,Yukari0a,다음은 이쪽의 차례니까요
9,0,Yukari0a,조금 뜸을 떠 줄까요
10,0,Yukari0a,이쪽의 공격도 받지 않으면…
11,0,Yukari0a,쉬는 동안 따위、는 하지 않습니다
12,0,Yukari0a,계산할 것도 없이、\n 결과는 보이고 있는 것이지만
13,0,Yukari0a,마지막에는 내가 이기도록(듯이) 계산되어 있어요
14,0,Yukari0a,나쁘지만、질 수는 없어요
15,0,Yukari0a,내가 여기까지 몰린다고는
16,0,Yukari0a,더 이상、\n 시간이 걸릴 수는 없어요
17,0,Yukari1a,이대로 당해、\n 입장이 없으니까
18,0,Yukari0a,이런 것은 어떨까
19,0,Yukari0a,놀래켜 줍시다
20,0,Yukari0a,아무리 돌아다녀도、쓸데없는 일이에요
21,0,Yukari0a,전방 주의、예요
22,0,Yukari0a,전방 주의、예요
23,0,Yukari0a,그저 시험이에요
24,0,Yukari0a,이 정도 단념했으면 좋지만
25,0,Yukari0a,이것을 드립시다
26,0,Yukari0a,이것은 어떨까
27,0,Yukari0a,피하는 것 따위 할 수 있지는 않아요
28,0,Yukari0a,벌써 끝냅시다
29,0,Yukari0a,꿈과 사라지세요…
30,0,Yukari0a,현과는、매우 애매한 것이야
31,0,Yukari0a,압도 해 줍시다
31,1,Yukari0a,일제사격
32,0,Yukari0a,조금 진심을 보여 줍시다
32,1,Yukari0a,피할 수 있을까
33,0,Yukari0a,하는 이상에는 철저하게…
33,1,Yukari0a,떨어지세요
