ID,LineID,face,dialog
0,0,Yukari0a,이 싸움이 의의 있는 것이 되도록
1,0,Yukari0a,물론、가감(상태)는 하지 않기 때문에
2,0,Yukari0a,보여 줘、당신들의 탄막을…
3,0,Yukari0a,아직도 이야기는 시작되었던 바로 직후
4,0,Yukari0a,이 이야기에 관객석은 없습니다
5,0,Yukari0a,쉬는 동안 따위、는 하지 않습니다
6,0,Yukari0a,분명하게 붙어 올 수 있었을까?
7,0,Yukari0a,이것으로 소녀와 요괴의 이야기는 \n 일단의 종막이에요
8,0,Yukari0a,나의 이야기를 기억해 둘 필요는 없습니다、\n 그것은 나의 역할이기 때문에
9,0,Yukari0a,자주(잘) 여기까지 가진 거네
10,0,Yukari0a,자、마지막 언약 다 물읍시다
11,0,Yukari0a,이것이야말로 환상향의 경계…
12,0,Yukari0a,나의 이야기를 기억해 둘 필요는 없습니다、\n 그것은 나의 역할이기 때문에
13,0,Yukari0a,보여 줘、당신들의 탄막을…
14,0,Yukari0a,이 정도 단념했으면 좋지만
15,0,Yukari0a,그저 시험이에요
16,0,Yukari0a,이런 것은 어떨까
17,0,Yukari0a,현과는、매우 애매한 것이야
18,0,Yukari0a,꿈과 사라지세요…
19,0,Yukari0a,그것은 꿈과도 현이라고도 모르는 이야기…
20,0,Yukari0a,사접의 무용은 당신의 눈에 어떻게 비칠까
20,1,Yukari0a,아름다워? 그렇지 않으면 불길해?
21,0,Yukari0a,항상 사접은 어둡고 조용하게 춤춘다…
21,1,Yukari0a,항상 사접은 어둡고 조용하게 춤춘다…
22,0,Yukari0a,나의 사접은、죄만 짊어지면 된다
22,1,Yukari0a,춤추세요
23,0,Yukari0a,None
24,0,Yukari0a,그것은 끝내 시작…
25,0,Yukari0a,이것이 가장 잔혹한 경계
26,0,Yukari0a,당신은 이 경계를 \n 더듬을 수가 있을까
26,1,Yukari0a,탄막을 탄막으로서 형성한다
26,2,Yukari0a,극한의 탄막의 경계선…
26,3,Yukari0a,즉、오의─
26,4,Yukari0a,『탄막결계』
