ID,LineID,face,dialog
0,0,Yumeko0a,특히 원한은 없지만
1,0,Yumeko0a,나와 싸워 받아요
2,0,Yumeko0a,물러나 받을 수 있을까
3,0,Yumeko0a,힘을 측정하게 해 받아요
4,0,Yumeko0a,당신、불운하구나
5,0,Yumeko0a,이것이 달콤함의 결과야
6,0,Yumeko0a,아직 그런 곳에 있다니
7,0,Yumeko0a,방해 한다면、용서하지 않아요
8,0,Yumeko0a,여기서 잡아 둡시다
9,0,Yumeko0a,너무 조심성없었군요
10,0,Yumeko0a,방치는 할 수 없는 상대네
11,0,Yumeko0a,전방을 막는다면…!
12,0,Yumeko0a,믿을 수 없을 정도 틈투성이
13,0,Yumeko0a,신키님의 메이드의 힘을 나타내요
14,0,Yumeko0a,솜씨 좋게 끝마칩시다
15,0,Yumeko0a,서로 찔러 죽고서라도!
16,0,Yumeko0a,단념할 수는 없어요!
17,0,Yumeko0a,아직 검은 접히지 않았다!
18,0,Yumeko0a,후가 없으면、그만한 손을…
19,0,Yumeko0a,보였어요…
19,1,Yumeko0a,거기!
20,0,Yumeko0a,물정에 밝지 않구나…
20,1,Yumeko0a,맞혀요!
21,0,Yumeko0a,목적은…
21,1,Yumeko0a,목적은… 제외하지 않는다!
22,0,Yumeko0a,가요…
22,1,Yumeko0a,핫!
23,0,Yumeko0a,나쁘지 않은 위치군요…
23,1,Yumeko0a,나쁘지 않은 위치군요… 그것!
24,0,Yumeko0a,칼날이라면 아직도 있어요…
24,1,Yumeko0a,그것 그것!
25,0,Yumeko0a,풀 코스와는 가지 않지만…
25,1,Yumeko0a,풀 코스와는 가지 않지만…\n 마음에 드셔 받을 수 있을까!
26,0,Yumeko0a,메이드의 옷은…
26,1,Yumeko0a,메이드의 옷은… 비밀로 가득 차 있다!
27,0,Yumeko0a,사양하지 않고…
27,1,Yumeko0a,사양하지 않고… 모두 받아
28,0,Yumeko0a,이 거리…
28,1,Yumeko0a,이 거리… 취했다!
29,0,Yumeko0a,단번에 채운다…
29,1,Yumeko0a,단번에 채우는… 거기!
30,0,Yumeko0a,단념할 수 있을 리가 없다…
30,1,Yumeko0a,그것 그것!
31,0,Yumeko0a,너무 늦다!
31,1,Yumeko0a,관철한다!
32,0,Yumeko0a,이것으로 죽여요
32,1,Yumeko0a,파악했다!
32,2,Yumeko0a,이제 일격!
33,0,Yumeko0a,연격을 걸어요!
33,1,Yumeko0a,깨달으세요!
33,2,Yumeko0a,이제 일격!
34,0,Yumeko0a,정리를 해요
34,1,Yumeko0a,틈 있어!
34,2,Yumeko0a,아직!
35,0,Yumeko0a,나의 검의 딱딱함…
35,1,Yumeko0a,깨달으세요!
35,2,Yumeko0a,이제 일격!
36,0,Yumeko0a,책임을 다해 보인다!
36,1,Yumeko0a,베어 새겨요!
36,2,Yumeko0a,베어 새겨요!
36,3,Yumeko0a,무너진 원이군요、그렇다면…
36,4,Yumeko0a,무너진 원이군요、그렇다면…
36,5,Yumeko0a,결정타야!
36,6,Yumeko0a,신키님에게는 접근하게 하지 않는다!
37,0,Yumeko0a,나의 싸워、보여 주어요
37,1,Yumeko0a,나의 싸워、보여 주어요
