ID,LineID,face,dialog
0,0,Yuyuko0a,여기를 통한차、\n 나를 넘어뜨려 가세요
1,0,Yuyuko0a,지금、편안히 하고 있으면 \n 다음에 귀찮게 될 것 같구나
2,0,Yuyuko0a,어딘지 모르게、\n 당신이 눈에 띈 것이니까
3,0,Yuyuko0a,좋은 곳에 있었군요
4,0,Yuyuko0a,자、시작할까요
5,0,Yuyuko0a,죽음을 두려워하지 않음이니까…\n 소망 대로로 해 주어요
6,0,Yuyuko0a,겨드랑이가 텅 비어 있어요
7,0,Yuyuko0a,조금 전 공격해 온 것이지요
8,0,Yuyuko0a,여기서 숨통을 끊어 버립시다
9,0,Yuyuko0a,이대로 돌아갈 수 있다고 생각할까
10,0,Yuyuko0a,모처럼이니까、\n 즐겨 가세요
11,0,Yuyuko0a,빈둥거리고 있으면、\n 아픈 꼴을 당해요
12,0,Yuyuko0a,할 수 있을 뿐(만큼) 유행하지 않으면~
13,0,Yuyuko0a,슬슬、생명의 보증은 할 수 없어요?
14,0,Yuyuko0a,이제 충분하구나、\n 뒤는 편하게 왕생 해 줘
15,0,Yuyuko0a,더 이상、불필요한 일은 시키지 않아요
16,0,Yuyuko0a,이 승부、어떻게 구를까…
17,0,Yuyuko1a,이런 것은 어떨까
18,0,Yuyuko1a,자、깨끗하고…
19,0,Yuyuko1a,바닥 시세、가세요
20,0,Yuyuko1a,이것이 당신을 부른다…
21,0,Yuyuko1a,아、제행 무상… 은
22,0,Yuyuko1a,그것와
23,0,Yuyuko1a,보이고 있어요
24,0,Yuyuko1a,거기를、사람 찌르기
25,0,Yuyuko0a,저 세상에 어서 오십시오~
25,1,Yuyuko1a,환영해요
26,0,Yuyuko0a,유령들도 살고 하고 있어요
26,1,Yuyuko1a,달리세요
27,0,Yuyuko0a,유령들은 현기증해…
27,1,Yuyuko1a,바닥 시세
28,0,Yuyuko0a,그런 곳에 있으면、\n 사로잡혀 버려요
28,1,Yuyuko1a,불길하구나~
29,0,Yuyuko0a,자、유령들…
29,1,Yuyuko1a,그쪽이야~
30,0,Yuyuko0a,춤추려면 마음이 좋은 넓이
30,1,Yuyuko1a,빙글빙글~와
31,0,Yuyuko0a,어머나、꼭 좋은 넓이
31,1,Yuyuko1a,그것 그것~
32,0,Yuyuko0a,나의 무용을 보입시다
32,1,Yuyuko1a,이름 붙여 낮잠의 무용~
33,0,Yuyuko0a,재미있는 것을 보여 주어요
33,1,Yuyuko1a,꿈으로 본 경치인 것 같겠지요?
34,0,Yuyuko0a,이것이 명계의 풍물이야
34,1,Yuyuko0a,꽃을 목표로 하지 않고 춤추는 사접…
34,2,Yuyuko0a,바람도 없는 우츠호에게 떠오르는 달…
34,3,Yuyuko0a,통달한 차이
34,4,Yuyuko0a,좋은 밤이군요
35,0,Yuyuko0a,소중히 간직함을 보여 준다
35,1,Yuyuko0a,밝게 빛나는 사접에 매료되어졌다면…
35,2,Yuyuko0a,밝게 빛나는 사접에 매료되어졌다면…
35,3,Yuyuko0a,피할 수 없어요
35,4,Yuyuko0a,좋은 밤이군요
36,0,Yuyuko0a,죽음으로부터는 피할 수 없어요
36,1,Yuyuko0a,명계의 경치가 당신을 부르고 있다
36,2,Yuyuko0a,어차피 도망가지 않으면…
36,3,Yuyuko0a,즐깁시다
36,4,Yuyuko0a,좋은 밤이군요
37,0,Yuyuko0a,빈둥거리는 것도 중요해요
38,0,Yuyuko0a,기가 올 때까지 기다립시다
39,0,Yuyuko0a,어머나、사라져 버렸어요
40,0,Yuyuko0a,좀 더 가까이 계(오)세요
41,0,Yuyuko0a,원한은 풀어요~
42,0,Yuyuko0a,이 장소는 내가 맡읍시다
43,0,Yuyuko0a,오래 기다리셨어요~
44,0,Yuyuko0a,끌어들여져 버린 것 같구나
45,0,Yuyuko0a,기분이 내켰기 때문에、원호 해 준다
46,0,Yuyuko0a,여기는 나에게 맡겨도 좋아요
47,0,Yuyuko0a,제대로 돌아다니지 않으면 안 돼요
48,0,Yuyuko0a,나를 넘어뜨리고 나서 가세요
49,0,Yuyuko0a,괜찮아、걱정하는 일은 없어요
50,0,Yuyuko1a,나쁘지 않은 선택이라고 생각해요
51,0,Yuyuko1a,원망해나~
52,0,Yuyuko1a,저쪽을 노리면 좋은거네
53,0,Yuyuko1a,단순한 배후영혼이 아니에요
54,0,Yuyuko1a,뒤는 부탁이군요
55,0,Yuyuko1a,그러면 아、손을 빌려 주어요~
56,0,Yuyuko1a,이슬을 지불할까요
57,0,Yuyuko1a,둘이서 권해 줍시다
58,0,Yuyuko1a,매우 좋은 기회라고 생각해요
59,0,Yuyuko1a,지금이라면、마음껏 할 수 있을 것 같구나
60,0,Yuyuko0a,… 마치、\n 여기가 보여 받고 있던듯 하네
61,0,Yuyuko0a,첸짱、뒤는 나에게 맡겨 둬
