ID,LineID,face,dialog
0,0,Yuyuko0a,당신들의 가지는 봄、\n 건네주어 받을까
1,0,Yuyuko0a,자、시작할까요
2,0,Yuyuko0a,환상향의 봄은、\n 내가 받아요
3,0,Yuyuko0a,모처럼이니까、\n 즐겨 가세요
4,0,Yuyuko0a,……
5,0,Yuyuko0a,자、이제 곧이예요
6,0,Yuyuko0a,이제 단념하는거네
7,0,Yuyuko0a,보이고 있어요
8,0,Yuyuko0a,그것와
9,0,Yuyuko0a,바닥 시세
10,0,Yuyuko0a,유령들은 현기증해…
10,1,Yuyuko0a,바닥 시세
11,0,Yuyuko0a,이제 개화는 시작되어 있다…
11,1,Yuyuko0a,단념하세요
12,0,Yuyuko0a,방황하는 영혼들이야…
12,1,Yuyuko0a,여기야
13,0,Yuyuko0a,리를 나타내는 나비…
13,1,Yuyuko0a,어느 쪽으로 날까
14,0,Yuyuko0a,죽음을 무서워해도、\n 도망치는 것은 쓸데없는 일이야
14,1,Yuyuko0a,사접으로부터는、결코 피할 수 없다
15,0,Yuyuko0a,살아있는 온갖 사람은、\n 반드시 죽지 않으면 안 된다
15,1,Yuyuko0a,이리하여 항에 죽음은 흘러넘친다
16,0,Yuyuko0a,말한 것이지요、피할 수 없으면
17,0,Yuyuko0a,화려하게 나세요
18,0,Yuyuko0a,춤추세요
19,0,Yuyuko0a,후지미의 아가씨는、\n 사이교우아야카시 아래에서 자고 있다…
19,1,Yuyuko0a,그녀가 무엇을 생각해…
19,2,Yuyuko0a,그녀가 무엇을 생각해、무엇을 바라…
19,3,Yuyuko0a,그녀가 무엇을 생각해、무엇을 바라…\n 스스로 생명을 끊었는가―
19,4,Yuyuko0a,사이교우아야카시가 만개가 되면
19,5,Yuyuko0a,(들)물을 수가 있는거야
19,6,Yuyuko0a,아、기다려지구나―
20,0,Yuyuko0a,후지미의 아가씨는、\n 벚꽃아래에서 잠에 들었다…
20,1,Yuyuko0a,무엇을 생각해
20,2,Yuyuko0a,무엇을 바라
20,3,Yuyuko0a,스스로 생명을 끊었는가―
20,4,Yuyuko0a,사이교우아야카시가 만개가 되면
20,5,Yuyuko0a,(들)물을 수가 있어요
20,6,Yuyuko0a,좀 더―
21,0,Yuyuko0a,후지미의 아가씨는、\n 벚꽃아래에서 잠에 들었다…
21,1,Yuyuko0a,무엇을 생각해
21,2,Yuyuko0a,무엇을 바라
21,3,Yuyuko0a,스스로 생명을 끊었는가―
21,4,Yuyuko0a,사이교우아야카시가 만개가 되면
21,5,Yuyuko0a,(들)물을 수가 있어요
21,6,Yuyuko0a,… 이 사람은―
22,0,Yuyuko0a,초조해 해서는 안 돼요
23,0,Yuyuko0a,좀 더 가까이 계(오)세요
24,0,Yuyuko0a,아무것도 무서워하는 일은 없어요
25,0,Yuyuko0a,아직도 계속되어요
26,0,Yuyuko0a,나를 넘어뜨리고 나서 가세요
27,0,Yuyuko0a,그 공격도 또、\n 사이교우아야카시에게 봄을 건네주는거야
28,0,Yuyuko0a,천천히 벚꽃을 볼 여유를 갖고 싶어요
29,0,Yuyuko0a,……
30,0,Yuyuko0a,너무 저돌적이어요
31,0,Yuyuko0a,후가 있기 때문에、\n 지치지 않을 정도로 해
