BulID,BulEF,Text,Name,Type,Val1,Val2,Val3
,NONE,,,0,|,|,
HIT-_SAKUYA,HIT-,[아군] 명중률 -<VAL1>%,명중률 -<VAL1>%,0,|20|30|40|50|,|,
HIDE_SUNNY,HIDE,[적군] 공격 대상이 되지 않는다,은신,1,|,|,
HIT+_LUNA,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|10|15|20|25|,|,
PRY+_STAR,PRY+,[적군] 회피율 +<VAL1>%,회피율 +<VAL1>%,1,|8|12|16|20|,|,
NO_PATTACK,NO_PATTACK,[아군] 이동후공격불능,이동후공격불능,0,|||||,|,
NO_COMMAND,NO_COMMAND,[아군] 일부 커맨드 이외 사용불능,행동불능,0,|||||,|,
NO_MOVE,NO_MOVE,[아군] 이동불능,이동불능,0,|,|,
PROB+_SHIELD,PROB+_SHIELD,[적군] 실드방어의 발동확률 +<VAL1>%,발동상승(실드방어),1,|10|15|25|30|,|,
DEF+_FURIN,DEF+,[적군] 받는 데미지 -<VAL1>%,받는 데미지 -<VAL1>%,1,|15|20|25|30|,|,
MP-_KOA,MP-,[아군] 매 턴 MP -<VAL1>,MP감소,0,|3|5|7|10|,|,
DAM+_GRAZE_BLAZE,DAM+_GRAZE,[아군] 그레이즈시 최종 받는 데미지 +<VAL1>%,받는 데미지 +<VAL1>%(그레이즈),0,|15|20|25|30|,|,
PRY-_DEF-_DOLL,PRY-_DEF-,[적군] 회피율 -<VAL1>% 받는 데미지 +<VAL2>%,회피율 -<VAL1>% 받는 데미지 +<VAL2>%,1,|10|15|20|25|,|10|15|20|25|,
WORLD,COUNTER+,[사쿠야] 반드시 카운터가 발동,카운터발동,2,|100|,|Sakuya_en|,
ALLGRAZE,ALLGRAZE,[아군] 상시 그레이즈가 발생,올 그레이즈,0,|,|,
HIT+_SAKUYA,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|10|20|25|30|,|,
PRY-_REMILIA,PRY-,[아군] 회피율 -<VAL1>%,회피율 -<VAL1>%,0,|10|15|20|25|,|,
PARAM+_ALL_REMILIA,PARAM+_ALL,[레밀리아] 모든 스테이터스 +<VAL1>,모든 스테이터스 +<VAL1>,2,|5|10|15|20|,|Remilia_en|,
MOV-_FLARE,MOV-,[아군] 이동력 -<VAL1>,이동력 -<VAL1>,0,|1|1|1|1|,|,
FDAM+_FLAN1,FDAM+,[적군] 최종 주는 데미지 +<VAL1>,최종 주는 데미지 +<VAL1>,1,|750|1000|1250|1500|,|,
FOK,FOK,[플랑] 분신의 수에 따라 명중률이 상승,명중률 +(분신),2,|3|5|10|15|,|Flan_en|,
SOKO_QED,SOKO,[플랑] HP가 줄어들수록 방어력과 명중률이 상승,내구상승,2,|1|2|3|5|,|Flan_en|Flan_en|Flan_en|Flan_en|,
POW-_GOTHIT_POTATO,POW-_GOTHIT,[아군] 피탄시 파워 -<VAL1>,파워 -<VAL1>(피탄),0,|3|5|7|9|,|,
CRT+_PFLOW,CRT+,[아군] 피탄당한 공격이 반드시 크리티컬이 된다,피탄시 크리티컬,0,|100|100|100|100|,|,
CRT+_PFLOW2,ARMOR-,[아군] 장갑 -<VAL1>,장갑 -<VAL1>,0,|150|200|250|350|,|,
LAND_WATER_PORORO,LAND_WATER,[양측] 유닛이 있는 지형을 「<VAL1>」로 한다,지형효과(물),3,|물|,|,
GUARD_BREAK_BITE,GUARD_BREAK,[아군] 「방어」와 각종 배리어 무효,방어 배리어 등 무효,0,|,|,
PRY+_AYA,PRY+,[적군] 회피율 +<VAL1>%,회피율 +<VAL1>%,1,|8|10|12|15|,|,
PRY-_OROSHI,PRY-,[아군] 회피율 -<VAL1>%,회피율 -<VAL1>%,0,|15|20|25|30|,|,
FUBI,FUBI,[아야] 운동성 +<VAL1>,운동성 +<VAL1>,2,|30|40|50|60|,|Aya_en|,
WARERU,FORCE_COMPAT_WEP,[아군] 공격시 무기의 지형적응이 「<VAL1>」로 계산된다.,적응변경(물),0,|물|,|Water|,
ADD_SPIRIT_SANAE,ADD_SPIRIT,[사나에] 턴 개시시에「집중」이 걸린다.,정신발동(집중),2,|SHUCHU|,|Sanae_en|,
HIT+_SANAE,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|10|20|25|30|,|,
RANGE-_KAZE,RANGE-,[아군] 사정 -<VAL1>,사정 -<VAL1>,0,|1|1|1|2|,|,
CURE_SP_KAZE,CURE_SP,[사나에] 턴 개시시에 「기적」이 걸린다,정신발동(기적),2,|KISEKI|,|Sanae_en|Sanae_en|Sanae_en|Sanae_en|,
DAM+_KANAKO,DAM+,[아군] 받는 데미지 +<VAL1>%,받는 데미지 +<VAL1>%,0,|10|10|14|18|,|,
DAM+_EXOMB,DAM+,[아군] 받는 데미지 +<VAL1>%,받는 데미지 +<VAL1>%,0,|10|20|25|30|,|,
COMPAT-_KANAKO,COMPAT-,[아군] 유닛의 지형적응「공중」이 <VAL2>가 된다,적응저하(공중),0,|0|0|0|0|,|B|C|C|D|,
SOKO_MOF,SOKO,[카나코] HP가 줄어들수록 방어력과 명중률이 상승,내구상승,2,|1|2|3|5|,|Kanako_en|Kanako_en|Kanako_en|Kanako_en|,
PRY-_MOF,PRY-,[아군] 회피율 -<VAL1>%,회피율 -<VAL1>%,0,|10|15|20|25|,||,
PRY-_SUWAKO,PRY-,[아군] 회피율 -<VAL1>%,회피율 -<VAL1>%,0,|8|10|12|15|,||,
COMPAT-_SUWAKO,COMPAT-,[아군] 유닛의 지형적응「물」이 <VAL2>이 된다,적응저하(물),0,|2|2|2|2|,|B|C|C|D|,
MISHAGUJISAMA,MPSP-_RATE,[아군] 턴 개시시에 SP와 MP -<VAL1>%,SP MP감소,0,|15|20|25|30|,||,
HIT+_SUIKA,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|10|15|20|25|,||,
SIZE+_MPOWER,SIZE+,[스이카] 사이즈가 <VAL1>이 된다,사이즈 변경(<VAL1>),2,|LL|LL|LL|3L|,|Suika_en|,
HIT-_NAZRIN,HIT-,[아군] 명중률 -<VAL1>%,명중률 -<VAL1>%,0,|15|25|30|35|,||,
MOTION-_LETTY,MOTION-,[아군] 운동성 -<VAL1>,운동성 -<VAL1>,0,|30|40|50|60|,|2|2|2|2|,
ATP+_YOUMU,DAM+_ATP,[적군] 격투공격으로 주는 데미지 +<VAL1>%,주는 데미지 +<VAL1>%(격투),1,|15|20|25|30|,|,
POW-_LUNASA,POW-,[아군] 턴 개시시 파워 -<VAL1>,파워 -<VAL1>(턴),0,|3|4|5|6|,|,
DEF+_KISUME,DEF+,[적군] 받는 데미지 -<VAL1>%,받는 데미지 -<VAL1>%,1,|15|20|25|30|,|,
PARAM-_ALL_YAMAME,PARAM-_ALL,[아군] 모든 스테이터스 -<VAL1>,모든 스테이터스 -<VAL1>,0,|20|25|30|40|,|,
BUNSHIN_CHEN,BUNSHIN,[첸] <VAL1>%의 확률로 「분신」이 발동한다,분신발동,2,|40|50|60|70|,|Chen_en|,
BUNSHIN_CHEN2,PRY+,[첸] 회피율 +<VAL1>%,회피율 +<VAL1>%,2,|40|50|60|70|,|Chen_en|,
POW+_MERLIN,POW+,[적군] 턴 개시시 파워 +<VAL1>,파워 +<VAL1>(턴),1,|3|4|5|6|,|,
HIT+_LYRICA,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|10|15|20|25|,|,
WEPPOW+_LUNASA,WEPPOW+,[아군] 무기의 필요파워 +<VAL1>,무기의 필요파워 +<VAL1>,0,|5|10|15|20|,|,
MAXPOW+_MERLIN,MAXPOW+,[적군] 파워의 최대치 +<VAL1>,파워최대치 +<VAL1>,1,|10|25|35|50|,|,
CONSUME+_BUL_LYRICA,CONSUME+_BUL,[아군] 탄수의 소비가 2배가 된다,탄수소비2배,0,|,|,
ELEMENT,ELEMENT,[세자매] 각 스테이터스가 세명중 가장 높은 유닛의 수치가 된다,싱크로나이즈,2,|,|Prism_en|,
ELEMENT_PRISM,PARAM+_ALL,[세자매] 모든 스테이터스 +<VAL1>,싱크로나이즈,2,|10|15|25|35|,|Prism_en|,
PARAM+_ALL_RAN,PARAM+_ALL,[란] 모든 스테이터스 +<VAL1>,모든 스테이터스 +<VAL1>,2,|20|30|35|40|,|Ran_en|,
PRY-_RAN,PRY-,[아군] 회피율 -<VAL1>%,회피율 -<VAL1>%,0,|15|25|30|35|,|,
ARMOR-_GOSUI,ARMOR-,[아군] 장갑 -<VAL1>,장갑 -<VAL1>,0,|250|350|400|450|,|3|3|3|3|,
UNIT-_GOSUI,ARMOR-,[아군] 장갑 -<VAL1>,장갑 -<VAL1>,0,|250|350|400|450|,|3|3|3|3|,
NOSUPPORT_ICHINEN,NOSUPPORT,[아군] 원호불능,원호불능,0,|,|,
FPRY-_YUYUKO,FPRY-,[아군] 최종회피율 -<VAL1>%,최종회피율 -<VAL1>%,0,|10|15|20|25|,|,
MOV-_YUYUKO,MOV-,[아군] 이동력 -<VAL1>,이동력 -<VAL1>,0,|2|2|2|2|,|,
CURE_HALF,CURE_HALF,[아군] 모든 HP회복효과 반감,회복반감,0,|50|50|50|50|,|,
CURE-,CURE-,[아군] 모든 HP회복효과 -<VAL1>%,회복효과 -<VAL1>%,0,|60|70|80|85|,|,
NOCURE,NOCURE,[아군] 모든 HP회복효과 무효,회복무효,0,|,|,
CURE_INVERT,CURE_INVERT,[아군] 모든 HP회복효과 반전,회복반전,0,|,|,
HIT+_YUKARI,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|15|20|25|30|,|,
COST+_SP_YUKARI,COST+_SP,[아군] 소비SP +<VAL1>,소비SP +<VAL1>,0,|5|5|5|5|,|,
YUME,YUME,[유카리] 탄막 안에 있는 모든 유닛의 정신커맨드를 사용가능(최대 <VAL1> 회),정신커맨드사용,2,|3|5|7|10|,|Yukari_en|,
FDAM+_GRAZE_YUKARI,FDAM+_GRAZE,[아군] 그레이즈시 최종 받는 데미지 +<VAL1>,받는 데미지 +<VAL1>(그레이즈),0,|300|500|600|700|,|,
PRY-_YOKAI,PRY-_RACE,[양측] 종족「인간」이외 회피율 -<VAL1>%,회피율 -<VAL1>%(요괴),3,|15|25|30|35|,|0|0|0|0|,
PRY-_NINGEN,PRY-_RACE,[양측] 종족「인간」만 회피율 -<VAL1>%,회피율 -<VAL1>%(인간),3,|15|25|30|35|,|1|1|1|1|,
KANMU,KANMU,[유카리] 인접한 유닛 이외로부터의 공격을 무효화,간접공격무효,2,|,|Yukari_en|,
KANMU2,KANMU2,[아군] 인접하지 않으면 유카리에게 데미지를 줄수없다,간접공격무효,0,|,|,
RANGE-_BOMB_YUKARI,RANGE-_BOMB,[아군] 영격사정 -<VAL1>,영격사정 -<VAL1>,0,|1|1|2|2|,|,
MOV-_YUKARI,MOV-,[아군] 이동력 -<VAL1>,이동력 -<VAL1>,0,|1|1|1|1|,||,
SOKO_YUKARI,SOKO,[유카리] HP가 줄어들수록 방어력과 명중률이 상승한다,내구상승,2,|5|6|7|8|,|Yukari_en|Yukari_en|Yukari_en|Yukari_en|,
KEKKAI,KEKKAI,[아군] 탄막 안에 있으면 유카리의 행동횟수가 늘고 적턴에 반드시 공격대상이 된다,전방위공격,0,|,|,
HIT+_LUNA2,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|20|30|35|40|,|,
PRY+_STAR2,PRY+,[적군] 회피율 +<VAL1>%,회피율 +<VAL1>%,1,|15|20|25|30|,|,
HIT-_RUMIA,HIT-,[아군] 명중률 -<VAL1>%,명중률 -<VAL1>%,0,|15|20|25|30|,|,
HIT-_MYSTIA,HIT-,[아군] 명중률 -<VAL1>%,명중률 -<VAL1>%,0,|15|20|25|30|,|,
NOHIT_MYSTIA,NOHIT,[아군] 공격이 명중하지 않는다(효과는 「필중」보다 우선),명중불능,0,|,|,
PRY+_WRIGGLE,PRY+,[적군] 회피율 +<VAL1>%,회피율 +<VAL1>%,1,|10|15|20|25|,|,
WRIGGLE,WRIGGLE,[적군] 벌레가 원호공격과 원호방어에 들어간다,원호발동(벌레),1,|,|,
MOV-_UFO,MOV-,[아군] 이동력 -<VAL1>,이동력 -<VAL1>,0,|1|1|1|2|,|,
HP+_NUE,HP+,[적군] ???,???,1,|15|20|25|30|,|,
SGUARD_TEWI,FORCE_SGUARD,[적군] 테위의 원호방어에 들어간다(원호횟수는 소비하지 않음),강제원호방어,1,|15|20|25|30|,|,
DUPER_A,DUPER_A,[아군] 적턴 개시시 파워가 <VAL1>내려갈…지도모른다,파워저하?,0,|40|50|60|70|,|,
DUPER_B,DUPER_B,[아군] 적턴 개시시 파워が<VAL1>내려가…버리기도 하고,파워저하?!,0,|40|50|60|70|,|,
SGUARD_TEWI,FORCE_SGUARD,[적군] 테위의 원호방어에 들어간다(원호횟수는 소비하지 않음),강제원호방어,1,|15|20|25|30|,|,
DEF+_USAGI,DEF+,[적군] 받는 데미지 -<VAL1>%,받는 데미지 -<VAL1>%,1,|15|20|25|30|,|,
NO_HICCHU,NO_HICCHU,[적군] 「필중」무효,정신무효(필중),1,|HICCHU|,|,
NO_KIAI,NO_KIAI,[아군] 스킬「기합회피」를 무효,기합회피무효,0,|,|,
