ID,Title,BGM,Min,Max,Route,開放済みID,採用
REIMU01,레이무 1,battle_Reimu,-1,-1,Reimu,YOKOKU_01Reimu,1
MARISA01,魔理沙 1,battle_Marisa,-1,-1,Marisa,YOKOKU_01Marisa,1
DAICHIRU01,大チル 1,battle_Cirno,7,-1,,YOKOKU_07Common,1
KOAKUMA01,小悪魔 1,battle_Koakuma,12,-1,,YOKOKU_12Common,1
KOAKUMA02,小悪魔 2,battle_Koakuma,23,-1,,YOKOKU_22Common,0
KOAKUMA03,小悪魔 3,battle_Koakuma,23,-1,,KOAKUMA02,1
PATCHOULI01,パチュリー 1,battle_Patchouli,10,21,,YOKOKU_10Common,1
PATCHOULI02,パチュリー 2,battle_Patchouli,23,-1,,YOKOKU_22Common,1
SAKUYA01,咲夜 1,battle_Sakuya2,3,15,,YOKOKU_03Common,1
SAKUYA03,咲夜 2,battle_Sakuya,19,-1,,YOKOKU_19Common,1
REMILIA01,レミリア 1,talk_unknown,3,6,,YOKOKU_03Common,1
REMILIA02,レミリア 2,talk_unknown,3,6,,YOKOKU_03Common,1
FLAN01,フラン 1,battle_Flan,15,43,,YOKOKU_15Common,1
REMIFLA01,レミフラ 1,battle_Flan3,45,-1,,YOKOKU_45Common,0
ALICE02,アリス 1,battle_Alice,3,-1,,YOKOKU_03Common,1
LUNASA01,ルナサ 1,battle_Lunasa,30,-1,,YOKOKU_30Common,1
MERLIN01,メルラン 1,battle_Merlin,30,-1,,YOKOKU_30Common,1
LYRICA01,リリカ 1,battle_Lyrica,30,-1,,YOKOKU_30Common,1
PRISM01,プリバ 1,battle_Prism,30,-1,,YOKOKU_30Common,1
YOUMU01,妖夢 1,battle_Youmu,7,-1,,YOKOKU_06Common,1
SUIKA01,萃香 1,battle_Suika,25,-1,,YOKOKU_24Common,1
WRIGGLE01,リグル 1,battle_Wriggle,41,-1,,YOKOKU_41Common,1
MYSTIA01,ミスティア 1,battle_Mystia,41,-1,,YOKOKU_41Common,1
KEINE,慧音 1,battle_Keine,3,-1,,YOKOKU_03Common,1
UDONGE01,鈴仙 1,battle_Udonge,36,43,,YOKOKU_36Common,1
EIRIN01,永琳 1,battle_Eirin,46,-1,,YOKOKU_46Common,1
EIRIN03,永琳 2,battle_Eirin,46,-1,,EIRIN02,1
KAGUYA01,輝夜 1,battle_Kaguya,44,-1,,YOKOKU_43Common,1
MOKOU01,妹紅 1,battle_Mokou,19,40,,YOKOKU_19Common,1
KOMACHI01,小町 1,battle_Komachi,20,-1,,YOKOKU_19Common,0
KOMACHI02,小町 1,battle_Komachi,20,-1,,YOKOKU_19Common,1
EIKI01,映姫 1,battle_Eiki,62,-1,,YOKOKU_62Common,1
MINORIKO01,穣子 1,battle_Minoriko,17,-1,,YOKOKU_17Common,1
SHIZUHA01,静葉 1,battle_Shizuha,17,-1,,YOKOKU_17Common,1
HINA01,にとひな 1,battle_Nitori,24,34,,YOKOKU_24Common,1
AYA01,文 1,battle_Aya,7,-1,,YOKOKU_07Common,1
AYA02,文 2,battle_Aya,16,-1,,YOKOKU_16Common,1
CHUDAN04_ALL,早苗 1,battle_Sanae3,7,22,,YOKOKU_07Common,1
KANAKO01,神奈子 1,battle_Kanako,41,-1,,YOKOKU_41Common,1
SUWAKO01,諏訪子 1,battle_Suwako,24,36,,YOKOKU_23Common,1
SUWAKO02,諏訪子 2,battle_Suwako,41,-1,,SUWAKO01,1
IKU01,衣玖 1,battle_Iku,56,-1,,YOKOKU_56Common,1
TENSHI01,天子 1,battle_Tenshi,57,-1,,YOKOKU_57Common,1
IKUTEN01,いくてん 1,battle_Iku,58,-1,,YOKOKU_58Common,1
PARSEE01,パルスィ 1,battle_Parsee,52,-1,,YOKOKU_52Common,1
YUPAL01,勇パル 1,battle_Yugi,52,-1,,YOKOKU_52Common,1
SATORI_MORNING,さとり 1,battle_Satori,65,-1,,YOKOKU_53Common,1
SATORI_NOON,さとり 2,battle_Satori,65,-1,,YOKOKU_53Common,1
SATORI_NIGHT,さとり 3,battle_Satori,65,-1,,YOKOKU_53Common,1
SATORI_MIDNIGHT,さとり④,battle_Satori,65,-1,,YOKOKU_53Common,0
ORIN01,お燐 1,battle_Orin,46,-1,,YOKOKU_46Common,1
UTSUHOB01,うつほ 1,battle_UtsuhoB,46,49,,YOKOKU_46Common,1
ORINKU01,おりんくう 1,battle_Orin,46,-1,,YOKOKU_46Common,1
ORINKU02,おりんくう 2,battle_Orin,61,-1,,ORINKU01,1
KOISHI01,こいし 1,battle_Koishi,65,-1,,YOKOKU_64Common,1
NAZRIN01,ナズーリン 1,battle_Nazrin,30,-1,,YOKOKU_30Common,1
KOGASA01,小傘 1,battle_Kogasa,61,-1,,YOKOKU_61Common,1
ICHIRIN01,一輪 1,battle_Seirensen,35,-1,,YOKOKU_35Common,1
ICHIRIN02,一輪 2,battle_Ichirin,56,-1,,ICHIRIN01,0
UNZAN01,雲山 1,battle_Seirensen,35,-1,,YOKOKU_35Common,1
UNZAN02,雲山 2,battle_Seirensen,36,-1,,UNZAN01,1
MURASA01,村紗 1,battle_Seirensen,35,-1,,YOKOKU_35Common,1
NUE01,ぬえ 1,battle_Nue,46,-1,,YOKOKU_46Common,1
MIMA01,魅魔 1,battle_Mima2,41,-1,,YOKOKU_41Common,1
SANYOSEI01,光の三妖精 1,battle_Faries,31,-1,,YOKOKU_30Common,1
SANYOSEI02,光の三妖精 2,battle_Faries,31,-1,,SANYOSEI01,1
AKYU01,阿求 1,battle_Akyu,36,-1,,YOKOKU_36Common,0
