Type	Key	Value
Product	-2	分類用（作品順）
Product	-1	分類用（五十音順）
Product	0	シリーズ共通
Product	1	東方紅魔郷
Product	2	東方妖々夢
Product	3	東方萃夢想
Product	4	東方永夜抄
Product	5	東方花映塚
Product	6	東方文花帖
Product	7	東方風神録
Product	8	東方緋想天
Product	9	東方地霊殿
Product	10	東方星蓮船
Product	11	東方非想天則
Product	12	ダブルスポイラー
Product	13	書籍作品
Product	14	PC-98作品
Product	15	オリジナル
Product	16	ほか
Product	17	？？？
Item	あ	-1
Item	Alice	2
Item	Akyu	13
Item	Aya	6
Item	Iku	8
Item	Ichirin	10
Item	UtsuhoB	9
Item	Utsuho	9
Item	Unzan	10
Item	Eiki	5
Item	Eirin	4
Item	Elliy	14
Item	Onamazu	11
Item	SheepL	15
Item	Orin	9
Item	OrinC	9
Item	か	-1
Item	Kaguya	4
Item	Kanako	7
Item	Kisume	9
Item	Kurumi	14
Item	Keine	4
Item	KeineH	4
Item	Koakuma	1
Item	Koishi	9
Item	Kogasa	10
Item	Goki	2
Item	Komachi	5
Item	さ	-1
Item	Sakuya	1
Item	Satori	9
Item	Sanae	7
Item	Sunny	13
Item	Shizuha	7
Item	Shanghai	2
Item	Sho	10
Item	Shiro	15
Item	Shinki	14
Item	Suika	3
Item	Star	13
Item	Suwako	7
Item	Seirensen	10
Item	Zenki	2
Item	た	-1
Item	Daiyosei	1
Item	Chen	2
Item	Cirno	1
Item	Tewi	4
Item	Tenshi	8
Item	Toyohime	13
Item	な	-1
Item	Nazrin	10
Item	Nitori	7
Item	Nue	10
Item	は	-1
Item	Hatate	12
Item	Patchouli	1
Item	Parsee	9
Item	Faries	13
Item	Tensoku	11
Item	Hina	7
Item	Byakuren	10
Item	Flan	1
Item	Prism	2
Item	Hourai	2
Item	ま	-1
Item	Makura	15
Item	Marisa	0
Item	MarisaR	0
Item	Mystia	4
Item	Mima	14
Item	Minoriko	7
Item	Murasa	10
Item	Meiling	1
Item	Meko	15
Item	Medicine	5
Item	Merlin	2
Item	Mokou	4
Item	Momiji	7
Item	や	-1
Item	Yamame	9
Item	Yuka	5
Item	Yugi	9
Item	Yukari	2
Item	Yumeko	14
Item	Yuyuko	2
Item	Youmu	2
Item	Yorihime	13
Item	ら	-1
Item	Ran	2
Item	Wriggle	4
Item	LilyB	2
Item	LilyW	2
Item	Lyrica	2
Item	Korin	13
Item	Luna	13
Item	Lunasa	2
Item	Rumia	1
Item	Udonge	4
Item	Reisen	13
Item	Reimu	0
Item	ReimuR	0
Item	Layla	2
Item	Letty	2
Item	Remilia	1
Item	ほか	-1
Item	SheepR	15
Item	Evileye	16
Item	EvileyeR	16
Item	EvileyeZ	16
Item	BakebakeL	16
Item	Onryo	16
Item	OnryoR	16
Item	OnryoL	16
Item	Kappa	13
Item	KappaS	13
Item	KappaC	13
Item	Kaname	8
Item	KTengu	13
Item	KTenguA	13
Item	KKedama	16
Item	GyokutoS2	13
Item	GyokutoS	13
Item	GyokutoT	13
Item	EvileyeK	16
Item	Grimoire	1
Item	KedamaB	16
Item	Sheep	15
Item	Kedama	16
Item	Bat	16
Item	JKarasu	9
Item	SheepW	15
Item	Zombie	9
Item	HumanA	15
Item	HumanB	15
Item	HumanC	15
Item	HTengu	13
Item	HTenguB	13
Item	Bakebake	16
Item	InsectA	16
Item	HYousei	5
Item	HYouseiB	5
Item	InsectB	16
Item	InsectA2	16
Item	InsectC	16
Item	MYousei	10
Item	UFOB	10
Item	UFOR	10
Item	UFOG	10
Item	GhostS	16
Item	GhostL	16
Item	Tile	16
Item	DreamA	15
Item	DreamB	15
Item	Usagi	4
Item	UsagiD	4
Item	Karasu	16
Item	Yousei1	16
Item	Yousei2	16
Item	Maid	1
Item	YouseiL	16
Item	KedamaN	16
Item	LadyA	15
Item	ShiroB	15
Item	シリーズ共通	-2
Item	東方紅魔郷	-2
Item	東方妖々夢	-2
Item	東方萃夢想	-2
Item	東方永夜抄	-2
Item	東方花映塚	-2
Item	東方文花帖	-2
Item	東方風神録	-2
Item	東方緋想天	-2
Item	東方地霊殿	-2
Item	東方星蓮船	-2
Item	東方非想天則	-2
Item	ダブルスポイラー	-2
Item	書籍作品	-2
Item	PC-98作品	-2
Item	オリジナル	-2
Item	ほか	-2
Item	？？？	-2
