ID,Name,PRY,DEF,MOV,HP,MP,TYPE
LAND000,숲,10,15,0.15,0,0,0
LAND001,하쿠레이신사,0,10,0.5,20,10,0
LAND002,둑,10,25,0.8,0,0,0
LAND003,벼랑,-20,30,2,0,0,0
LAND004,인간 마을,0,0,0,0,0,0
LAND005,앨리스의집,15,10,0.5,0,10,0
LAND006,강,0,20,2,0,0,2
LAND007,히에다저택,5,15,1.5,10,10,0
LAND008,향림당,20,15,2,10,15,0
LAND009,얼음섬,15,15,0.5,0,0,0
LAND010,안개의호수(육지),0,0,0,0,0,0
LAND011,안개의호수,10,10,1,0,0,2
LAND012,바위,10,20,1,0,0,0
LAND013,홍마관정문,0,0,100,0,0,3
LAND014,화단,5,5,0,0,5,0
LAND015,서가,0,0,1500,0,0,3
LAND016,융단,5,5,0,0,0,0
LAND017,계단,-5,10,0,0,0,0
LAND018,홍마관,0,0,0,0,0,0
LAND019,벽,0,0,1500,0,0,3
LAND020,문,0,0,1500,0,0,3
LAND021,시계탑,0,0,1000,0,0,1
LAND022,홍마관옥상,0,0,1000,0,0,1
LAND023,밤하늘,0,0,1000,0,0,1
LAND024,하늘,0,0,1000,0,0,1
LAND025,휴계소,10,10,3,10,5,0
LAND026,파티회장,-5,0,1.5,15,0,0
LAND027,붕어빵 마룡,0,0,0,0,20,0
LAND028,분수,10,10,1,0,0,0
LAND029,돌기둥,5,20,1.5,0,0,0
LAND030,늪,10,20,1.2,0,0,2
LAND031,수해,10,20,0.5,0,0,0
LAND032,사당,15,15,1.5,10,15,0
LAND033,고구마밭,10,10,0.6,5,5,0
LAND034,미혹의죽림,15,15,0.1,0,0,0
LAND035,모코우의집,10,10,0.8,5,5,0
LAND036,강,10,20,1,0,0,2
LAND037,수해,10,20,0.35,0,0,0
LAND038,수해(늪),10,20,0.8,0,0,2
LAND039,폭포,-5,20,1,0,0,2
LAND040,모리야신사,0,20,1,10,20,0
LAND041,사무소,0,15,1,10,0,0
LAND042,삼나무,5,20,1,0,0,0
LAND043,창고,0,20,1,0,10,0
LAND044,스와 호수,10,10,1,0,0,2
LAND045,술통,0,0,3,0,20,0
LAND046,바위,0,10,0.15,0,0,0
LAND047,지저,0,0,1000,0,0,1
LAND048,동굴,0,0,1500,0,0,3
LAND049,폐옥,5,5,0.25,5,0,0
LAND050,유명결계,0,0,1000,0,0,1
LAND051,벚꽃,10,10,0.2,0,0,0
LAND052,사이교우아야카시,0,0,1000,0,0,1
LAND053,포장마차,0,10,1,0,10,0
LAND054,논밭,5,5,0.2,0,0,0
LAND055,영원정,0,0,1500,0,0,3
LAND056,이공간,0,0,1000,0,0,1
LAND057,발사대,0,15,0.5,10,10,0
LAND058,도원,10,10,0.2,0,0,0
LAND059,고요의 바다,10,20,0.5,0,0,2
LAND060,우주공간,0,0,1000,0,0,1
LAND061,암초영역,25,25,1004,0,0,1
LAND062,중성자 포,0,0,1500,0,0,3
LAND063,인공위성,0,0,1000,0,0,1
LAND064,마그마,0,0,1000,0,0,1
LAND065,지령전,0,0,1500,0,0,3
LAND066,용암,10,10,0.1,0,0,0
LAND067,불탄 지상,10,10,0.1,0,0,0
LAND068,관람석,0,15,0.5,0,0,0
LAND069,격납고,0,20,1,0,0,0
LAND070,연못,0,20,2,0,0,2
LAND071,민가,0,10,1,10,10,0
LAND072,깃발,0,0,0,0,0,0
LAND073,데미즈야,0,0,0,0,0,0
LAND074,노점,0,0,0,0,0,0
LAND075,특설회장,0,0,0,0,0,0
LAND076,은방울꽃 밭,15,5,0,0,5,0
LAND077,나무,20,25,1,0,0,0
LAND078,붕어빵집,0,0,1500,0,0,3
LAND079,선술집,0,0,1500,0,0,3
LAND080,만물상,0,0,1500,0,0,3
LAND081,토리이,0,0,1500,0,0,3
LAND082,상점,0,0,1500,0,0,3
LAND083,동굴,30,5,0,0,0,0
LAND084,현무의늪,0,10,0,0,0,0
LAND085,암벽,0,0,100,0,0,0
LAND086,마계,10,15,0.2,0,0,0
LAND087,마계(하늘),0,0,1000,0,0,1
LAND088,법계,0,0,1000,0,0,1
LAND089,몽환관,0,0,0,0,0,0
LAND090,수로,0,20,2,0,0,2
LAND091,???,0,0,0,0,0,0
LAND092,침대,20,20,2,20,20,0
LAND093,과학의 무덤,10,10,0,0,0,0
LAND094,메르헨 세계(높은곳),0,0,1000,0,0,1
LAND095,과자,10,10,0.5,10,10,0
LAND096,악몽의 안개,0,0,1000,0,0,1
LAND097,황야,10,10,0,0,0,0
LAND098,꽃,10,20,0,5,5,0
LAND099,몽환세계(하늘),0,0,1000,0,0,1
LAND100,몽환의 대지,15,15,0,0,0,0
LAND101,온천,0,20,2,0,0,2
LAND102,장미 정원,0,0,0,0,0,0
LAND103,파츄리의 책상,0,0,0,0,0,0
LAND105,우유,0,0,0,0,0,0
LAND106,메르헨 세계,0,0,0,0,0,0
LAND107,낡은상자,0,0,0,0,0,0
LAND108,지장,0,0,0,0,0,0
LAND109,지면,0,0,0,0,0,0
LAND110,부서진 문,0,0,0,0,0,0
LAND111,외벽,0,0,0,0,0,0
LAND112,몽환세계,0,0,0,0,0,0
LAND113,대도서관,0,0,0,0,0,0
LAND114,큰 구멍,0,0,0,0,0,0
