Type,ID,Open0R,Open1R,Open2R,Open0M,Open1M,Open2M,Name,Title,Ability,Appearance,採用
0,Rumia,2,55,77,6,55,77,ルーミア,宵闇の妖怪,闇を操る程度の能力,『東方紅魔郷』他,1
0,Daiyosei,6,55,77,5,55,77,[だいようせい:3]大妖精,なし,なし,『東方紅魔郷』他,1
0,Cirno,6,55,77,6,55,77,チルノ,氷の妖精,冷気を操る程度の能力,『東方紅魔郷』他,1
0,Meiling,8,55,77,8,55,77,[ほん:1]紅[めいりん:2]美鈴,華人小娘,気を使う程度の能力,『東方紅魔郷』他,1
0,Koakuma,9,55,77,9,55,77,[こあくま:3]小悪魔,なし,なし,『東方紅魔郷』,1
0,Patchouli,9,55,77,9,55,77,パチュリー・ノーレッジ,知識と日陰の少女,火+水+木+金+土+日+月を操る程度の能力,『東方紅魔郷』他,1
0,Sakuya,3,55,77,3,55,77,[いざよい:3]十六夜[さくや:2]咲夜,完全で瀟洒なメイド,時間を操る程度の能力,『東方紅魔郷』他,1
0,Remilia,11,55,77,11,55,77,レミリア・スカーレット,永遠に紅い幼き月,運命を操る程度の能力,『東方紅魔郷』他,1
0,Flan,15,55,77,15,55,77,フランドール・スカーレット,悪魔の妹,ありとあらゆるものを破壊する程度の能力,『東方紅魔郷』他,1
0,Letty,26,34,77,26,34,77,レティ・ホワイトロック,冬の忘れ物,寒気を操る程度の能力,『東方妖々夢』他,1
0,Chen,29,57,77,31,57,77,[ちぇん:1]橙,凶兆の黒猫,妖術を扱う程度の能力,『東方妖々夢』他,1
0,Alice,3,55,77,2,55,77,アリス・マーガトロイド,七色の人形遣い,人形を操る程度の能力,『東方妖々夢』他,1
0,LilyW,30,55,77,30,55,77,リリーホワイト,春を運ぶ妖精,春が来た事を伝える程度の能力,『東方妖々夢』他,1
0,LilyB,100,100,100,100,100,100,リリーブラック,春を運ぶ妖精,春が来た事を伝える程度の能力,『東方花映塚』他,1
0,Lyrica,30,57,77,30,57,77,リリカ・プリズムリバー,騒霊キーボーディスト,幻想の音を演奏する程度の能力,『東方妖々夢』他,1
0,Merlin,30,57,77,30,57,77,メルラン・プリズムリバー,騒霊トランペッター,躁の音を演奏する程度の能力,『東方妖々夢』他,1
0,Lunasa,30,57,77,30,57,77,ルナサ・プリズムリバー,騒霊ヴァイオリニスト,鬱の音を演奏する程度の能力,『東方妖々夢』他,1
0,Prism,30,57,57,30,57,57,プリズムリバー[さんしまい:3]三姉妹,騒霊三姉妹,手を使わずに楽器を演奏する程度の能力,『東方妖々夢』他,1
0,Youmu,2,55,77,6,55,77,[こんぱく:2]魂魄[ようむ:2]妖夢,半人半霊の庭師,剣術を扱う程度の能力,『東方妖々夢』他,1
0,Yuyuko,33,55,77,33,55,77,[さいぎょうじ:3]西行寺[ゆゆこ:3]幽々子,天衣無縫の亡霊,死を操る程度の能力,『東方妖々夢』他,1
0,Yukari,34,57,77,34,57,77,[やくも:2]八雲[ゆかり:1]紫,神隠しの主犯,境界を操る程度の能力,『東方妖々夢』他,1
0,Ran,31,57,77,31,57,77,[やくも:2]八雲[らん:1]藍,すきま妖怪の式,式神を使う程度の能力,『東方妖々夢』他,1
0,Wriggle,40,55,77,37,55,77,リグル・ナイトバグ,闇に蠢く光の蟲,蟲を操る程度の能力,『東方永夜抄』他,1
0,Mystia,37,55,77,40,55,77,ミスティア・ローレライ,夜雀の怪,歌で人を狂わす程度の能力,『東方永夜抄』他,1
0,Keine,1,55,77,3,55,77,[かみしらさわ:3]上白沢[けいね:2]慧音,知識と歴史の半獣,歴史を食べる（隠す）程度の能力,『東方永夜抄』他,1
0,KeineH,41,55,55,41,55,55,[かみしらさわ:3]上白沢[けいね:2]慧音,知識と歴史の半獣,歴史を創る程度の能力,『東方永夜抄』他,1
0,ReimuR,39,39,39,40,40,40,[はくれい:2]博麗[れいむ:2]霊夢,楽園の素敵な巫女,空を飛ぶ程度の能力,『東方紅魔郷』他,1
0,MarisaR,40,40,40,39,39,39,[きりさめ:2]霧雨[まりさ:3]魔理沙,普通の魔法使い,魔法を使う程度の能力,『東方紅魔郷』他,1
0,Tewi,42,57,77,38,57,77,[いなば:2]因幡てゐ,幸運の素兎,人間を幸運にする程度の能力,『東方永夜抄』他,1
0,Udonge,39,57,77,42,57,77,[れいせん:2]鈴仙・[うどんげいん:4]優曇華院・イナバ,狂気の月の兎,狂気を操る程度の能力,『東方永夜抄』他,1
0,Eirin,42,57,77,42,57,77,[やごころ:2]八意[えいりん:2]永琳,月の頭脳,あらゆる薬を作る程度の能力,『東方永夜抄』他,1
0,Kaguya,43,57,77,43,57,77,[ほうらいさん:3]蓬莱山[かぐや:2]輝夜,永遠と須臾の罪人,永遠と須臾を操る程度の能力,『東方永夜抄』他,1
0,Mokou,18,57,77,19,57,77,[ふじわらの:2]藤原[もこう:2]妹紅,蓬莱の人の形,老いる事も死ぬ事も無い程度の能力,『東方永夜抄』他,1
0,Shizuha,17,57,77,17,57,77,[あき:1]秋[しずは:2]静葉,寂しさと終焉の象徴,紅葉を司る程度の能力,『東方風神録』他,1
0,Minoriko,17,57,77,17,57,77,[あき:1]秋[みのりこ:2]穣子,豊かさと稔りの象徴,豊穣を司る程度の能力,『東方風神録』他,1
0,Hina,20,57,77,24,57,77,[かぎやま:2]鍵山[ひな:1]雛,秘神流し雛,厄をため込む程度の能力,『東方風神録』他,1
0,Nitori,3,57,77,1,57,77,[かわしろ:2]河城にとり,超妖怪弾頭,水を操る程度の能力,『東方風神録』他,1
0,Momiji,7,57,77,1,57,77,[いぬばしり:2]犬走[もみじ:1]椛,下っ端哨戒天狗,千里先まで見通す程度の能力,『東方風神録』他,1
