ID,再生するファイル,Name,Name_Orig,From,By,Arrange,Sel,採用
bgm_gen_op_theme,bgm_gen_op_theme,환상소녀대전~요요몽,요요몽 ~ Snow or Cherry Petal,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,Ibiza,0,1
bgm_battle_Rumia,bgm_battle_Rumia,십자가를 짊어지고 야밤을 달리다~요마야행,요마야행,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,Ibiza,1,1
bgm_weapon_Rumia_Dimmer,bgm_weapon_Rumia_Dimmer,밤하늘에 춤추는 먹어치우는 무언가~꽈리처럼 붉은 혼,꽈리처럼 붉은 혼/요마야행,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,Ibiza,0,1
bgm_battle_Daiyosei,bgm_battle_Daiyosei,조용한 호수 위의 명참모(베스트 프렌드)~루네이트 엘프,루네이트 엘프,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,Ibiza,1,1
bgm_battle_Cirno,bgm_battle_Cirno,Flap&Frappe&Flapper~말괄량이 연랑,말괄량이 연랑,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,Ibiza,1,1
bgm_weapon_Cirno_Fbaka,bgm_weapon_Cirno_Fbaka,무적의 세션!!~말괄량이 연랑/기타,말괄량이 연랑/그 외 다수,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,Ibiza,0,1
bgm_battle_Meiling,bgm_battle_Meiling,지켜라! 중화소녀!~상하이 홍차관,상하이 홍차관 ~ Chinese Tea/메이지 17년의 상하이 앨리스,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,cobu,1,1
bgm_battle_Koakuma,bgm_battle_Koakuma,악마라도 순수한 마음으로~브와르 마법도서관,브와르 마법도서관,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,Ibiza,1,1
bgm_battle_Patchouli,bgm_battle_Patchouli,압실레 멜로사의 마녀~락드 걸,락드 걸 ~ 소녀밀실,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,cobu,1,1
bgm_battle_Sakuya2,bgm_battle_Sakuya2,DISTORTION DIAL~달시계 루나 다이얼,달시계 ~ 루나 다이얼,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,cobu,1,1
bgm_weapon_Sakuya_Meek,bgm_weapon_Sakuya_Meek,무너져 가는 은의 칼날~체페슈의 어린 후예,체페슈의 어린 후예/메이드와 피의 회중시계,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,Ibiza,0,1
bgm_battle_Sakuya,bgm_battle_Sakuya,소쇄한 밤에 피는 꽃과~플라워링 나이트,플라워링 나이트,동방화영총 ~ Phantasmagoria of Flower View.,ZUN,Ibiza,1,1
bgm_battle_Remilia,bgm_battle_Remilia,영원히 어린 홍색을 물들이고~죽은 왕녀를 위한 셉텟,죽은 왕녀를 위한 셉텟/체페슈의 어린 후예,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,Ibiza,1,1
bgm_battle_Flan2,bgm_battle_Flan2,언밸런스 언노운~마법소녀들의 백년제,마법소녀들의 백년제,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,cobu,1,1
bgm_battle_Flan,bgm_battle_Flan,FRANTIC DESTROYER~U.N.오웬은 그녀인가?,U.N.오웬은 그녀인가?,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,cobu,1,1
