NameID,Name
Reimu,레이무
ReimuR,레이무
ReimuRM,레이무
Marisa,마리사
MarisaR,마리사
Keine,케이네
KeineH,케이네
Alice,앨리스
Nitori,니토리
Youmu,요우무
Kedama,털구슬
Daiyosei,대요정
Cirno,치르노
Sunny,서니
Star,스타
Luna,루나
Momiji,모미지
Rumia,루미아
Sakuya,사쿠야
Meiling,메이링
Yukari,유카리
Ran,란
Chen,첸
Aya,아야
Koakuma,소악마
Patchouli,파츄리
Yuka,유카
Unknown,???
Sanae,사나에
Kanako,카나코
Suwako,스와코
Shanghai,상하이
Hourai,호라이
Remilia,레밀리아
KedamaW,털구슬
Shiro,흰둥이
KedamaB,검은털구슬
Bakebake,바케바케
Evileye,이블아이
Grimoire,그리모어
Elliy,엘리
Kurumi,쿠루미
Karasu,요괴까마귀
Maid,요정메이드
TileA,마루A
TileB,마루B
Tile,마루
Flan,플랑
FlanA,플랑(FOK)
Yuyuko,유유코
Mokou,모코우
Tenshu,점주
Bat,박쥐
Komachi,코마치
HTengu,텐구
HTenguB,텐구B
Minoriko,미노리코
Shizuha,시즈하
Nitori_FA,니토리
KTengu,텐구
KTenguA,텐구A
Akyu,아큐
Korin,린노스케
Human,인간
HumanA,인간A
HumanB,인간B
HumanC,인간C
LadyA,노파A
LadyB,노파B
Kappa,캇파
KappaC,캇파C
Hina,히나
Noname,???
HYousei,H요정
HYouseiB,H요정B
Suika,스이카
Zenki,젠키
Goki,고키
Nazrin,나즈린
Sho,쇼
Koishi,코이시
Satori,사토리
Letty,레티
LilyW,릴리
LilyW0,릴리
LilyW_NS,릴리
Lunasa,루나사
Merlin,메를랑
Lyrica,리리카
Yamame,야마메
Kisume,키스메
Orin,오린
OrinC,오린
Utsuho,오쿠
UtsuhoB,오쿠
JKarasu,지옥까마귀
Kaguya,카구야
KKedama,강털구슬
GhostL,유령L
GhostS,유령S
OnryoR,원령R
OnryoL,원령L
Onryo,원령
Onryo2,원령
Mima,미마
MimaG,고스트
Seirensen,성련선
Murasa,무라사
Ichirin,이치린
Unzan,운잔
Nue,누에
Prism,세자매
Faries,삼요정
Wriggle,리글
Mystia,미스티아
Kaguya,카구야
Eirin,에이린
Udonge2,의문의토끼
Udonge,우동게
Tewi,테위
UsagiR,토끼
Reisen,레이센
Usagi,요괴토끼
UsagiD,요괴토끼D
Yorihime,요리히메
Toyohime,토요히메
Yugi,유기
Parsee,파르시
InsectA,벌레
InsectB,벌레
Hatate,하타테
GyokutoT,달토끼
GyokutoS,달토끼
GyokutoS2,달토끼
KedamaN,밤털구슬
SatoriS,사토리
KoishiS,코이시
OrinS,오린
UtsuhoS,우츠호
UtsuhoH,우츠호
Zombie,Z요정
MimaS,미마
MarisaY,마리사
ReimuY,레이무
ShiroB,???
ReisenB,레이센
UFOR,UFO(적)
UFOB,UFO(청)
UFOG,UFO(녹)
Tenshi,텐시
Iku,이쿠
Kaname,요석
Meko,메코
Makura,마쿠라
Sheep,검은양
Seirensen_R,성련선
Seirensen_M,성련선
EvileyeR,이블아이R
Medicine,메디
InsectA2,포이즌비
YouseiL,L요정
Kogasa,코가사
Eiki,에이키
LilyB,릴리
KappaS,캇파 개량형
BakebakeL,거대바케바케
EvileyeZ,이블아이Z
MYousei,M요정
InsectC,마계충
Yumeko,유메코
Shinki,신키
EvileyeK,킹이블아이
EvileyeK2,이블아이 시그마
Noise,???
Byakuren,뱌쿠렌
ByakurenH,뱌쿠렌
Kekkai,???
SheepR,붉은양
SheepW,흰양
Onamazu,오오나마즈
TensokuE,비상천칙
Tensoku,비상천칙
RemiliaN,악몽
FlanN,악몽
YuyukoN,악몽
YukariN,악몽
RanN,악몽
KaguyaN,악몽
EirinN,악몽
MokouN,악몽
KanakoN,악몽
SuwakoN,악몽
UtsuhoN,악몽
KoishiN,악몽
NazrinN,악몽
IchirinN,악몽
MurasaN,악몽
ShoN,악몽
ByakurenN,악몽
NueN,악몽
EikiN,악몽
SuikaN,악몽
TenshiN,악몽
YorihimeN,악몽
ToyohimeN,악몽
MimaN,악몽
HTenguN,악몽
KTenguN,악몽
KappaN,악몽
UsagiN,악몽
GyokutoSN,악몽
GyokutoTN,악몽
ZenkiN,악몽
GokiN,악몽
SheepL,큰 양
Layla,레이라
MekoM,메코
MekoD,메코
ReimuM,레이무
Genji,겐영감
InsectCN,악몽
EvileyeKN,악몽
OnamazuN,악몽
TensokuEN,악몽
SheepLN,악몽
Yukachan,유카
DreamA,꿈의 빛
DreamB,꿈의 빛
MakuraS,마쿠라
MakuraF,마쿠라
YorihimeD,요리히메
ToyohimeD,토요히메
Kosuzu,코스즈
Shinigami,사신
Kekkai,결계의 핵심
Shitone,시토네
MekoB,블랙메코
Yousei1,요정
Yousei2,요정
TensokuD,데빌천칙
MakuraP,마쿠라
GhostSN,어둠의 등불
GhostLN,저승의 불꽃
DreamC,꿈의 앙금
ShitoneF,시토네
YukaD,악몽
KisumeD,악몽
MeilingD,악몽
YumekoN,악몽
YugiN,악몽
SanaeN,악몽
SakuyaN,악몽
ReimuRN,악몽
MarisaRN,악몽
MedicineN,악몽
ShitoneS,??
TensokuZ,비상천칙
KisumeN,악몽
ParseeN,악몽
MeilingN,악몽
ShinkiN,악몽
YukaN,악몽
ReimuN,악몽
MarisaN,악몽
