Char1,Char2,Name1,Name2
Rumia,Daiyosei,큐어 다크니스,
Rumia,Cirno,최강의 어둠,
Rumia,Remilia,어둠의 권속,낮의 밤의 왕
Rumia,Flan,미친 어둠의 권속,어둠의 파괴자
Rumia,Letty,얼어붙는 어둠,
Rumia,Lunasa,기력이…빠진다…,
Rumia,Yukari,환상구울,
Rumia,Wriggle,어스름의 등불,
Rumia,Mystia,어두운 밤 자연생성,트윈 나이트버드
Rumia,Keine,요괴학생 제1호,
Rumia,Reimu,항복한 요괴 제1호,
Rumia,Yorihime,뒤편의 달,
Rumia,Toyohime,뒤편의 달,
Rumia,Kisume,꽈리처럼 붉은 도깨비불,
Rumia,Yamame,그림자 거미,
Rumia,Yugi,다크 파워,
Rumia,Satori,기어오는 마음의 어둠,
Rumia,Koishi,밤구석 외톨이가 되어버려,
Rumia,Ichirin,승인건가-,
Rumia,Byakuren,승인건가-,
Rumia,Nue,언디파인드 다크니스,
Rumia,Medicine,독을 먹는다면 꽃까지,
Rumia,Luna,나이트 페어리,
Rumia,Kurumi,암야의 권속,흑의 금발유녀
Rumia,Mima,완전한 어둠,
Daiyosei,Cirno,호수 위의 마정조,다이치르가 나의 해피 세트
Daiyosei,Koakuma,무명의 참모,천사와 악마
Daiyosei,Letty,큐어 크리스탈,
Daiyosei,LilyW,큐어 스프링,
Daiyosei,LilyB,큐어 스프링,
Daiyosei,Lyrica,리리카냰,
Daiyosei,Wriggle,큐어 나이트버그,
Daiyosei,Mystia,큐어 코러스,
Daiyosei,Marisa,대요정냰,
Daiyosei,Eirin,생명의 근원,
Daiyosei,Minoriko,고구마x4,
Daiyosei,Sanae,큐어 미라클,
Daiyosei,Kisume,퓨어 그린,
Daiyosei,Nazrin,나즈린 짱,
Daiyosei,Sunny,큐어 서니,
Daiyosei,Star,큐어 사파이어,
Daiyosei,Luna,큐어 차일드,
Daiyosei,Kurumi,호수 위의 정신,
Daiyosei,Shinki,기도의 집약,
Cirno,Patchouli,이터널 메가 블리자드,
Cirno,Letty,빙설의 결정조,어느 겨울날의 우정
Cirno,LilyW,봄을 알리는 얼음요정,
Cirno,LilyB,봄을 알리는 얼음요정,
Cirno,Yuyuko,무모함은 령기!,
Cirno,Ran,최강의 식,최강의 요수
Cirno,Wriggle,스노우 버그 스톰,
Cirno,Mystia,이노센트 월드,일석이조
Cirno,Marisa,무모함은 용기,
Cirno,Tewi,못박힌 눈덩이,
Cirno,Mokou,반작용 봄,
Cirno,Hina,페어리 스핀,
Cirno,Aya,천공의 설풍,
Cirno,Hatate,남몰래 치러진 대전쟁,
Cirno,Suwako,케로짱 얼음에도 지지않아,
Cirno,Nazrin,자이언트 킬링,
Cirno,Yuka,햇볕에 그을린 치르노,
Cirno,Tenshi,다이아몬드 더스트,쌀쌀한 용기
Cirno,Sunny,요정대전쟁,
Cirno,Star,북극성,최강의 별
Cirno,Luna,최강이라 미안,
Cirno,Kurumi,호수위의 마,
Cirno,Yumeko,최강 클래스,
Meiling,Koakuma,평화의 홍색,
Meiling,Patchouli,철벽의 이지스,
Meiling,Sakuya,홍마의 종자조,녹슬지 않는 권과 나이프
Meiling,Remilia,홍마의 붉은 정예,스칼렛 오라
Meiling,Flan,무지개색의 인연,칠색 채광의 주종
Meiling,Chen,문지기 오렌지,고양이 방울
Meiling,Alice,칠색의 무지개,
Meiling,Yukari,홍색의 경계,야쿠모 홍이라곤 부를수 없어
Meiling,Wriggle,하이퍼 곤충색 발차기,
Meiling,Tewi,흰토끼 태극권,
Meiling,Mokou,불타올라라 홍룡,
Meiling,Shizuha,낙엽 발차기,
Meiling,Minoriko,가을의 전사들,
Meiling,Momiji,방패와 벽,
Meiling,Yugi,다가오는 귀기,
Meiling,Kogasa,무지개색 파라솔,오버 더 레인보우
Meiling,Ichirin,문답무용의 요괴권,
Meiling,Sho,용호의 권,타이거 & 드래곤
Meiling,Byakuren,연꽃의 주먹,
Meiling,Yuka,가드닝,
Meiling,Iku,오조룡의 권,땅의 용과 하늘의 용
Meiling,Tenshi,황사의 지맥,
Meiling,Elliy,보통의 문지기,홍몽의 문지기
Koakuma,Patchouli,이동식 대도서관,모시겠습니다~
Koakuma,Sakuya,관의 티타임,
