種別,ID,EF,NAME,Icon,最大LV,VAL1,VAL2,VAL3,COUNT,TARGET,Text,PP,PP_INCR
-1,NONE,NONE,----,None,0,,,,,,스킬을 습득하고 있지 않습니다.,0,0
0,HOROYOI,HOROYOI,술기운,Power,2,,,,,,출격시 파워가 레벨x5 만큼 상승한다.,60,120
0,P_TURN,P_TURN,기분고양,Power,0,,,,,,턴 개시시 파워가 3 상승.,140,0
0,HARITSUKI,HARITSUKI,달라붙기,Damage,2,,,,,,적 유닛과 인접했을때 사격무기로 주는 데미지가 최종보정 1.1배 (L2라면1.2배)가 된다.\n원호공격과 지원공격에 대해선 무효.,180,140
0,HAWAY2,HAWAY2,히트&어웨이,Move,0,,,,,,이동하지 않고 공격했을 경우 공격후 이동할 수 있다.,350,0
0,SATTACK,SATTACK,원호공격,Attack,4,,,,,,자신이 미행동 상태일때 인접 유닛에게 원호공격을 해줄 수 있다.,160,40
0,SGUARD,SGUARD,원호방어,Guard,4,,,,,,인접유닛에게 원호방어를 한다.,160,80
0,DAM+_SUBA,DAM+_SUBA,지원강화,Attack,2,,,,,,지원공격의 데미지가 상승한다.\n효과는 레벨에 의존.,150,150
0,DAM+_SATTACK,DAM+_SATTACK,연계공격,Attack,0,,,,,,원호공격이 반드시 크리티컬이 된다.\n지원공격에 대해선 무효.,150,0
0,KIAI,KIAI,기합회피,Dodge,9,,,,,,남은 HP에 따라서 명중률과 회피율에 보정.\n효과는 레벨에 의존.,50,15
0,SOKO,SOKO,저력,Guard,9,,,,,,남은 HP에 따라서 방어력과 크리티컬 확률 보정.\n효과는 레벨에 의존.,50,15
0,USO,USO,운빨회피,Dodge,2,,,,,,상대보다 기량이 낮을 때\n회피율이 레벨x10% 상승한다.,100,50
0,GRAZE,GRAZE,긁기,Dodge,2,,,,,,그레이즈 데미지를 줄인다.\n받는 데미지가 L1은 1/2로 L2는 1/4로 줄어든다.,140,80
0,COUNTER,COUNTER,패턴화,Light,3,,,,,,반격시 일정확률로 「카운터」가 발동한다.\n발동확률은 레벨과 상대와의 기량차에 의존.,160,40
0,CUTBACK,CUTBACK,잘라내기,Dodge,2,,,,,,방어와 회피 관련 탄막 효과가 - 30%.\n(L2라면 - 50%),130,240
0,BLOCKING,BLOCKING,블로킹,Guard,3,,,,,,무기를 갖고 있다면 「베어내기」가 방패를 갖고 있다면 「실드방어」가 발동한다.\n발동확률은 레벨과 상대와의 기량차에 의존.,180,90
0,FAST,FAST,고속이동,Move,0,,,,,,고속 모드의 이동력 + 1.,180,0
0,SLOW,SLOW,저속이동,Move,0,,,,,,저속 모드의 이동력 + 1.,180,0
0,P_GOTHIT,P_GOTHIT,P회수(피탄),Power,0,,,,,,공격을 맞았을 때 파워가 2 상승한다.,60,0
