ID,EF,Name,Icon,Text,VAL1,VAL2,VAL3
CURE_HP_S,CURE_HP,HP회복(소),Cure,턴 개시시에 HP가 최대치의 <VAL1>%만큼 회복된다.,10,0,0
CURE_HP_M,CURE_HP,HP회복(중),Cure,턴 개시시에 HP가 최대치의 <VAL1>%만큼 회복된다.,20,0,0
CURE_HP_L,CURE_HP,HP회복(대),Cure,턴 개시시에 HP가 최대치의 <VAL1>%만큼 회복된다.,30,0,0
CURE_HP_LL,CURE_HP,HP회복(특대),Cure,턴 개시시에 HP가 최대치의 <VAL1>%만큼 회복된다.,50,0,0
CURE_MP_S,CURE_MP,MP회복(소),Cure,턴 개시시에 MP가 최대치의 <VAL1>%만큼 회복된다.,10,0,0
CURE_MP_M,CURE_MP,MP회복(중),Cure,턴 개시시에 MP가 최대치의 <VAL1>%만큼 회복된다.,20,0,0
CURE_MP_L,CURE_MP,MP회복(대),Cure,턴 개시시에 MP가 최대치의 <VAL1>%만큼 회복된다.,30,0,0
COM_CURE_HP,COM_CURE_HP,치유능력,Light, 「치유」커맨드를 사용하여 거리 <VAL2>칸이내에 있는\n아군유닛의 HP를 회복할 수 있다.(소비MP <VAL1>),10,1,0
COM_CURE_MP,COM_CURE_MP,보급능력,Light, 「보급」커맨드를 사용하여 거리 <VAL2>칸이내에 있는\n아군유닛의 MP와 탄수의 절반을 회복할 수 있다.(소비MP <VAL1>),10,1,0
BATTLESHIP,BATTLESHIP,기함,Light,자신의 칸에 이동한 아군유닛을 「탑재」할 수 있다.\n또한 인접한 아군유닛을 「회수」할 수 있다.,0,0,0
P_SQUARE,P_SQUARE,프라이빗 스퀘어,Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.,25,120,0
P_SQUARE_EN,P_SQUARE_EN,프라이빗 스퀘어,Dodge, 「방어」또는 「회피」를 선택했을때 반드시 공격을 회피한다.,0,0,0
O_CAMO,O_CAMO,O 카모플라쥬,Dodge, <VAL1>%의 확률로 공격을 회피한다.(소비MP <VAL3>),25,0,10
BUNSHIN,BUNSHIN,분신,Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.,50,130,0
BUNSHIN_YUKA,BUNSHIN,분신(유카),Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.,50,130,0
BUNSHIN_RAN,BUNSHIN,분신(란),Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.,25,120,0
BUNSHIN_RAN2,BUNSHIN,분신(란),Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.,25,130,0
BUNSHIN_CHEN,BUNSHIN,분신(첸),Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.,33,120,0
BUNSHIN_YOUMU,BUNSHIN,분신(요우무),Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.,25,130,0
BUNSHIN_UDONGE,BUNSHIN,분신(레이센),Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.,25,130,0
BUNSHIN_FARIES,BUNSHIN,오픈 페어리,Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.,25,130,0
MAI2,MAI2,유접의 춤,Dodge,상대유닛과의 기량차에 따라 최종 회피율에 보정.기량이 높을수록 효과가 상승한다.,0,0,0
TENSEI,TENSEI,투명의 무녀,Dodge,파워가 <VAL2> 이상일때 <VAL1>%의 확률로 공격을 회피한다.또한 그레이즈 데미지를 0으로 한다.,25,150,0
YAMI,BARRIER_L_DIS,어둠,Guard,L공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1200,5,600
YAMI+,BARRIER_ALL_DIS,어둠+,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1500,10,750
M_SHIELD,BARRIER_L,마법장벽,Guard,L공격의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),1500,10,750
M_SHIELD+,BARRIER_L_DIS,마법장벽+,Guard,L공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1000,10,500
M_SHIELD_PATCHE,BARRIER_ALL,마법장벽(파체),Guard,모든 공격의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),1600,10,800
M_SHIELD_MIMA,BARRIER_ALL,절대마법벽,Guard,모든 공격의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),1950,10,975
M_SHIELD_BYAKUREN,BARRIER_ALL,마법장벽(뱌쿠렌),Guard,모든 공격의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),1500,10,750
M_SHIELD_BYAKURENH,BARRIER_ALL_DIS,마법장갑(뱌쿠렌),Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),550,10,275
S_BARRIER,BARRIER_L,서니 배리어,Guard,L공격의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),1800,5,900
RAIN_KEKKAI,BARRIER_L_DIS,우력결계,Guard,L공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1000,5,500
RAIN_KEKKAI2,BARRIER_L_DIS,우력결계,Guard,L공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1500,5,750
BARRIER_L_YOUSEI,BARRIER_L,레이저 경계,Guard,L공격의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),3000,5,1500
N_KEKKAI,BARRIER_ALL_DIS,이중결계,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),500,10,250
S_KEKKAI,BARRIER_ALL_DIS,사중결계,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1000,10,500
BARRIER_SANAE,BARRIER_ALL_DIS,영력장벽,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>)\n신앙 게이지가 20%이상일때 발생하며 경감치는 신앙 게이지에 따라 바뀐다.,550,15,275
BARRIER_YUKARI,BARRIER_ALL_DIS,왜곡결계(유카리),Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),900,5,450
BARRIER_YUKARI2,BARRIER_ALL_DIS,왜곡결계,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),500,10,250
HINEZUMI,BARRIER_ALL_DIS,불쥐의 털옷,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1000,5,500
HINEZUMI2,BARRIER_ALL_DIS,샐러맨더 실드,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1200,10,600
D_BLOCK,BARRIER_ALL_DIS,데빌가드,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1000,10,500
U_BLOCK,BARRIER_ALL_DIS,뉴도 블록,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),700,10,350
BARRIER_SEIRENSEN,BARRIER_ALL,법력실드,Guard,모든 공격의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),1700,10,850
BARRIER_UTSUHO,BARRIER_ALL_DIS,핵열실드,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),750,10,375
SPRING,BARRIER_ALL_DIS,스프링 필드,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),750,10,375
BARRIER_MEKO,BARRIER_ALL_DIS,양모 가드(메코),Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1100,5,550
BARRIER_MEKO2,BARRIER_ALL_DIS,양모 가드(메코),Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),800,5,400
BARRIER_MAKURA,BARRIER_ALL_DIR,꿈거품,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),600,5,300
BARRIER_MAKURA2,BARRIER_ALL_DIR,꿈거품,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),1400,5,700
BARRIER_SHEEP,BARRIER_ALL_DIS,양모 가드,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),600,5,300
BARRIER_ALL_INSECT,BARRIER_ALL,마갑각,Guard,모든 공격의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),4000,5,2000
BARRIER_SHINKI,BARRIER_ALL_DIS,디바인 월,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>),800,5,400
BARRIER_SHINKI2,BARRIER_EX_ALL_DIS,디바인 월,Guard,모든 공격의 데미지를 <VAL1>경감한다.(소비MP <VAL2>)\n후위에 있을 경우 전위에게도 효과가 미치지만 효과량은 반감된다.,1000,10,500
BARRIER_TOYOHIME,BARRIER_ALL,메트릭 간섭결계,Guard,모든 공격의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),2000,15,1000
I_BARRIER,BARRIER_NOL,아이스배리어,Guard,L공격이외의 데미지를 <VAL1>까지 무효화한다.(소비MP <VAL2>),1800,10,900
