ID,Name,Spr,SE,Tar,Pair,Type,BTL,Text
NONE,??,kasoku,kasoku,SELF,0,-----,0,미습득한 정신커맨드입니다.
TEISATSU,정찰,teisatsu,teisatsu,TILE_ENEMY,0,1턴,0,1턴동안 지정한 적유닛에게 주는 데미지가 1.05배가 되고 받는 데미지가 0.95배가 된다.
KANNOU,감응,hicchu,hicchu,TILE_PLAYER,0,-----,0,지정한 아군 유닛에게 「필중」의 효과.
SHUCHU,집중,shuchu,shuchu,SELF,0,1턴,1,1턴동안 명중률 회피율 +30%.
HICCHU,필중,hicchu,hicchu,SELF,0,1턴,1,1턴동안 명중률이 100%가 된다. 상대가 「번뜩임」을 사용했을 경우 그쪽이 우선된다.
HIRAMEKI,번뜩임,hirameki,hirameki,SELF,0,회피할때까지,1,한번만 회피율이 100%가 된다.\n효과는 필중보다 우선되지만 원호공격에 대해선 무효.
CHOKKAN,직감,chokkan,chokkan,SELF,0,각 효과에 의존,1,1턴 동안 명중률이 100%가 된다.\n또한 한번만 회피율이 100%가 된다.
KASOKU,가속,kasoku,kasoku,SELF,1,이동할때까지,0,한번만 이동력 +3.
TEKAGEN,봐주기,tekagen,tekagen,SELF,0,공격할때까지,1,자신보다 기량이 낮은 상대의 HP를 10 남긴다.\n(상대의 HP가 10 미만일 경우 주는 데미지가 0이된다.)
JYUNNO,순응,jyunno,jyunno,SELF,1,1턴,1,1턴동안 유닛과 무기의 지형 적응이 「밤」이외 S가 된다.\n(원래 S일 경우 SS가 된다.)
OEN,응원,doryoku,doryoku,TILE_PLAYER,1,-----,0,지정한 아군 유닛에게 「노력」의 효과.
SHUKUFUKU,축복,koun,koun,TILE_PLAYER,1,-----,0,지정한 아군 유닛에게 「행운」의 효과.
INORI,기도,inori,inori,TILE_PLAYER,1,-----,0,지정한 아군 유닛이 다음 전투에서 획득하는 PP가 배가 된다.
DORYOKU,노력,doryoku,doryoku,SELF,1,다음전투까지,1,다음 전투에서 획득하는 경험치가 2배가 된다.
KOUN,행운,koun,koun,SELF,1,다음전투까지,1,다음 전투에서 획득하는 점수가 2배가 된다.
CHOKUGEKI,직격,chokugeki,chokugeki,SELF,0,공격할때까지,1,일부 스킬이나 배리어나 사이즈차 등으로 주는 데미지의 감소를 무효화.\n원호 방어 등도 무효화한다.
SOGEKI,저격,sogeki,sogeki,SELF,0,공격할때까지,1,사정 1의 공격 및 맵공격을 제외한 무기의 사정 +2.
TOTSUGEKI,돌격,totsugeki,totsugeki,SELF,0,공격할때까지,1,한번만 맵공격을 제외한 모든 공격이 이동후 사용가능이 된다.
RENGEKI,연격,rengeki,rengeki,SELF,0,공격할때까지,1,다음 공격으로 적 유닛을 격추했을 경우 한번더 행동가능.\n1턴에 한번만 사용가능.
SHINRAI,신뢰,shinrai,shinrai,TILE_PLAYER,0,-----,0,지정한 아군 유닛의 HP를 2000 회복한다.
YUJO,우정,shinrai,yujo,TILE_PLAYER,0,-----,0,지정한 아군 유닛의 HP를 전부 회복한다.
KENSHIN,헌신,kenshin,kenshin,TILE_PLAYER,0,-----,0,지정한 아군 유닛의 MP를 50 회복한다.
HOKYU,보급,kenshin,hokyu,TILE_PLAYER,0,-----,0,지정한 아군 유닛의 MP와 탄수를 전부 회복한다.
KITAI,기대,kenshin,hokyu,TILE_PLAYER,0,-----,0,지정한 아군 유닛의 SP를 50 회복한다.
KONJO,근성,konjo,konjo,SELF,0,-----,1,자신의 HP를 최대치의 30%만큼 회복한다.
DOKONJO,초근성,konjo,konjo,SELF,0,-----,1,자신의 HP를 전부 회복한다.
JIBAKU,자폭,nekketsu,nekketsu,JIBAKU,0,-----,0,사용시 퇴각하지만 인접 유닛에게 유닛의 남은 HP의 절반만큼 데미지를 준다.\n격추는 되지 않으며 특수능력 「특수내성」를 가진 적유닛에겐 무효.
