StageID,StageTitle,Num,Cost,夜,NumEv,Ev使用,ジングル,エース会話,チャート,MapSpr,Type,Width,Height,OrigX,OrigY,反転,地上,IM背景,ジングル,強制出撃,出撃不可,出撃不可/周回時/Reimu,出撃不可/周回時/Marisa,PP曲,EP曲,BGM固定設定,bg_ground,bg_sky,bg_water,bg_sky_demo,fg_ground,fg_sky,Cond_Win,Cond_Lose,EX_Cond,WP_VAL0,WP_VAL1
01Reimu,낙원의 멋진 무녀,0,10,0,110,1,1,1,1,01Reimu,0,480,544,336,272,3,1,talk_Shrine,gen,|,|,|,|,pp_dendera,ep_cafe,|,forest,forest_sky,water_river,,,fg_cloud,|적의 전멸.|,|아군의 전멸.|,|저속모드로 <VAL1>회 이상 전투한다.(앞으로  <VAL0>회)|,|5|5|5|5|,|5|5|5|5|
01Marisa,출발,0,10,0,110,1,1,1,1,01Marisa,0,448,384,528,144,0,1,talk_Marisa,gen,|Nitori|0|Marisa|0|,|,|,|,pp_dendera,ep_cafe,|,forest,forest_sky,,,,fg_cloud,|모미지의 격퇴.\n(모미지는 HP가 50%이하가 되면 후퇴한다)|,|아군의 전멸.|,|저속모드로 <VAL1>회 이상 전투한다.(앞으로  <VAL0>회)|,|5|5|5|5|,|5|5|5|5|
02Reimu,인간 마을의 방문자,6,25,0,110,1,1,1,1,02Reimu,0,528,528,368,416,0,0,talk_Hieda,gen,|,|,|,|,pp_dendera,ep_cafe,|,village,forest_sky,water_river,,,fg_cloud,|루미아 격추.|,|아군의 전멸.|,|상대와 인접한 상태에서 요우무가<VAL1>회 이상 전투한다.(앞으로 <VAL0>회)|,|3|3|3|3|,|3|3|3|3|
02Marisa,마법사들과 거짓말,6,25,0,110,1,1,1,1,02Marisa,0,448,384,480,288,0,1,talk_Alice,gen,|,|,|,|Alice|,pp_dendera,ep_cafe,|,forest,forest_sky,,,,fg_cloud,|앨리스와 화해 또는 앨리스 격추.|삼월정 중 아무나 한명을 격추.|,|아군의 전멸.|,|?????|앨리스의 고유커맨드 「인형생성」을 사용한다.|,|0|0|0|0|,|0|0|0|0|
03Common,백은의 종자,7,25,0,110,1,1,1,1,02Reimu,0,528,528,272,352,1,0,talk_Village,gen,|,|,|,|,pp_greenwich,ep_eiya,|,forest,forest_sky,water_river,,,fg_cloud,|사쿠야에게 공격.|사쿠야 격추.\n(사쿠야는 HP가 30%이하가 되면 후퇴한다)|,|사쿠야가 지정 포인트에 도달 또는 아군의 전멸.|아군의 전멸.|,|정신커맨드를 <VAL1>회 이상 사용한다.(앞으로 <VAL0>회)|,|5|5|5|5|,|5|5|5|5|
04Reimu,안개 속의 싸움,5,25,0,110,1,1,1,1,04Reimu,0,512,384,320,336,1,1,talk_Shrine,kou,|Keine|0|Reimu|0|,|,|Akyu|,|,pp_dendera,ep_eiya,|,forest,forest_sky,,,fg_mist_red,fg_cloud,|아큐가 지정 포인트에 도달 또는 적의 전멸.|,|11턴 경과 또는 레이무나 아큐가 격추됨.|,|아큐로 아무 적 유닛을 격추한다.\n(원호공격에 의한 격추도 대상)|,|0|0|0|0|,|0|0|0|0|
04Marisa,마포! 마스터 스파크,5,25,0,110,1,1,1,1,04Marisa,0,512,416,560,448,0,1,talk_Korindo,kou,|Marisa|0|,|,|,|,pp_dendera,ep_eiya,|,forest,forest_sky,water_river,,fg_mist_red,fg_cloud,|엘리 격추.|,|아무 아군 유닛이 격추됨.|,|엘리 이외의 적을 전부 격추한다.|,|0|0|0|0|,|0|0|0|0|
05Reimu,질풍! 선풍! 샤메이마루,6,25,0,110,1,1,1,1,04Reimu,0,512,384,592,192,0,1,talk_Road,kou,|,|,|Aya|,|,pp_dendera,ep_eiya,|,forest,forest_sky,,,fg_mist_red,fg_cloud,|엘리 격추.|,|아군의 전멸.|아야가 격추됨.|,|「봉마진」「박치기」「명상참」「나이트버드」를\n각 1회이상 사용한다.(앞으로 <VAL0>종류)|,|4|4|4|4|,|0|0|0|0|
05Marisa,대요정 SOS,0,0,0,110,1,1,1,1,01Marisa,0,448,384,352,288,1,1,talk_Road,kou,|Nitori|0|Alice|0|Marisa|0|,|,|,|Daiyosei|,battle_Daiyosei,ep_cafe,|,forest,forest_sky,,,fg_mist_red,fg_cloud,|적의 전멸.|,|대요정이 격추됨.|,|?????|「내로우 스파크」「아트풀 새크리파이스」\n「괴물 큐컴버」를 각 1회이상 사용한다.(앞으로 <VAL0>종류)|,|3|3|3|3|,|0|0|0|0|
06Common,호수 위의 교착(전편),6,25,0,110,1,1,1,1,06Common,0,512,416,528,448,0,0,talk_Lake,kou,|,|,|Marisa|Nitori|Alice|Daiyosei|,|Reimu|Keine|Rumia|Youmu|,pp_dendera,ep_cafe,|,lake,lake_sky,water_river,lake,fg_mist_white,fg_cloud,|치르노 격추.|,|대요정이 격추됨. 또는 아군의 전멸.|,|스펠카드 발동 전에 대요정으로 치르노를 「설득」한다.|,|0|0|0|0|,|0|0|0|0|
07Common,호수 위의 교착(후편),8,25,0,110,1,1,1,1,06Common,0,512,416,208,192,1,0,talk_Lake,kou,|Reimu|0|Marisa|0|Cirno|0|Daiyosei|0|,|,|,|,pp_greenwich,ep_eiya,|,lake,lake_sky,water_river,lake,fg_mist_white,fg_cloud,|모미지 격추.|,|아군의 전멸.|,|모미지를 마지막으로 격추하여 클리어한다.|,|0|0|0|0|,|0|0|0|0|
08Common,홍색의 경계,9,25,1,110,1,1,1,1,08Common,0,400,544,304,560,0,1,talk_Koumakan_Gate,kou,|,|,|,|,pp_dendera,ep_eiya,|,forest_dawn,forest_dawn_sky,water_river,dawn,fg_mist_red,fg_cloud_dawn,|메이링 격추.|,|아군의 전멸.|,|영격을 2회이상 사용한다.(앞으로 <VAL0>회)|,|2|2|2|2|,|2|2|2|2|
09Common,대도서관의 함정,8,25,1,110,1,1,1,1,09Common,0,496,464,160,496,1,1,talk_Koumakan_Library,kou,|Alice|0|,|,|,|,talk_interlude01,ep_eiya,|,library,library_sky,,library,,,|파츄리 격추.|,|아군의 전멸.|,|스펠 카드를 2장이상 획득한다.(앞으로 <VAL0>장)|,|2|2|2|2|,|0|0|0|0|
10Common,인간과 요괴와,9,25,1,110,1,1,1,1,10Common,0,688,704,448,752,3,1,talk_Koumakan_Int_Night,kou,|,|,|,|,pp_renmery,ep_eiya,|,kouma_intA,kouma_intA_sky,,koumaA,,,|사쿠야 격추.|,|아군의 전멸.|,|?????|유카와 <VAL0>회 전투한다.(앞으로 <VAL1>회)|,|1|2|3|4|,|1|2|3|4|
11Common,영원히 붉은 어린 달,9,25,1,110,1,0,1,1,11Common,0,368,624,288,592,3,0,Title01,kou,|,|,|,|,pp_tepes,pp_tepes,|battle_Remilia|2|pp_tepes|1|,forest_night,forest_night_sky,,night,fg_mist_red,fg_mist_red,|홍무이변의 해결.|,|아군의 전멸.|,|모든 스펠카드를 획득한다.|,|0|0|0|0|,|0|0|0|0|
12Common,여름의 별장,6,25,0,110,1,1,1,1,12Common,0,480,656,208,240,3,1,Title01,kou,|,|,|Kurumi|,|Kurumi|,pp_dendera,ep_eiya,|,forest_dawn,forest_dawn_sky,,dawn,,fg_cloud,|적의 전멸.|,|쿠루미가 격추됨.|,|?????|「프로토마리스포」를 사용한다.|,|0|0|0|0|,|0|0|0|0|
13Reimu,울려 퍼지는 풍신의 종,0,0,0,110,1,1,1,1,OP03,0,400,672,304,352,0,0,Title01,kaze,|Reimu|0|,|,|,|,pp_dendera,ep_cafe,|,forest,forest_sky,water_river,,,fg_cloud,|사나에의 HP를 20%이하로 만든다.|,|레이무가 격추됨.|,|<VAL0>턴 이내에 사나에를 격추하여 클리어한다.|,|5|5|5|5|,|0|0|0|0|
13Marisa,시스터 오브 스칼렛,0,0,0,110,1,1,1,1,10Common,0,688,704,720,336,0,1,Title01,kou,|Marisa|0|,|,|,|Flan|,pp_dendera,ep_cafe,|,kouma_intB,kouma_intB_sky,,koumaA,,,|적의 전멸.|,|마리사 또는 플랑드르가 격추됨.|,|<VAL0>턴 이내에 클리어한다.|,|7|7|7|7|,|0|0|0|0|
