ID,JP
ACTIVE,강기
air,공중
ATP,격투
barrier_guard,실드방어
barrier_MT,투명의 무녀
barrier_wide,광역배리어
barrier_Yukari,간접공격 무효
battle_damage_info,데미지계산
battle_damage_info_base,기본보정
battle_damage_rate,합계데미지배율
battle_hit_size,사이즈차보정
battle_hit_slow,battle_hit_slow
battle_info_noarmor,장갑관통
battle_map_weapon,맵공격
battle_map_weapon_NA,스펠진행후 무효
battle_sel_guard,방어
battle_sel_dodge,회피
battle_sel_nocattack,반격없음
battle_options_sub,지원
battle_options_support,원호
battle_points,얻은 점수
battle_sel_cattack,반격선택
battle_sel_FPM_front,(전위)
battle_sel_FPM_rear,(후위)
battle_sel_sub,지원공격
battle_sel_weapon,공격선택
bg_Abaraya,죽림의 오두막
bg_Alice,마가트로이드의 집
bg_AndThen,그리고-
bg_Bamboo,미혹의 죽림
bg_Bansho,만상전 회장
bg_Bazaar,바자회
bg_Burned,불타버린 지상
bg_C68B,다시 환상향-
bg_Cave,수상한 동굴
bg_Cave_Entrance,동굴입구
bg_Chireiden,지령전
bg_Chitei,지저
bg_Dream,꿈
bg_Earth,그 무렵 지상-
bg_Eientei,영원정
bg_Eientei_Entrance,영원정 문앞
bg_Eientei_Hallway,영원정 회랑
bg_Fewdayslater,수일후-
bg_Flower,꽃밭
bg_Forest,마법의 숲
bg_Genbu,현무의 늪
bg_Hakugyoku,백옥루
bg_Hieda,히에다 저택
bg_Hokkai,법계
bg_Horror,호러 하우스?
bg_Imo,감자밭
bg_Jail,유폐소
bg_Kaiso,회상
bg_Kakunoko,성련선격납고
bg_Korindo,향림당
bg_Koumakan,홍마관
bg_Koumakan_Dining,홍마관식당
bg_Koumakan_Gate,홍마관정문앞
bg_Koumakan_imushitsu,홍마관 의무실
bg_Koumakan_Int,홍마관
bg_Koumakan_Kitchen,홍마관 부엌
bg_Koumakan_Library,대도서관
bg_Koumakan_Remilia,레밀리아의 방
bg_Lake,안개의호수
bg_Lake_sky,안개의호수 상공
bg_Makai,마계
bg_Marisa,마리사의 집
bg_Meikai,명계
bg_Mokou,모코우의 집
bg_MoonCapital,달의도시
bg_Moriya,모리야 신사
bg_Mountain,요괴의 산
bg_Mountain_Entrance,요괴의 산 입구
bg_Mountain_Jukai,요괴의 수해
bg_Mountain_Kappa,캇파의 계곡
bg_Mountain_River,요괴의 산
bg_Mugen,몽환세계
bg_Mugen_Deep,몽환세계최심부
bg_Mugenkan,몽환관
bg_Nedoko,비밀 잠자리
bg_NextMorning,다음날 아침 홍마관-
bg_Night,그날 밤-
bg_Party,파티 회장
bg_Pond,늪지
bg_Recollection,회상
bg_Road,오솔길
bg_RoadtoShrine,신사로이어지는 작은길
bg_Rose,장미 정원
bg_Saigyo,사이교우아야카시
bg_Seirensen_Bridge,성련선함교
bg_Seirensen_Deck,성련선갑판
bg_Seirensen_Dining,성련선식당
bg_Seirensen_Hall,성련선담화실
bg_ShallowDream,꿈의 여울
bg_Shizuka,고요의 바다
bg_Shrine,하쿠레이신사
bg_Shrine_Back,하쿠레이신사 뒷편
bg_Space,우주공간
bg_Suzunaan,영나암
bg_Suzuran,은방울꽃밭
bg_ThatNight,그날 밤-
bg_Unkai,운해
bg_Unknown,???
bg_Village,인간 마을
bg_Waterside,물가
bg_Winter,겨울-
bg_Yukari,???
bomb,영격
bonus_acquired,보너스 획득함
bonus_failed,보너스 획득에 실패하였습니다.
bonus_skill_item,스킬「{}」의 효과로 아이템「{}」을 얻었다!
bonus_skill_point,스킬「{}」의효과로 보너스 점수{}보너스 PP{}를 얻었다!
BOSS,보스
BRAVE,초강기
bul_both,「양측」
bul_enemy,「적군」
bul_player,「아군」
bullet,탄막
can_support,지원가능
CAREFUL,신중
catk_dodge,회피한다
catk_guard,방어한다
catk_none,반격불능
change_now,현재 장비
change_options,장비타입
chap_default,제 {} 화
chap_ei,영의 장
chap_EX,막간
chap_final,최종장
chap_format,{}／{} 「{}」
chap_format_IM,{}／{}
chap_kou,홍의 장
chap_meko,메코의 장
chap_ost,드림 어게인
chap_sakuya,사쿠야의 장
chap_you,요의 장
chap_yume,최종장
clear_beat,격추수
clear_beat_tot,합계격추수
clear_beaten,피 격추수
clear_beaten_tot,합계 피 격추수
clear_EX,보너스조건
clear_EX_tot,보너스조건 달성률
clear_level,난이도
clear_lose,전멸횟수
clear_lose_tot,합계전멸횟수
clear_point,획득점수
clear_point_tot,합계획득점수
clear_save,세이브횟수
clear_save_tot,합계세이브횟수
clear_spell,획득 스펠수
clear_spell_tot,스펠획득률
clear_time,클리어시간
clear_time_tot,합계클리어시간
clear_turn,클리어 턴
clear_turn_tot,합계클리어 턴
CLEVER,교활
comma,
compat,적응
conf_edit_clear,출격 예정인 유닛을 다시 선택합니다. 괜찮습니까?
conf_edit_random,현재 편성을 해제하고 랜덤으로 선택합니다. 괜찮습니까?
conf_turn_end,턴을 종료하시겠습니까?
conf_turn_end2,미행동 유닛이 {}개 있습니다.\n턴을 종료하시겠습니까?
conf_edit_remove,{}를 대기시킵니다. 괜찮습니까?
COOL,냉정
CRT,기량
DEF,방어
dict_ability,능력
dict_appear,등장작품
dict_title,이명
diff_normal,시뮬레이션 RPG 경험자거나\n적당한 고난을 원하시는 분에게. \n(난이도는 나중에 변경할 수 있습니다.)
diff_lunatic,어떤 불합리든 와 봐라. 무슨일이 있든 두렵지 않다.\n기특하신 분에게. \n(난이도는 나중에 변경할 수 있습니다.)
diff_hard,시뮬레이션 RPG를 정말 좋아하고.\n어려운게 좋으신 분에게. \n(난이도는 나중에 변경할 수 있습니다.)
diff_easy,시뮬레이션 RPG를 처음 플레이하시는 분이나\n척척 게임을 진행하고싶은 분에게. \n(난이도는 나중에 변경할 수 있습니다.)
EXP,경험치
format_battle_info_land,상대지형적응({})
format_battle_info_land2,무기지형적응({})
format_gen,「{}」
format_load_start,출격메뉴
format_load_turn,{}턴째
format_pairname,{}/{}조
format_title,「{}」
geki,격추수
gen_counter,카운터
gen_cure,회복
gen_cure_SP,SP회복
gen_none,없음
gen_on,있음
gen_sattack,원호공격
gen_select_target,대상선택
gen_sguard,원호방어
gen_spirit,정신
ground,땅
help_ascending,오름차순
help_back,돌아간다
help_back_menu,메뉴로돌아간다
help_background,배경
help_backlog,백로그
help_bench_end,마지막 유닛 빼기
help_body,전신 그래픽
help_celebrate,축하한다
help_choose_list,목록에서 선택
help_choose_mark,마크
help_close,닫기
help_cursor,커서 가속
help_decending,내림차순
help_detach,벗기
help_detail,상세
help_dict_sort_A,작품순
help_dict_sort_B,오십음순
help_edit_bench,대기로 돌리기
help_edit_global,전체메뉴
help_edit_grab,위치변경
help_edit_release,위치결정
help_edit_tune,강화메뉴
help_enter,결정
help_exchange,교환
help_face,얼굴 그래픽
help_fastforward,빠르게
help_go,출격!
help_jump,점프
help_jump_en,적으로 점프
help_jump_pl,아군에게 점프
help_marker,마커 배치
help_next,다음으로
help_open,열기
help_pause,일시정지
help_play,재생
help_play_open,재생해서 열기
help_previous,앞에
help_select,선택
help_skip,스킵
help_sort,정렬
help_status,스테이터스
help_switch,표시전환
help_switch_face,표정을 바꾼다
help_tune_bonus,풀강화보너스를 선택한다.
help_tune_tune,강화한다
help_tune_wbonus,MAX Ex보너스를 선택한다.
help_undo,되돌린다
help_unit_air,지형을 「공중」 으로 합니다. 유닛의 지형적응 「공중」이 S이상이라면 명중률과 회피율과 방어력이 오릅니다.
help_unit_apart,합체유닛을 원래 유닛으로 분리합니다. 분리후의 HP와 MP는 합체했을때와 같은 비율이 됩니다.
help_unit_attack,무기를 선택하여 공격합니다.
help_unit_bomb,영격을 하나 소비하여 자기 주변의 탄막을 지웁니다. 또한 적 유닛에게 2500데미지를 줍니다.
help_unit_change,유닛 성능을 변화시킵니다. 잔탄수 등은 「변화」 후 인계됩니다.
help_unit_change2,유닛 성능을 변화시킵니다. 잔탄수 등은 「변화」 후 인계됩니다.
