Category,ID,Title,Sprite,解放stage,Line1,Line2,Line3,Line4
기본조작,BASIC,게임을 진행하는법,BASIC01,0,시뮬레이션 파트는 아군 턴과 적 턴으로 구성됩니다.,아군 턴에서는 아군 유닛을 조작하고 적 턴에서는 적이 자동으로 행동합니다.,,
기본조작,BASIC,게임을 진행하는법,BASIC02,0,유닛에 커서를 맞추고 A 버튼을 누르면,유닛 메뉴가 나타나므로 그 중에서 행동을 선택합시다.,,
기본조작,BASIC,게임을 진행하는법,BASIC03,0,또한 - 버튼을 누르면 매뉴얼을 표시할 수 있습니다.,곤란할때에는 일단 - 버튼을 눌러봅시다.,,
기본조작,TURN,아군 턴의 종료,TURN01,0,'이동' '공격' 등의 명령어를 행하면 행동 종료가 됩니다.,모든 유닛이 행동 종료가 되면 턴을 종료하고 적의 턴으로 넘깁시다., ,
기본조작,TURN,아군 턴의 종료,TURN02,0,적도 아군도 없는 장소에서 A 버튼을 누르면 전체 메뉴가 표시되니,거기서 '턴 종료'를 선택해주십시오.,,
기본조작,TURN,아군 턴의 종료,TURN03,0,그 외에도 전체 메뉴에선 '작전목적'에서 승리조건을 확인하거나,부대표에서 부대 전체의 상황을 확인하는 등의 일이 가능합니다.,,
기본조작,MANUAL,옵션의 표시,OPTION01,0,- 버튼을 누르면 옵션화면을 표시합니다.,'메뉴얼'에서는 조작 설명을 열람할 수 있고,'설정'에선 BGM 음량등의 변경이 가능하고,'타이틀로 돌아간다'를 누르면 게임을 리셋할 수 있습니다.
기본조작,SOFTRESET,소프트 리셋,NONE,0,옵션에서 '타이틀로 돌아간다'를 누르지 않아도,L버튼 R버튼 +버튼을 동시에 입력하면 타이틀 화면으로 돌아갈 수 있습니다.,,
기본조작,QUICKLOAD,퀵로드,NONE,0,L버튼 R버튼 +버튼을 길게 누르면 타이틀 화면으로 돌아가지 않고도,시뮬레이션 파트의 세이브 데이터를 로드할 수 있습니다.,,
기본조작,DIFFICULTY,난이도 변경,DIFFICULTY01,0,게임의 난이도는 「설정 」에서 바꿀 수 있습니다.,더이장 진행할 수 없게 되었다면 인터미션 파트에서,난이도를 「Normal 」로 바꿔서 다시 도전해봅시다.,
스테이터스화면,WEAPON,무기성능,WEAPON04,0,공격특성: 무기가 특수한 성능을 가진 경우 여기에 표시됩니다.,,,
